Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24335	85.49553	96.79680
0005323f-791d-4bd1-bd5f-3f110cb72b08	39991	94.70108	99.07805
00077d28-f985-4800-898e-d4baede5d2aa	54698	93.25442	98.97526
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39388	93.74163	99.04911
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35262	86.61366	98.24110
001d8d6e-757f-480d-a669-0006d8a5f626	43248	91.57256	95.79946
001f7476-594f-4678-af46-5099a88715d6	43595	94.07759	98.67644
00230607-1f5e-4ef3-9671-469337df680e	51823	94.32004	98.70745
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51766	90.04341	99.14568
00297c69-4e23-4bd1-ac47-19cb7be83482	29850	94.69520	98.91189
002ad6a6-683b-4690-b9c6-575bcabf37ce	24583	94.62675	99.02425
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30110	89.12653	96.74130
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38952	93.41012	98.79395
00390b97-655b-46b0-a98b-58447dd648da	51860	88.08340	98.77611
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26287	92.65983	99.80162
004859f1-928a-4eaf-baf9-05d6d22e6a39	33007	74.83258	97.57928
00522979-c6f1-469f-8be0-79be118254e5	34843	88.18050	98.66705
005dc13e-03d7-476a-b96e-8ab951632af7	22054	81.35791	102.45737
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30458	93.93356	98.71157
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61478	95.06818	98.88633
0061df3e-73ca-45e3-a1af-acefebde42f7	23165	89.21146	99.96094
00655c70-1351-4499-a549-cf7d37787857	24668	81.90305	95.28467
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46509	85.59454	97.49664
0067d222-d113-46c9-8786-b9abab8e4cfe	35174	92.21848	98.73261
006bfc22-acbe-4577-b755-ccf23d255cd9	24824	85.99824	92.13647
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33740	89.42430	98.05146
0075fd5b-313a-48e1-8c75-484ee3840279	43442	92.10603	98.35634
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25711	93.58093	99.85563
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22448	95.51617	99.12549
007ed5ba-a641-43c9-88b0-547ffd8952c8	31208	92.83642	98.82708
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26260	93.97204	99.13152
0080aae4-bb96-4aaa-857a-927e2db3b71b	62363	94.27161	99.63818
0085852b-6a7c-4f6d-bfc7-0d490a28d968	32068	82.62610	99.83394
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25508	89.47388	97.07142
00a1a5b4-43b7-48d5-84fb-be8040321103	27457	94.62927	99.16162
00a37701-ab30-4634-bdea-177896677e22	36601	90.09666	98.64240
00b5ce50-59cb-493a-94a4-dba854087886	26876	88.32070	97.30192
00bd02df-db70-4d71-a40a-513c1eee4a2c	24211	87.18301	97.67649
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24398	87.72157	98.28340
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33750	93.91128	98.69108
00cc2868-998d-4ec6-99cc-458917e05188	47566	87.44817	98.06965
00cda24f-c49d-4974-880c-b8a0ec00183d	66784	92.55150	98.77463
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40742	93.53450	98.68293
00d4fc3b-9848-4d01-a320-653852d68990	65460	91.88607	98.31932
00d5ebcd-4727-44e2-9800-8123837e80d4	45464	86.15375	97.22955
00d7992e-006f-48b6-be8c-e51905fda9ee	29214	89.99220	96.24264
00dd83e2-b142-4917-9dd4-8bfef0e895b4	69184	92.21746	99.00368
00e60ace-39f1-4a34-aeed-87ac2d214fac	25417	93.22639	98.83544
00e78f56-6438-444f-af8c-d66b9a695bad	78378	93.12357	100.81036
00e9aa99-0025-4d45-827f-2892f15e1ded	26406	90.46092	98.33901
00ef41bb-b716-411e-9a73-e8ff95758820	30996	84.13121	98.82790
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36484	94.68618	98.69975
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24780	88.29481	96.92991
00fcb531-d045-4f64-94af-1e15aa90726e	29857	88.70650	99.59803
0101a7bd-66b2-4b83-9228-5fa424a743e2	50221	85.52581	94.20547
010ed54d-2c7f-48f8-8143-5e61bcefc86e	24116	93.65860	99.18141
010efc3a-5954-4192-8b1f-605a8fe3f57a	44751	94.42842	98.89211
0111425a-4694-4dc2-809d-e3fb7e606952	42124	91.63600	98.52154
0113008f-2e5e-4683-8035-c8539b7a2cf4	22579	83.31817	96.66093
0117cfef-4330-49af-a1fa-55ba10670a48	33487	88.48053	98.75081
0119c56e-8ca4-408d-9437-c00d3376724e	30288	91.53886	99.63008
012a1baa-7674-4ced-8986-d25685a3db1f	55041	87.44064	98.17828
012a5c36-a376-41d4-8202-ba109f64a045	38480	92.54424	98.26584
012ab4f9-9623-4aad-9d55-d2f58df5bf81	62658	72.84319	94.06986
012b331e-7a57-40d1-b8b0-dbb59a6d7b2b	43216	93.70367	99.03484
012d88c7-d7be-4cb1-955e-f715b56fc785	45324	88.75187	97.69638
