Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5108110	99.90008%	0.990	0.908	0.685	0.367	0.105	0.026
lossless_rebaler	1	5108676	99.91606%	0.994	0.931	0.722	0.502	0.217	0.103
lossless_medaka	1	5111854	99.975%	0.999	0.998	0.983	0.919	0.718	0.410
LFZip_maxerror_1_flye	1	5108038	99.90008%	0.990	0.909	0.677	0.364	0.123	0.000
LFZip_maxerror_1_rebaler	1	5108641	99.91306%	0.993	0.929	0.722	0.512	0.214	0.128
LFZip_maxerror_1_medaka	1	5111847	99.974%	0.999	0.998	0.981	0.920	0.724	0.385
SZ_maxerror_1_flye	1	5108082	99.90008%	0.990	0.908	0.680	0.368	0.109	0.026
SZ_maxerror_1_rebaler	1	5108686	99.91705%	0.994	0.928	0.725	0.510	0.236	0.150
SZ_maxerror_1_medaka	1	5111861	99.976%	0.999	0.998	0.983	0.918	0.715	0.436
LFZip_maxerror_2_flye	1	5107954	99.89908%	0.990	0.906	0.670	0.374	0.109	0.026
LFZip_maxerror_2_rebaler	1	5108570	99.91406%	0.993	0.927	0.718	0.502	0.214	0.128
LFZip_maxerror_2_medaka	1	5111855	99.974%	0.999	0.998	0.979	0.921	0.710	0.410
SZ_maxerror_2_flye	1	5107972	99.89809%	0.990	0.905	0.675	0.360	0.118	0.026
SZ_maxerror_2_rebaler	1	5108537	99.91305%	0.994	0.928	0.721	0.484	0.200	0.128
SZ_maxerror_2_medaka	1	5111846	99.975%	0.999	0.998	0.983	0.920	0.701	0.385
LFZip_maxerror_3_flye	1	5107859	99.89509%	0.989	0.904	0.665	0.358	0.109	0.026
LFZip_maxerror_3_rebaler	1	5108521	99.91207%	0.993	0.924	0.717	0.503	0.227	0.179
LFZip_maxerror_3_medaka	1	5111832	99.974%	0.998	0.997	0.978	0.918	0.724	0.333
SZ_maxerror_3_flye	1	5107952	99.89709%	0.989	0.903	0.675	0.366	0.127	0.000
SZ_maxerror_3_rebaler	1	5108594	99.91206%	0.993	0.928	0.722	0.502	0.205	0.077
SZ_maxerror_3_medaka	1	5111854	99.974%	0.999	0.998	0.981	0.921	0.719	0.333
LFZip_maxerror_4_flye	1	5107672	99.8921%	0.987	0.898	0.656	0.378	0.109	0.000
LFZip_maxerror_4_rebaler	1	5108451	99.91306%	0.992	0.922	0.715	0.526	0.236	0.128
LFZip_maxerror_4_medaka	1	5111855	99.973%	0.998	0.997	0.977	0.918	0.718	0.436
SZ_maxerror_4_flye	1	5107717	99.89509%	0.988	0.898	0.663	0.370	0.109	0.026
SZ_maxerror_4_rebaler	1	5108434	99.90907%	0.993	0.923	0.717	0.497	0.245	0.154
SZ_maxerror_4_medaka	1	5111845	99.974%	0.999	0.997	0.980	0.919	0.705	0.410
LFZip_maxerror_5_flye	1	5107362	99.88911%	0.986	0.888	0.651	0.358	0.109	0.026
LFZip_maxerror_5_rebaler	1	5108265	99.90807%	0.992	0.916	0.711	0.509	0.245	0.256
LFZip_maxerror_5_medaka	1	5111795	99.974%	0.999	0.997	0.976	0.918	0.683	0.410
SZ_maxerror_5_flye	1	5107574	99.8921%	0.987	0.896	0.662	0.347	0.109	0.051
SZ_maxerror_5_rebaler	1	5108274	99.90807%	0.992	0.919	0.714	0.481	0.205	0.205
SZ_maxerror_5_medaka	1	5111806	99.973%	0.999	0.997	0.979	0.921	0.683	0.462
LFZip_maxerror_6_flye	1	5107179	99.88311%	0.983	0.885	0.637	0.363	0.145	0.025
LFZip_maxerror_6_rebaler	1	5108075	99.90308%	0.991	0.911	0.701	0.515	0.241	0.179
LFZip_maxerror_6_medaka	1	5111859	99.972%	0.999	0.997	0.973	0.922	0.714	0.538
SZ_maxerror_6_flye	1	5107350	99.8851%	0.985	0.889	0.650	0.356	0.118	0.026
SZ_maxerror_6_rebaler	1	5108193	99.90707%	0.992	0.915	0.708	0.488	0.232	0.154
SZ_maxerror_6_medaka	1	5111801	99.973%	0.999	0.997	0.978	0.910	0.688	0.333
LFZip_maxerror_7_flye	1	5106903	99.87913%	0.983	0.877	0.628	0.326	0.100	0.026
LFZip_maxerror_7_rebaler	1	5107945	99.90008%	0.990	0.907	0.696	0.486	0.214	0.154
LFZip_maxerror_7_medaka	1	5111743	99.972%	0.998	0.996	0.972	0.897	0.697	0.410
SZ_maxerror_7_flye	1	5106946	99.87912%	0.983	0.879	0.634	0.333	0.091	0.000
SZ_maxerror_7_rebaler	1	5107922	99.90009%	0.991	0.910	0.697	0.480	0.195	0.128
SZ_maxerror_7_medaka	1	5111745	99.972%	0.999	0.997	0.975	0.910	0.659	0.359
LFZip_maxerror_8_flye	1	5106140	99.86117%	0.978	0.860	0.595	0.313	0.118	0.000
LFZip_maxerror_8_rebaler	1	5107607	99.8931%	0.988	0.898	0.685	0.506	0.240	0.231
LFZip_maxerror_8_medaka	1	5111740	99.971%	0.998	0.995	0.969	0.912	0.714	0.513
SZ_maxerror_8_flye	1	5106666	99.87314%	0.981	0.869	0.624	0.336	0.100	0.000
SZ_maxerror_8_rebaler	1	5107687	99.89509%	0.989	0.901	0.686	0.480	0.223	0.200
SZ_maxerror_8_medaka	1	5111724	99.971%	0.999	0.996	0.967	0.901	0.665	0.359
LFZip_maxerror_9_flye	1	5105707	99.85518%	0.975	0.848	0.586	0.298	0.095	0.026
LFZip_maxerror_9_rebaler	1	5107103	99.88612%	0.987	0.884	0.664	0.458	0.195	0.179
LFZip_maxerror_9_medaka	1	5111571	99.971%	0.999	0.994	0.964	0.887	0.627	0.410
SZ_maxerror_9_flye	1	5106064	99.86416%	0.978	0.855	0.596	0.310	0.082	0.026
SZ_maxerror_9_rebaler	1	5107324	99.8911%	0.987	0.892	0.673	0.461	0.200	0.205
SZ_maxerror_9_medaka	1	5111649	99.97%	0.998	0.993	0.964	0.889	0.691	0.436
LFZip_maxerror_10_flye	1	5104690	99.83324%	0.967	0.825	0.541	0.282	0.068	0.025
LFZip_maxerror_10_rebaler	1	5106679	99.87813%	0.983	0.879	0.644	0.449	0.232	0.231
LFZip_maxerror_10_medaka	1	5111495	99.967%	0.998	0.993	0.943	0.870	0.650	0.350
SZ_maxerror_10_flye	1	5105133	99.83923%	0.971	0.837	0.553	0.284	0.073	0.025
SZ_maxerror_10_rebaler	1	5106869	99.87812%	0.985	0.880	0.660	0.445	0.218	0.154
SZ_maxerror_10_medaka	1	5111523	99.96601%	0.998	0.992	0.953	0.868	0.632	0.308
