Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5105706	99.77038%	0.967	0.869	0.624	0.371	0.123	0.026
lossless_rebaler	1	5104655	99.72251%	0.961	0.865	0.659	0.475	0.282	0.325
lossless_medaka	1	5110670	99.84811%	0.984	0.952	0.853	0.728	0.462	0.250
LFZip_maxerror_1_flye	1	5105630	99.7743%	0.966	0.866	0.621	0.374	0.118	0.026
LFZip_maxerror_1_rebaler	1	5104457	99.72349%	0.959	0.868	0.655	0.471	0.240	0.268
LFZip_maxerror_1_medaka	1	5110445	99.8451%	0.984	0.951	0.847	0.728	0.450	0.225
SZ_maxerror_1_flye	1	5105687	99.76834%	0.967	0.866	0.625	0.381	0.123	0.051
SZ_maxerror_1_rebaler	1	5104588	99.7195%	0.960	0.865	0.651	0.481	0.245	0.231
SZ_maxerror_1_medaka	1	5110599	99.84313%	0.984	0.950	0.849	0.736	0.416	0.231
LFZip_maxerror_2_flye	1	5105498	99.76636%	0.965	0.867	0.611	0.366	0.132	0.026
LFZip_maxerror_2_rebaler	1	5104313	99.71553%	0.959	0.861	0.657	0.493	0.270	0.179
LFZip_maxerror_2_medaka	1	5110603	99.84513%	0.983	0.949	0.849	0.717	0.446	0.225
SZ_maxerror_2_flye	1	5105644	99.76739%	0.965	0.865	0.624	0.379	0.136	0.051
SZ_maxerror_2_rebaler	1	5104524	99.7215%	0.959	0.866	0.658	0.477	0.274	0.262
SZ_maxerror_2_medaka	1	5110501	99.8451%	0.983	0.950	0.847	0.726	0.446	0.286
LFZip_maxerror_3_flye	1	5105213	99.76034%	0.963	0.863	0.607	0.370	0.105	0.000
LFZip_maxerror_3_rebaler	1	5104335	99.71351%	0.957	0.860	0.647	0.490	0.257	0.128
LFZip_maxerror_3_medaka	1	5110597	99.84111%	0.983	0.950	0.841	0.722	0.480	0.256
SZ_maxerror_3_flye	1	5105320	99.76237%	0.964	0.862	0.616	0.372	0.132	0.025
SZ_maxerror_3_rebaler	1	5104218	99.70758%	0.958	0.862	0.650	0.502	0.225	0.225
SZ_maxerror_3_medaka	1	5110538	99.84812%	0.982	0.950	0.844	0.724	0.432	0.122
LFZip_maxerror_4_flye	1	5104826	99.74841%	0.962	0.855	0.607	0.368	0.123	0.025
LFZip_maxerror_4_rebaler	1	5103780	99.69558%	0.955	0.856	0.638	0.496	0.286	0.200
LFZip_maxerror_4_medaka	1	5110305	99.83613%	0.982	0.944	0.843	0.718	0.452	0.200
SZ_maxerror_4_flye	1	5105047	99.75838%	0.963	0.858	0.608	0.355	0.145	0.026
SZ_maxerror_4_rebaler	1	5104026	99.69861%	0.957	0.856	0.644	0.482	0.270	0.220
SZ_maxerror_4_medaka	1	5110341	99.83814%	0.982	0.945	0.838	0.723	0.439	0.231
LFZip_maxerror_5_flye	1	5104346	99.74343%	0.958	0.848	0.599	0.375	0.145	0.051
LFZip_maxerror_5_rebaler	1	5103181	99.67875%	0.951	0.848	0.637	0.481	0.280	0.333
LFZip_maxerror_5_medaka	1	5109952	99.82113%	0.980	0.941	0.830	0.708	0.466	0.359
SZ_maxerror_5_flye	1	5104776	99.74644%	0.960	0.851	0.607	0.363	0.127	0.050
SZ_maxerror_5_rebaler	1	5103645	99.69063%	0.954	0.848	0.644	0.485	0.281	0.317
