Assembly	num_contigs	total_length	identity
lossless_flye	1	5105706	99.77038%
lossless_rebaler	1	5107112	99.7404%
lossless_medaka	1	5111198	99.8461%
LFZip_maxerror_1_flye	1	5105590	99.76134%
LFZip_maxerror_1_rebaler	1	5107056	99.7334%
LFZip_maxerror_1_medaka	1	5111154	99.84311%
SZ_maxerror_1_flye	1	5105687	99.76834%
SZ_maxerror_1_rebaler	1	5107183	99.73734%
SZ_maxerror_1_medaka	1	5111232	99.8431%
LFZip_maxerror_2_flye	1	5105526	99.76341%
LFZip_maxerror_2_rebaler	1	5106765	99.73939%
LFZip_maxerror_2_medaka	1	5111062	99.8391%
SZ_maxerror_2_flye	1	5105607	99.77929%
SZ_maxerror_2_rebaler	1	5107001	99.73546%
SZ_maxerror_2_medaka	1	5111086	99.84313%
LFZip_maxerror_3_flye	1	5105273	99.76047%
LFZip_maxerror_3_rebaler	1	5106661	99.72939%
LFZip_maxerror_3_medaka	1	5110935	99.84209%
SZ_maxerror_3_flye	1	5105317	99.76237%
SZ_maxerror_3_rebaler	1	5106695	99.72643%
SZ_maxerror_3_medaka	1	5111101	99.83712%
LFZip_maxerror_4_flye	1	5105084	99.75441%
LFZip_maxerror_4_rebaler	1	5106566	99.7175%
LFZip_maxerror_4_medaka	1	5110973	99.83711%
SZ_maxerror_4_flye	1	5105030	99.75742%
SZ_maxerror_4_rebaler	1	5106479	99.71847%
SZ_maxerror_4_medaka	1	5110853	99.83713%
LFZip_maxerror_5_flye	1	5104722	99.74546%
LFZip_maxerror_5_rebaler	1	5106185	99.70852%
LFZip_maxerror_5_medaka	1	5110723	99.8311%
SZ_maxerror_5_flye	1	5104801	99.75543%
SZ_maxerror_5_rebaler	1	5106378	99.71155%
SZ_maxerror_5_medaka	1	5110791	99.8361%
LFZip_maxerror_6_flye	1	5104245	99.73749%
LFZip_maxerror_6_rebaler	1	5106015	99.70254%
LFZip_maxerror_6_medaka	1	5110511	99.82013%
SZ_maxerror_6_flye	1	5104138	99.73651%
SZ_maxerror_6_rebaler	1	5105915	99.69346%
SZ_maxerror_6_medaka	1	5110539	99.82911%
LFZip_maxerror_7_flye	1	5103659	99.71566%
LFZip_maxerror_7_rebaler	1	5105595	99.68551%
LFZip_maxerror_7_medaka	1	5110462	99.81417%
SZ_maxerror_7_flye	1	5103679	99.73053%
SZ_maxerror_7_rebaler	1	5105723	99.68057%
SZ_maxerror_7_medaka	1	5110525	99.81814%
LFZip_maxerror_8_flye	1	5103108	99.69164%
LFZip_maxerror_8_rebaler	1	5105197	99.6627%
LFZip_maxerror_8_medaka	1	5110118	99.7982%
SZ_maxerror_8_flye	1	5102980	99.69456%
SZ_maxerror_8_rebaler	1	5105103	99.6588%
SZ_maxerror_8_medaka	1	5110120	99.79521%
LFZip_maxerror_9_flye	1	5102009	99.66877%
LFZip_maxerror_9_rebaler	1	5104372	99.63288%
LFZip_maxerror_9_medaka	1	5109894	99.77525%
SZ_maxerror_9_flye	1	5101859	99.66176%
SZ_maxerror_9_rebaler	1	5104304	99.63287%
SZ_maxerror_9_medaka	1	5109837	99.78022%
LFZip_maxerror_10_flye	1	5101356	99.64578%
LFZip_maxerror_10_rebaler	1	5104135	99.59895%
LFZip_maxerror_10_medaka	1	5109629	99.76828%
SZ_maxerror_10_flye	1	5099989	99.608525%
SZ_maxerror_10_rebaler	1	5102944	99.5691%
SZ_maxerror_10_medaka	1	5108925	99.75024%
