Assembly	num_contigs	total_length	identity
lossless_flye	1	5108110	99.90008%
lossless_rebaler	1	5109631	99.92304%
lossless_medaka	1	5112032	99.971%
LFZip_maxerror_1_flye	1	5108022	99.90108%
LFZip_maxerror_1_rebaler	1	5109553	99.92005%
LFZip_maxerror_1_medaka	1	5112023	99.972%
SZ_maxerror_1_flye	1	5108082	99.90008%
SZ_maxerror_1_rebaler	1	5109600	99.92005%
SZ_maxerror_1_medaka	1	5112049	99.972%
LFZip_maxerror_2_flye	1	5108012	99.89908%
LFZip_maxerror_2_rebaler	1	5109519	99.92202%
LFZip_maxerror_2_medaka	1	5111992	99.972%
SZ_maxerror_2_flye	1	5107972	99.89809%
SZ_maxerror_2_rebaler	1	5109465	99.92205%
SZ_maxerror_2_medaka	1	5112002	99.972%
LFZip_maxerror_3_flye	1	5107860	99.8951%
LFZip_maxerror_3_rebaler	1	5109541	99.92204%
LFZip_maxerror_3_medaka	1	5112007	99.97%
SZ_maxerror_3_flye	1	5107953	99.89709%
SZ_maxerror_3_rebaler	1	5109548	99.92004%
SZ_maxerror_3_medaka	1	5112046	99.971%
LFZip_maxerror_4_flye	1	5107717	99.8941%
LFZip_maxerror_4_rebaler	1	5109452	99.92004%
LFZip_maxerror_4_medaka	1	5112021	99.971%
SZ_maxerror_4_flye	1	5107716	99.89509%
SZ_maxerror_4_rebaler	1	5109462	99.92005%
SZ_maxerror_4_medaka	1	5112014	99.97%
LFZip_maxerror_5_flye	1	5107553	99.8911%
LFZip_maxerror_5_rebaler	1	5109324	99.91904%
LFZip_maxerror_5_medaka	1	5111966	99.971%
SZ_maxerror_5_flye	1	5107574	99.8921%
SZ_maxerror_5_rebaler	1	5109327	99.91606%
SZ_maxerror_5_medaka	1	5111946	99.971%
LFZip_maxerror_6_flye	1	5107326	99.88611%
LFZip_maxerror_6_rebaler	1	5109271	99.91505%
LFZip_maxerror_6_medaka	1	5111989	99.97%
SZ_maxerror_6_flye	1	5107344	99.8851%
SZ_maxerror_6_rebaler	1	5109279	99.91305%
SZ_maxerror_6_medaka	1	5111982	99.969%
LFZip_maxerror_7_flye	1	5107031	99.87813%
LFZip_maxerror_7_rebaler	1	5109019	99.91203%
LFZip_maxerror_7_medaka	1	5111903	99.97%
SZ_maxerror_7_flye	1	5106961	99.87813%
SZ_maxerror_7_rebaler	1	5109130	99.91206%
SZ_maxerror_7_medaka	1	5111939	99.969%
LFZip_maxerror_8_flye	1	5106653	99.87313%
LFZip_maxerror_8_rebaler	1	5108935	99.90906%
LFZip_maxerror_8_medaka	1	5111908	99.968%
SZ_maxerror_8_flye	1	5106667	99.87113%
SZ_maxerror_8_rebaler	1	5108877	99.90605%
SZ_maxerror_8_medaka	1	5111931	99.968%
LFZip_maxerror_9_flye	1	5106332	99.86416%
LFZip_maxerror_9_rebaler	1	5108827	99.90407%
LFZip_maxerror_9_medaka	1	5112004	99.967%
SZ_maxerror_9_flye	1	5106070	99.86216%
SZ_maxerror_9_rebaler	1	5108629	99.90108%
SZ_maxerror_9_medaka	1	5111824	99.968%
LFZip_maxerror_10_flye	1	5105731	99.85318%
LFZip_maxerror_10_rebaler	1	5108532	99.90107%
LFZip_maxerror_10_medaka	1	5111754	99.967%
SZ_maxerror_10_flye	1	5105133	99.83923%
SZ_maxerror_10_rebaler	1	5108359	99.89308%
SZ_maxerror_10_medaka	1	5111697	99.964%
