Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	23982	86.20137	95.47602
0005323f-791d-4bd1-bd5f-3f110cb72b08	39906	95.49962	98.97609
00077d28-f985-4800-898e-d4baede5d2aa	54535	94.17789	98.81384
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39284	94.64802	98.90260
001a42a8-c6e6-4022-acbb-fb96723c8fc0	34582	87.42118	96.41758
001d8d6e-757f-480d-a669-0006d8a5f626	43395	92.39802	96.21707
001f7476-594f-4678-af46-5099a88715d6	43613	94.78280	98.77423
00230607-1f5e-4ef3-9671-469337df680e	51786	95.01294	98.73043
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51181	91.34101	98.10513
00297c69-4e23-4bd1-ac47-19cb7be83482	29771	95.49003	98.78877
002ad6a6-683b-4690-b9c6-575bcabf37ce	24550	95.43888	99.07276
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29981	90.10023	96.46649
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38885	94.33052	98.73279
00390b97-655b-46b0-a98b-58447dd648da	51370	89.07380	97.92836
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26021	93.31506	98.97375
004859f1-928a-4eaf-baf9-05d6d22e6a39	31649	76.11054	93.76686
00522979-c6f1-469f-8be0-79be118254e5	33788	89.07975	95.79082
005dc13e-03d7-476a-b96e-8ab951632af7	20581	82.92902	95.67858
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30470	94.54873	98.80600
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61502	95.57690	98.99270
0061df3e-73ca-45e3-a1af-acefebde42f7	22813	89.96451	98.61587
00655c70-1351-4499-a549-cf7d37787857	24319	82.80659	94.10874
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46005	86.50430	96.46460
0067d222-d113-46c9-8786-b9abab8e4cfe	34990	93.20227	98.33549
006bfc22-acbe-4577-b755-ccf23d255cd9	24721	86.46597	91.93139
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33425	90.14020	97.24094
0075fd5b-313a-48e1-8c75-484ee3840279	43308	92.81765	98.15008
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25575	94.48353	99.49274
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22430	96.08024	99.15657
007ed5ba-a641-43c9-88b0-547ffd8952c8	31066	94.01224	98.63632
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26185	95.30851	98.90802
0080aae4-bb96-4aaa-857a-927e2db3b71b	62165	95.34604	99.33725
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31128	83.37797	97.08246
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25337	90.46222	96.58231
00a1a5b4-43b7-48d5-84fb-be8040321103	27358	95.40118	98.94088
00a37701-ab30-4634-bdea-177896677e22	36437	90.86816	98.30435
00b5ce50-59cb-493a-94a4-dba854087886	26821	89.44691	97.14556
00bd02df-db70-4d71-a40a-513c1eee4a2c	14449	88.01361	96.54710
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24211	88.38722	97.68215
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33772	94.94996	98.88478
00cc2868-998d-4ec6-99cc-458917e05188	38554	89.55499	97.81298
00cda24f-c49d-4974-880c-b8a0ec00183d	66651	93.45925	98.64274
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40732	93.98808	98.71237
00d4fc3b-9848-4d01-a320-653852d68990	60763	92.57467	98.18576
00d5ebcd-4727-44e2-9800-8123837e80d4	45141	87.32220	96.56925
00d7992e-006f-48b6-be8c-e51905fda9ee	29218	90.52885	96.37494
00dd83e2-b142-4917-9dd4-8bfef0e895b4	69058	93.05039	98.87892
00e60ace-39f1-4a34-aeed-87ac2d214fac	25342	94.00863	98.76119
