Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	23996	86.23678	95.53990
0005323f-791d-4bd1-bd5f-3f110cb72b08	39883	95.28297	98.91653
00077d28-f985-4800-898e-d4baede5d2aa	54494	93.52890	98.72316
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39285	94.51280	98.91521
001a42a8-c6e6-4022-acbb-fb96723c8fc0	34579	86.75129	96.40310
001d8d6e-757f-480d-a669-0006d8a5f626	43313	92.19899	96.04158
001f7476-594f-4678-af46-5099a88715d6	43467	94.37625	98.47687
00230607-1f5e-4ef3-9671-469337df680e	51790	94.95400	98.74189
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51064	90.97154	97.88631
00297c69-4e23-4bd1-ac47-19cb7be83482	29777	95.46143	98.82537
002ad6a6-683b-4690-b9c6-575bcabf37ce	24562	95.14948	99.12124
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29981	89.94865	96.48251
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38796	94.00759	98.50378
00390b97-655b-46b0-a98b-58447dd648da	51217	88.74439	97.63623
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26026	93.20050	98.99283
004859f1-928a-4eaf-baf9-05d6d22e6a39	31111	75.15401	92.19397
00522979-c6f1-469f-8be0-79be118254e5	33882	88.63213	96.06935
005dc13e-03d7-476a-b96e-8ab951632af7	20545	82.47612	95.52916
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30479	94.40948	98.83203
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61443	95.29226	98.90083
0061df3e-73ca-45e3-a1af-acefebde42f7	22808	89.60145	98.51717
00655c70-1351-4499-a549-cf7d37787857	24343	82.50952	94.21353
00670f05-efd1-41c1-9191-9d30bbe3d3d6	45881	86.08729	96.22078
0067d222-d113-46c9-8786-b9abab8e4cfe	34983	93.03455	98.31578
006bfc22-acbe-4577-b755-ccf23d255cd9	24639	86.06262	91.61074
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33459	89.80127	97.34010
0075fd5b-313a-48e1-8c75-484ee3840279	43228	92.29909	98.02261
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25582	94.13910	99.52396
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22424	95.80456	99.13437
007ed5ba-a641-43c9-88b0-547ffd8952c8	30994	93.83437	98.41058
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26129	94.85380	98.68810
0080aae4-bb96-4aaa-857a-927e2db3b71b	62089	95.16152	99.21395
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31322	82.68747	97.64846
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25375	89.92533	96.67380
00a1a5b4-43b7-48d5-84fb-be8040321103	27324	95.16771	98.83936
00a37701-ab30-4634-bdea-177896677e22	36474	90.86315	98.41523
00b5ce50-59cb-493a-94a4-dba854087886	26699	88.80461	96.72012
00bd02df-db70-4d71-a40a-513c1eee4a2c	14456	87.45346	96.62130
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24059	88.03162	97.06621
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33735	94.52496	98.77913
00cc2868-998d-4ec6-99cc-458917e05188	38549	89.43750	97.80948
00cda24f-c49d-4974-880c-b8a0ec00183d	66611	93.17011	98.58942
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40702	93.80374	98.64435
00d4fc3b-9848-4d01-a320-653852d68990	60796	92.29559	98.23750
00d5ebcd-4727-44e2-9800-8123837e80d4	45084	87.11942	96.44320
00d7992e-006f-48b6-be8c-e51905fda9ee	29064	90.26583	95.88543
00dd83e2-b142-4917-9dd4-8bfef0e895b4	68866	92.78245	98.59791
00e60ace-39f1-4a34-aeed-87ac2d214fac	25318	93.72857	98.68694
