Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	23928	85.82241	95.26021
0005323f-791d-4bd1-bd5f-3f110cb72b08	39839	95.07419	98.80958
00077d28-f985-4800-898e-d4baede5d2aa	54496	93.71211	98.74855
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39271	94.39974	98.86246
001a42a8-c6e6-4022-acbb-fb96723c8fc0	34499	87.03244	96.19064
001d8d6e-757f-480d-a669-0006d8a5f626	43271	92.04628	95.94829
001f7476-594f-4678-af46-5099a88715d6	43532	94.24694	98.58352
00230607-1f5e-4ef3-9671-469337df680e	51726	94.73396	98.62543
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51079	90.78500	97.92283
00297c69-4e23-4bd1-ac47-19cb7be83482	29761	95.18072	98.77546
002ad6a6-683b-4690-b9c6-575bcabf37ce	24480	95.10377	98.79323
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29916	89.48452	96.26057
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38881	93.95088	98.72007
00390b97-655b-46b0-a98b-58447dd648da	51196	88.49915	97.59614
003a3b1d-3539-42a4-85ff-ef45fe9e4491	25932	92.94219	98.63421
004859f1-928a-4eaf-baf9-05d6d22e6a39	31506	75.25741	93.37691
00522979-c6f1-469f-8be0-79be118254e5	33716	88.53514	95.57766
005dc13e-03d7-476a-b96e-8ab951632af7	20534	82.30917	95.47769
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	19310	93.50610	98.51273
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61384	95.28484	98.80413
0061df3e-73ca-45e3-a1af-acefebde42f7	22682	89.32826	97.98422
00655c70-1351-4499-a549-cf7d37787857	24297	82.21023	93.92634
00670f05-efd1-41c1-9191-9d30bbe3d3d6	45864	85.58939	96.15983
0067d222-d113-46c9-8786-b9abab8e4cfe	35008	92.66340	98.38900
006bfc22-acbe-4577-b755-ccf23d255cd9	24676	86.11929	91.75242
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33383	89.58458	97.13302
0075fd5b-313a-48e1-8c75-484ee3840279	43291	92.32488	98.10931
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25561	93.95847	99.43811
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22439	95.83278	99.18764
007ed5ba-a641-43c9-88b0-547ffd8952c8	31027	93.57053	98.51871
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26149	94.87622	98.75635
0080aae4-bb96-4aaa-857a-927e2db3b71b	62139	95.07386	99.30200
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31210	82.53449	97.34201
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25320	89.55896	96.51349
00a1a5b4-43b7-48d5-84fb-be8040321103	27305	95.05721	98.77045
00a37701-ab30-4634-bdea-177896677e22	36360	90.11390	98.10168
00b5ce50-59cb-493a-94a4-dba854087886	26710	88.82485	96.77466
00bd02df-db70-4d71-a40a-513c1eee4a2c	14459	87.32201	96.63426
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24151	87.55026	97.43496
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33728	94.68097	98.75858
00cc2868-998d-4ec6-99cc-458917e05188	38411	89.07304	97.66423
00cda24f-c49d-4974-880c-b8a0ec00183d	66540	92.91938	98.47977
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40724	93.84494	98.69537
00d4fc3b-9848-4d01-a320-653852d68990	60762	92.08556	98.18737
00d5ebcd-4727-44e2-9800-8123837e80d4	44986	86.61518	96.22840
00d7992e-006f-48b6-be8c-e51905fda9ee	29058	90.26004	95.85897
00dd83e2-b142-4917-9dd4-8bfef0e895b4	68966	92.67171	98.74849
00e60ace-39f1-4a34-aeed-87ac2d214fac	25346	93.70621	98.70257
00e78f56-6438-444f-af8c-d66b9a695bad	76884	93.53188	98.95644
00e9aa99-0025-4d45-827f-2892f15e1ded	26138	90.69571	97.48981
00ef41bb-b716-411e-9a73-e8ff95758820	30340	84.02823	96.76830
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36480	95.28596	98.81104
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24568	88.54167	96.11620
00fcb531-d045-4f64-94af-1e15aa90726e	29376	89.18353	98.04678
0101a7bd-66b2-4b83-9228-5fa424a743e2	49640	85.60269	93.29676
010ed54d-2c7f-48f8-8143-5e61bcefc86e	24010	93.94507	98.93336
010efc3a-5954-4192-8b1f-605a8fe3f57a	44623	94.70458	98.70446
0111425a-4694-4dc2-809d-e3fb7e606952	41921	92.04832	98.10697
0113008f-2e5e-4683-8035-c8539b7a2cf4	22299	83.44523	95.54570
