Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5101441	99.72758%	0.946	0.709	0.312	0.151	0.009	0.000
lossless_rebaler	1	5104497	99.81029%	0.976	0.787	0.546	0.510	0.160	0.325
lossless_medaka	1	5112459	99.92102%	0.994	0.982	0.930	0.886	0.688	0.590
LFZip_maxerror_1_flye	1	5101281	99.72163%	0.945	0.707	0.306	0.153	0.005	0.000
LFZip_maxerror_1_rebaler	1	5104505	99.81229%	0.976	0.782	0.551	0.529	0.168	0.231
LFZip_maxerror_1_medaka	1	5112447	99.92402%	0.994	0.983	0.935	0.886	0.701	0.400
SZ_maxerror_1_flye	1	5101321	99.72459%	0.945	0.709	0.311	0.146	0.009	0.000
SZ_maxerror_1_rebaler	1	5104457	99.80931%	0.976	0.782	0.549	0.524	0.191	0.359
SZ_maxerror_1_medaka	1	5112419	99.92502%	0.995	0.984	0.935	0.888	0.721	0.385
LFZip_maxerror_2_flye	1	5101181	99.72162%	0.945	0.706	0.303	0.149	0.009	0.000
LFZip_maxerror_2_rebaler	1	5104555	99.8133%	0.977	0.783	0.548	0.519	0.172	0.333
LFZip_maxerror_2_medaka	1	5112404	99.92501%	0.994	0.982	0.929	0.879	0.710	0.436
SZ_maxerror_2_flye	1	5101256	99.72463%	0.945	0.706	0.307	0.150	0.005	0.000
SZ_maxerror_2_rebaler	1	5104440	99.81231%	0.977	0.787	0.551	0.514	0.142	0.282
SZ_maxerror_2_medaka	1	5112378	99.92202%	0.994	0.981	0.926	0.879	0.694	0.487
LFZip_maxerror_3_flye	1	5101012	99.72166%	0.943	0.702	0.300	0.137	0.005	0.000
LFZip_maxerror_3_rebaler	1	5104330	99.80826%	0.976	0.778	0.545	0.520	0.186	0.350
LFZip_maxerror_3_medaka	1	5112320	99.92401%	0.994	0.980	0.928	0.878	0.709	0.513
SZ_maxerror_3_flye	1	5101015	99.72762%	0.943	0.700	0.297	0.152	0.005	0.000
SZ_maxerror_3_rebaler	1	5104401	99.80633%	0.976	0.783	0.540	0.521	0.173	0.333
SZ_maxerror_3_medaka	1	5112354	99.92202%	0.994	0.981	0.922	0.878	0.701	0.474
LFZip_maxerror_4_flye	1	5100710	99.71264%	0.940	0.696	0.288	0.144	0.005	0.026
LFZip_maxerror_4_rebaler	1	5104329	99.8083%	0.976	0.777	0.542	0.546	0.190	0.538
LFZip_maxerror_4_medaka	1	5112365	99.92202%	0.994	0.980	0.925	0.883	0.712	0.513
SZ_maxerror_4_flye	1	5100680	99.71368%	0.941	0.692	0.295	0.135	0.000	0.025
SZ_maxerror_4_rebaler	1	5104343	99.8103%	0.976	0.778	0.537	0.544	0.186	0.385
SZ_maxerror_4_medaka	1	5112344	99.92501%	0.994	0.980	0.927	0.875	0.697	0.385
LFZip_maxerror_5_flye	1	5100247	99.7067%	0.937	0.686	0.282	0.137	0.000	0.000
LFZip_maxerror_5_rebaler	1	5104043	99.80133%	0.975	0.769	0.543	0.539	0.191	0.359
LFZip_maxerror_5_medaka	1	5112272	99.92302%	0.994	0.979	0.921	0.874	0.694	0.359
SZ_maxerror_5_flye	1	5100339	99.7037%	0.938	0.688	0.278	0.143	0.009	0.000
SZ_maxerror_5_rebaler	1	5104022	99.80332%	0.975	0.772	0.536	0.530	0.181	0.275
SZ_maxerror_5_medaka	1	5112233	99.92402%	0.995	0.980	0.920	0.867	0.710	0.375
LFZip_maxerror_6_flye	1	5099769	99.695765%	0.934	0.679	0.262	0.125	0.005	0.000
LFZip_maxerror_6_rebaler	1	5103753	99.79533%	0.974	0.766	0.527	0.526	0.195	0.385
LFZip_maxerror_6_medaka	1	5112114	99.92202%	0.994	0.977	0.920	0.868	0.688	0.538
SZ_maxerror_6_flye	1	5099831	99.69818000000001%	0.934	0.680	0.261	0.132	0.000	0.000
SZ_maxerror_6_rebaler	1	5103857	99.79436%	0.974	0.765	0.523	0.539	0.196	0.425
SZ_maxerror_6_medaka	1	5112098	99.92401%	0.994	0.977	0.920	0.866	0.695	0.425
LFZip_maxerror_7_flye	1	5099234	99.6913%	0.930	0.667	0.255	0.108	0.000	0.000
LFZip_maxerror_7_rebaler	1	5103541	99.78836%	0.973	0.764	0.525	0.526	0.145	0.308
LFZip_maxerror_7_medaka	1	5111986	99.92002%	0.994	0.977	0.905	0.868	0.656	0.462
SZ_maxerror_7_flye	1	5099085	99.68432999999999%	0.929	0.664	0.253	0.115	0.005	0.000
SZ_maxerror_7_rebaler	1	5103626	99.79337%	0.973	0.762	0.524	0.552	0.177	0.359
SZ_maxerror_7_medaka	1	5112003	99.92302%	0.994	0.976	0.909	0.868	0.683	0.436
LFZip_maxerror_8_flye	1	5098277	99.665435%	0.923	0.649	0.230	0.111	0.005	0.000
LFZip_maxerror_8_rebaler	1	5103256	99.78335%	0.971	0.752	0.511	0.541	0.205	0.359
LFZip_maxerror_8_medaka	1	5111856	99.92302%	0.994	0.972	0.901	0.860	0.647	0.385
