Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5099066	99.41985%	0.899	0.658	0.337	0.218	0.018	0.050
lossless_rebaler	1	5092670	99.39066500000001%	0.911	0.681	0.463	0.420	0.181	0.238
lossless_medaka	1	5108081	99.6426%	0.953	0.856	0.710	0.660	0.348	0.103
LFZip_maxerror_1_flye	1	5099019	99.433595%	0.898	0.660	0.330	0.196	0.023	0.000
LFZip_maxerror_1_rebaler	1	5092741	99.43084999999999%	0.911	0.681	0.463	0.413	0.188	0.256
LFZip_maxerror_1_medaka	1	5107766	99.65562%	0.954	0.856	0.704	0.647	0.410	0.214
SZ_maxerror_1_flye	1	5099199	99.455795%	0.899	0.659	0.331	0.220	0.014	0.000
SZ_maxerror_1_rebaler	1	5093279	99.45284000000001%	0.913	0.687	0.470	0.437	0.197	0.282
SZ_maxerror_1_medaka	1	5107906	99.6506%	0.954	0.856	0.700	0.661	0.356	0.189
LFZip_maxerror_2_flye	1	5099333	99.43354500000001%	0.898	0.658	0.339	0.218	0.023	0.000
LFZip_maxerror_2_rebaler	1	5092677	99.401285%	0.912	0.682	0.464	0.421	0.190	0.302
LFZip_maxerror_2_medaka	1	5107743	99.63962%	0.953	0.852	0.703	0.635	0.405	0.209
SZ_maxerror_2_flye	1	5098937	99.43298%	0.901	0.659	0.330	0.209	0.023	0.000
SZ_maxerror_2_rebaler	1	5093127	99.41095%	0.913	0.678	0.453	0.410	0.209	0.175
SZ_maxerror_2_medaka	1	5108292	99.64647%	0.957	0.859	0.705	0.639	0.367	0.150
LFZip_maxerror_3_flye	1	5098715	99.42909499999999%	0.899	0.652	0.332	0.209	0.027	0.000
LFZip_maxerror_3_rebaler	1	5092512	99.39574%	0.910	0.681	0.454	0.407	0.183	0.098
LFZip_maxerror_3_medaka	1	5107812	99.62164%	0.953	0.854	0.689	0.628	0.341	0.205
SZ_maxerror_3_flye	1	5098465	99.44700499999999%	0.898	0.654	0.321	0.195	0.031	0.000
SZ_maxerror_3_rebaler	1	5092830	99.37781%	0.912	0.674	0.452	0.433	0.195	0.154
SZ_maxerror_3_medaka	1	5107899	99.64756%	0.956	0.855	0.696	0.643	0.383	0.175
LFZip_maxerror_4_flye	1	5097685	99.414155%	0.894	0.642	0.307	0.184	0.036	0.000
LFZip_maxerror_4_rebaler	1	5091300	99.37550999999999%	0.908	0.669	0.448	0.411	0.188	0.214
LFZip_maxerror_4_medaka	1	5107312	99.61973%	0.952	0.845	0.692	0.630	0.326	0.256
SZ_maxerror_4_flye	1	5097761	99.37883500000001%	0.889	0.642	0.317	0.206	0.027	0.103
SZ_maxerror_4_rebaler	1	5091461	99.35012499999999%	0.905	0.670	0.456	0.454	0.189	0.262
SZ_maxerror_4_medaka	1	5107091	99.58986%	0.949	0.837	0.683	0.643	0.398	0.209
LFZip_maxerror_5_flye	1	5097400	99.35202000000001%	0.889	0.636	0.310	0.183	0.028	0.053
LFZip_maxerror_5_rebaler	1	5090180	99.355685%	0.903	0.667	0.447	0.442	0.204	0.244
LFZip_maxerror_5_medaka	1	5106317	99.57787%	0.948	0.835	0.681	0.605	0.367	0.225
SZ_maxerror_5_flye	1	5097287	99.37883500000001%	0.889	0.635	0.306	0.194	0.027	0.000
SZ_maxerror_5_rebaler	1	5091157	99.345565%	0.906	0.666	0.447	0.421	0.211	0.190
SZ_maxerror_5_medaka	1	5106862	99.63468%	0.951	0.839	0.687	0.620	0.372	0.182
LFZip_maxerror_6_flye	1	5096335	99.34863999999999%	0.883	0.628	0.305	0.177	0.032	0.077
LFZip_maxerror_6_rebaler	1	5090642	99.310695%	0.902	0.665	0.452	0.427	0.162	0.366
LFZip_maxerror_6_medaka	1	5106653	99.58691%	0.947	0.839	0.673	0.634	0.364	0.275
SZ_maxerror_6_flye	1	5097224	99.32487499999999%	0.884	0.630	0.306	0.189	0.023	0.000
SZ_maxerror_6_rebaler	1	5090420	99.28717%	0.902	0.667	0.451	0.427	0.187	0.103
SZ_maxerror_6_medaka	1	5106462	99.56995%	0.946	0.840	0.681	0.611	0.353	0.200
LFZip_maxerror_7_flye	1	5095949	99.303405%	0.877	0.618	0.285	0.184	0.023	0.000
LFZip_maxerror_7_rebaler	1	5089439	99.283075%	0.897	0.659	0.435	0.439	0.229	0.184
LFZip_maxerror_7_medaka	1	5106002	99.55497%	0.945	0.836	0.666	0.609	0.391	0.179
SZ_maxerror_7_flye	1	5095671	99.34039%	0.880	0.615	0.287	0.182	0.046	0.000
SZ_maxerror_7_rebaler	1	5089422	99.30741499999999%	0.896	0.652	0.430	0.418	0.197	0.171
SZ_maxerror_7_medaka	1	5105966	99.58686%	0.945	0.823	0.666	0.630	0.369	0.268
LFZip_maxerror_8_flye	1	5093832	99.292055%	0.868	0.605	0.277	0.184	0.027	0.000
LFZip_maxerror_8_rebaler	1	5088068	99.252625%	0.891	0.642	0.428	0.429	0.196	0.308
LFZip_maxerror_8_medaka	1	5105354	99.54596%	0.942	0.821	0.653	0.600	0.363	0.243
SZ_maxerror_8_flye	1	5094254	99.299995%	0.873	0.610	0.280	0.188	0.031	0.024
SZ_maxerror_8_rebaler	1	5087873	99.271155%	0.894	0.655	0.440	0.396	0.157	0.119
SZ_maxerror_8_medaka	1	5105039	99.5631%	0.944	0.823	0.654	0.611	0.359	0.205
LFZip_maxerror_9_flye	1	5093014	99.25028%	0.861	0.589	0.258	0.186	0.023	0.057
LFZip_maxerror_9_rebaler	1	5086112	99.20399%	0.881	0.631	0.420	0.417	0.228	0.244
LFZip_maxerror_9_medaka	1	5103912	99.52931%	0.936	0.803	0.642	0.572	0.401	0.175
SZ_maxerror_9_flye	1	5093701	99.255585%	0.862	0.586	0.266	0.168	0.033	0.026
SZ_maxerror_9_rebaler	1	5087039	99.23597000000001%	0.885	0.637	0.433	0.425	0.165	0.211
SZ_maxerror_9_medaka	1	5104271	99.53015%	0.936	0.808	0.643	0.594	0.365	0.209
LFZip_maxerror_10_flye	1	5090475	99.183315%	0.846	0.563	0.240	0.156	0.036	0.025
LFZip_maxerror_10_rebaler	1	5083499	99.12319500000001%	0.870	0.625	0.408	0.424	0.189	0.238
LFZip_maxerror_10_medaka	1	5102223	99.49428%	0.926	0.788	0.611	0.571	0.320	0.175
SZ_maxerror_10_flye	2	5106373	99.182875%	0.847	0.564	0.248	0.155	0.028	0.000
SZ_maxerror_10_rebaler	2	5099314	99.138045%	0.876	0.622	0.415	0.441	0.194	0.250
