Assembly	num_contigs	total_length	identity
lossless_flye	1	5097151	99.39665500000001%
lossless_rebaler	1	5096410	99.36964%
lossless_medaka	1	5107879	99.62766%
LFZip_maxerror_1_flye	1	5097119	99.39603500000001%
LFZip_maxerror_1_rebaler	1	5096352	99.3735%
LFZip_maxerror_1_medaka	1	5107865	99.61474%
SZ_maxerror_1_flye	1	5096977	99.38254%
SZ_maxerror_1_rebaler	1	5096282	99.36351%
SZ_maxerror_1_medaka	1	5107832	99.61276%
LFZip_maxerror_2_flye	1	5096782	99.38603499999999%
LFZip_maxerror_2_rebaler	1	5096159	99.360725%
LFZip_maxerror_2_medaka	1	5107731	99.61077%
SZ_maxerror_2_flye	1	5096726	99.38579%
SZ_maxerror_2_rebaler	1	5096320	99.355275%
SZ_maxerror_2_medaka	1	5107808	99.61474%
LFZip_maxerror_3_flye	1	5096212	99.37003%
LFZip_maxerror_3_rebaler	1	5095697	99.35861%
LFZip_maxerror_3_medaka	1	5107275	99.61675%
SZ_maxerror_3_flye	1	5096305	99.369435%
SZ_maxerror_3_rebaler	1	5095386	99.37271%
SZ_maxerror_3_medaka	1	5107252	99.60774%
LFZip_maxerror_4_flye	1	5095728	99.35495499999999%
LFZip_maxerror_4_rebaler	1	5095155	99.346735%
LFZip_maxerror_4_medaka	1	5107048	99.58184%
SZ_maxerror_4_flye	1	5095462	99.35763%
SZ_maxerror_4_rebaler	1	5095293	99.34326%
SZ_maxerror_4_medaka	1	5106986	99.5879%
LFZip_maxerror_5_flye	1	5094868	99.34608%
LFZip_maxerror_5_rebaler	1	5094525	99.29063%
LFZip_maxerror_5_medaka	1	5106408	99.56697%
SZ_maxerror_5_flye	1	5094648	99.321875%
SZ_maxerror_5_rebaler	1	5094588	99.31409%
SZ_maxerror_5_medaka	1	5106463	99.5819%
LFZip_maxerror_6_flye	1	5093841	99.28773%
LFZip_maxerror_6_rebaler	1	5093304	99.272285%
LFZip_maxerror_6_medaka	1	5105832	99.57398%
SZ_maxerror_6_flye	1	5093875	99.32531499999999%
SZ_maxerror_6_rebaler	1	5093669	99.276875%
SZ_maxerror_6_medaka	1	5106015	99.576%
LFZip_maxerror_7_flye	1	5092657	99.286445%
LFZip_maxerror_7_rebaler	1	5092370	99.257205%
LFZip_maxerror_7_medaka	1	5104997	99.54609%
SZ_maxerror_7_flye	1	5092660	99.257435%
SZ_maxerror_7_rebaler	1	5092341	99.255725%
SZ_maxerror_7_medaka	1	5104980	99.54706%
LFZip_maxerror_8_flye	1	5091051	99.23376%
LFZip_maxerror_8_rebaler	1	5090871	99.221765%
LFZip_maxerror_8_medaka	1	5104161	99.53431%
SZ_maxerror_8_flye	1	5090949	99.21499%
SZ_maxerror_8_rebaler	1	5090925	99.21582%
SZ_maxerror_8_medaka	1	5104201	99.51224%
LFZip_maxerror_9_flye	1	5088978	99.16542000000001%
LFZip_maxerror_9_rebaler	1	5089425	99.16652500000001%
LFZip_maxerror_9_medaka	1	5103044	99.49044%
SZ_maxerror_9_flye	1	5088767	99.164815%
SZ_maxerror_9_rebaler	1	5089104	99.121475%
SZ_maxerror_9_medaka	1	5102977	99.47839%
LFZip_maxerror_10_flye	1	5087129	99.11455000000001%
LFZip_maxerror_10_rebaler	1	5087622	99.09445%
LFZip_maxerror_10_medaka	1	5101661	99.44089%
SZ_maxerror_10_flye	1	5086116	99.052085%
SZ_maxerror_10_rebaler	1	5085967	99.04865000000001%
SZ_maxerror_10_medaka	1	5100930	99.40704%
