Assembly	num_contigs	total_length	identity
lossless_flye	1	5100322	99.71766%
lossless_rebaler	1	5106121	99.82921%
lossless_medaka	1	5111384	99.92903%
LFZip_maxerror_1_flye	1	5100206	99.71567%
LFZip_maxerror_1_rebaler	1	5105987	99.82721%
LFZip_maxerror_1_medaka	1	5111289	99.92803%
SZ_maxerror_1_flye	1	5100174	99.71364%
SZ_maxerror_1_rebaler	1	5106066	99.82624%
SZ_maxerror_1_medaka	1	5111368	99.93103%
LFZip_maxerror_2_flye	1	5100054	99.71173%
LFZip_maxerror_2_rebaler	1	5105948	99.82124%
LFZip_maxerror_2_medaka	1	5111347	99.92702%
SZ_maxerror_2_flye	1	5100005	99.70669%
SZ_maxerror_2_rebaler	1	5105993	99.82224%
SZ_maxerror_2_medaka	1	5111338	99.92902%
LFZip_maxerror_3_flye	1	5099800	99.70276000000001%
LFZip_maxerror_3_rebaler	1	5105909	99.82227%
LFZip_maxerror_3_medaka	1	5111264	99.92803%
SZ_maxerror_3_flye	1	5099730	99.709725%
SZ_maxerror_3_rebaler	1	5105935	99.82225%
SZ_maxerror_3_medaka	1	5111283	99.92903%
LFZip_maxerror_4_flye	1	5099504	99.706725%
LFZip_maxerror_4_rebaler	1	5105895	99.81823%
LFZip_maxerror_4_medaka	1	5111255	99.92802%
SZ_maxerror_4_flye	1	5099430	99.701255%
SZ_maxerror_4_rebaler	1	5105878	99.81824%
SZ_maxerror_4_medaka	1	5111231	99.92902%
LFZip_maxerror_5_flye	1	5098834	99.68239%
LFZip_maxerror_5_rebaler	1	5105633	99.81227%
LFZip_maxerror_5_medaka	1	5111106	99.92803%
SZ_maxerror_5_flye	1	5098863	99.68435%
SZ_maxerror_5_rebaler	1	5105775	99.81427%
SZ_maxerror_5_medaka	1	5111116	99.92502%
LFZip_maxerror_6_flye	1	5098358	99.68285499999999%
LFZip_maxerror_6_rebaler	1	5105346	99.8113%
LFZip_maxerror_6_medaka	1	5111030	99.92401%
SZ_maxerror_6_flye	1	5098375	99.681835%
SZ_maxerror_6_rebaler	1	5105446	99.81228%
SZ_maxerror_6_medaka	1	5111028	99.92702%
LFZip_maxerror_7_flye	1	5097698	99.66843499999999%
LFZip_maxerror_7_rebaler	1	5105220	99.80531%
LFZip_maxerror_7_medaka	1	5110860	99.92203%
SZ_maxerror_7_flye	1	5097603	99.65845%
SZ_maxerror_7_rebaler	1	5105258	99.80429%
SZ_maxerror_7_medaka	1	5110958	99.92103%
LFZip_maxerror_8_flye	1	5096686	99.635595%
LFZip_maxerror_8_rebaler	1	5105039	99.7963%
LFZip_maxerror_8_medaka	1	5110836	99.92003%
SZ_maxerror_8_flye	1	5096675	99.64159000000001%
SZ_maxerror_8_rebaler	1	5104788	99.80029%
SZ_maxerror_8_medaka	1	5110814	99.92003%
LFZip_maxerror_9_flye	1	5095524	99.617775%
LFZip_maxerror_9_rebaler	1	5104438	99.77839%
LFZip_maxerror_9_medaka	1	5110607	99.91503%
SZ_maxerror_9_flye	1	5095257	99.618705%
SZ_maxerror_9_rebaler	1	5104450	99.78237%
SZ_maxerror_9_medaka	1	5110521	99.91104%
LFZip_maxerror_10_flye	1	5094121	99.59295499999999%
LFZip_maxerror_10_rebaler	1	5104095	99.77239%
LFZip_maxerror_10_medaka	1	5110364	99.91104%
SZ_maxerror_10_flye	1	5093528	99.57108%
SZ_maxerror_10_rebaler	1	5103693	99.76239%
SZ_maxerror_10_medaka	1	5110236	99.90404%
