Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24266	83.50595	96.52480
0005323f-791d-4bd1-bd5f-3f110cb72b08	39776	92.74635	98.54871
00077d28-f985-4800-898e-d4baede5d2aa	54430	91.54882	98.49829
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39200	91.65905	98.57492
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35084	84.54621	97.76293
001d8d6e-757f-480d-a669-0006d8a5f626	42849	89.57845	94.91092
001f7476-594f-4678-af46-5099a88715d6	43312	91.51961	98.03169
00230607-1f5e-4ef3-9671-469337df680e	51569	92.47711	98.23396
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51718	87.98652	99.05927
00297c69-4e23-4bd1-ac47-19cb7be83482	29676	92.79545	98.32956
002ad6a6-683b-4690-b9c6-575bcabf37ce	24418	92.99315	98.35216
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29916	86.74646	96.12616
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38787	91.54680	98.37922
00390b97-655b-46b0-a98b-58447dd648da	51732	85.74078	98.53157
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26251	90.35231	99.66046
004859f1-928a-4eaf-baf9-05d6d22e6a39	32465	74.59937	95.96113
00522979-c6f1-469f-8be0-79be118254e5	34803	85.92273	98.56765
005dc13e-03d7-476a-b96e-8ab951632af7	22201	79.45789	103.10179
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30357	91.82085	98.37319
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61152	92.93677	98.36253
0061df3e-73ca-45e3-a1af-acefebde42f7	23111	87.49271	99.65736
00655c70-1351-4499-a549-cf7d37787857	24331	79.29578	93.97422
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46068	83.45743	96.57600
0067d222-d113-46c9-8786-b9abab8e4cfe	35052	90.08702	98.39464
006bfc22-acbe-4577-b755-ccf23d255cd9	24564	84.03109	91.17450
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33721	87.04662	97.99341
0075fd5b-313a-48e1-8c75-484ee3840279	43086	90.04848	97.54359
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25568	91.44782	99.29374
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22335	93.57137	98.60168
007ed5ba-a641-43c9-88b0-547ffd8952c8	31016	91.02847	98.22632
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26123	92.08932	98.61227
0080aae4-bb96-4aaa-857a-927e2db3b71b	62183	92.69881	99.35165
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31625	80.33257	98.49906
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25248	87.02606	96.07356
00a1a5b4-43b7-48d5-84fb-be8040321103	27283	92.76323	98.53373
00a37701-ab30-4634-bdea-177896677e22	36380	87.31623	98.05009
00b5ce50-59cb-493a-94a4-dba854087886	26748	86.35914	96.84739
00bd02df-db70-4d71-a40a-513c1eee4a2c	23979	85.08445	96.75222
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24128	85.04029	97.17956
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33655	91.80738	98.40641
00cc2868-998d-4ec6-99cc-458917e05188	47362	85.09005	97.64297
00cda24f-c49d-4974-880c-b8a0ec00183d	66400	90.21656	98.20555
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40594	91.35893	98.34042
00d4fc3b-9848-4d01-a320-653852d68990	65083	89.75452	97.75364
00d5ebcd-4727-44e2-9800-8123837e80d4	45171	84.34442	96.57982
00d7992e-006f-48b6-be8c-e51905fda9ee	28993	87.51738	95.50506
00dd83e2-b142-4917-9dd4-8bfef0e895b4	68873	90.36328	98.56338
00e60ace-39f1-4a34-aeed-87ac2d214fac	25233	91.14147	98.11638
