Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24340	85.20051	96.80080
0005323f-791d-4bd1-bd5f-3f110cb72b08	39978	94.60457	99.04575
00077d28-f985-4800-898e-d4baede5d2aa	54621	93.09564	98.84649
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39400	93.53295	99.07181
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35261	86.38961	98.23830
001d8d6e-757f-480d-a669-0006d8a5f626	43234	91.49698	95.77058
001f7476-594f-4678-af46-5099a88715d6	43567	93.87577	98.60853
00230607-1f5e-4ef3-9671-469337df680e	51775	94.15775	98.61390
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51688	89.98509	98.99593
00297c69-4e23-4bd1-ac47-19cb7be83482	29824	94.56425	98.82537
002ad6a6-683b-4690-b9c6-575bcabf37ce	24578	94.55402	98.98781
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30084	89.01054	96.67032
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	39005	93.25848	98.92881
00390b97-655b-46b0-a98b-58447dd648da	51839	88.01619	98.74365
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26259	92.49264	99.71006
004859f1-928a-4eaf-baf9-05d6d22e6a39	32853	74.14100	97.13946
00522979-c6f1-469f-8be0-79be118254e5	34829	87.82597	98.63010
005dc13e-03d7-476a-b96e-8ab951632af7	21988	81.24163	102.14903
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30450	93.84078	98.68228
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61420	94.90011	98.79446
0061df3e-73ca-45e3-a1af-acefebde42f7	23130	89.16747	99.80470
00655c70-1351-4499-a549-cf7d37787857	24590	81.34432	94.98195
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46393	85.43668	97.25282
0067d222-d113-46c9-8786-b9abab8e4cfe	35189	92.15540	98.77204
006bfc22-acbe-4577-b755-ccf23d255cd9	24809	85.89475	92.08397
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33756	89.27550	98.09813
0075fd5b-313a-48e1-8c75-484ee3840279	43409	91.87305	98.28369
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25704	93.52683	99.82831
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22469	95.32784	99.22315
007ed5ba-a641-43c9-88b0-547ffd8952c8	31206	92.59825	98.81119
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26213	93.71972	98.94593
0080aae4-bb96-4aaa-857a-927e2db3b71b	62365	94.25692	99.63978
