Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24284	83.51348	96.60019
0005323f-791d-4bd1-bd5f-3f110cb72b08	39789	92.78939	98.58101
00077d28-f985-4800-898e-d4baede5d2aa	54487	91.55270	98.59983
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39189	91.75273	98.54718
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35109	84.57905	97.83563
001d8d6e-757f-480d-a669-0006d8a5f626	42869	89.62841	94.95535
001f7476-594f-4678-af46-5099a88715d6	43298	91.52573	97.99764
00230607-1f5e-4ef3-9671-469337df680e	51558	92.46858	98.21296
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51757	88.02400	99.13030
00297c69-4e23-4bd1-ac47-19cb7be83482	29676	92.82162	98.33289
002ad6a6-683b-4690-b9c6-575bcabf37ce	24404	92.92716	98.29548
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29910	86.76554	96.10679
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38802	91.61826	98.41484
00390b97-655b-46b0-a98b-58447dd648da	51727	85.88177	98.52203
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26244	90.39174	99.63757
004859f1-928a-4eaf-baf9-05d6d22e6a39	32483	74.65687	96.00582
00522979-c6f1-469f-8be0-79be118254e5	34804	86.02539	98.56765
005dc13e-03d7-476a-b96e-8ab951632af7	22183	79.43359	103.01303
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30356	91.83869	98.37319
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61160	92.96309	98.37516
0061df3e-73ca-45e3-a1af-acefebde42f7	23126	87.49688	99.71808
00655c70-1351-4499-a549-cf7d37787857	24333	79.23844	93.98198
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46095	83.51177	96.63276
0067d222-d113-46c9-8786-b9abab8e4cfe	35048	90.10434	98.38056
006bfc22-acbe-4577-b755-ccf23d255cd9	24566	84.13950	91.18195
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33707	87.08489	97.94966
0075fd5b-313a-48e1-8c75-484ee3840279	43078	90.06805	97.52316
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25563	91.58576	99.27423
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22326	93.59154	98.54841
