Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24195	82.91820	96.26812
0005323f-791d-4bd1-bd5f-3f110cb72b08	39821	92.39555	98.66289
00077d28-f985-4800-898e-d4baede5d2aa	54514	91.14418	98.64698
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39229	91.75107	98.65789
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35273	84.19392	98.29399
001d8d6e-757f-480d-a669-0006d8a5f626	42950	89.45503	95.13972
001f7476-594f-4678-af46-5099a88715d6	43278	91.28759	97.95677
00230607-1f5e-4ef3-9671-469337df680e	51587	92.17165	98.26260
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51724	87.97210	99.05930
00297c69-4e23-4bd1-ac47-19cb7be83482	29764	92.51476	98.63903
002ad6a6-683b-4690-b9c6-575bcabf37ce	24464	92.69243	98.53840
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29991	86.34611	96.36182
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38817	91.50866	98.45034
00390b97-655b-46b0-a98b-58447dd648da	51737	85.47324	98.54303
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26154	90.08007	99.29422
004859f1-928a-4eaf-baf9-05d6d22e6a39	32252	73.25832	95.36756
00522979-c6f1-469f-8be0-79be118254e5	34864	85.87957	98.73817
005dc13e-03d7-476a-b96e-8ab951632af7	22037	79.54994	102.34503
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30351	91.65312	98.35367
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61131	92.72001	98.32546
0061df3e-73ca-45e3-a1af-acefebde42f7	22998	87.00584	99.24052
00655c70-1351-4499-a549-cf7d37787857	24144	78.89076	93.24744
00670f05-efd1-41c1-9191-9d30bbe3d3d6	45993	83.51497	96.41206
0067d222-d113-46c9-8786-b9abab8e4cfe	35174	90.07186	98.74637
006bfc22-acbe-4577-b755-ccf23d255cd9	24603	83.95867	91.31991
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33730	86.90730	98.02841
0075fd5b-313a-48e1-8c75-484ee3840279	43180	89.80203	97.76153
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25586	91.28781	99.36398
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22426	93.27200	99.03223
007ed5ba-a641-43c9-88b0-547ffd8952c8	31201	90.76250	98.80165
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26175	92.15562	98.78215
0080aae4-bb96-4aaa-857a-927e2db3b71b	62364	92.47075	99.64299
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31470	79.87474	98.00494
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25362	86.71568	96.51732
00a1a5b4-43b7-48d5-84fb-be8040321103	27380	92.68284	98.88215
00a37701-ab30-4634-bdea-177896677e22	36391	87.11595	98.07978
00b5ce50-59cb-493a-94a4-dba854087886	26835	86.02729	97.13829
00bd02df-db70-4d71-a40a-513c1eee4a2c	24189	84.98888	97.61953
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24163	84.65291	97.32378
