Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24168	82.76221	96.16801
0005323f-791d-4bd1-bd5f-3f110cb72b08	39823	92.26246	98.66786
00077d28-f985-4800-898e-d4baede5d2aa	54538	90.84470	98.69051
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39307	91.54298	98.85742
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35198	83.93086	98.08424
001d8d6e-757f-480d-a669-0006d8a5f626	42854	89.22289	94.93092
001f7476-594f-4678-af46-5099a88715d6	43285	91.02034	97.97267
00230607-1f5e-4ef3-9671-469337df680e	51541	91.93155	98.17286
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51633	87.71102	98.88833
00297c69-4e23-4bd1-ac47-19cb7be83482	29767	92.17201	98.64901
002ad6a6-683b-4690-b9c6-575bcabf37ce	24435	92.55002	98.42099
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29912	86.29217	96.10356
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38782	91.25495	98.35874
00390b97-655b-46b0-a98b-58447dd648da	51600	85.48090	98.27586
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26070	89.91877	98.98138
004859f1-928a-4eaf-baf9-05d6d22e6a39	32204	73.34738	95.16506
00522979-c6f1-469f-8be0-79be118254e5	34786	85.53186	98.52678
005dc13e-03d7-476a-b96e-8ab951632af7	21978	79.52289	102.10000
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30324	91.47477	98.27884
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61091	92.45436	98.26100
0061df3e-73ca-45e3-a1af-acefebde42f7	22943	86.85717	98.97601
00655c70-1351-4499-a549-cf7d37787857	24038	78.65641	92.82027
00670f05-efd1-41c1-9191-9d30bbe3d3d6	45882	83.25869	96.17454
0067d222-d113-46c9-8786-b9abab8e4cfe	35073	89.71722	98.44815
006bfc22-acbe-4577-b755-ccf23d255cd9	24604	83.62492	91.32364
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33756	86.61676	98.10715
0075fd5b-313a-48e1-8c75-484ee3840279	43142	89.55598	97.67320
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25476	90.88762	98.94256
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22317	92.99716	98.54397
007ed5ba-a641-43c9-88b0-547ffd8952c8	31205	90.37973	98.81437
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26163	91.98470	98.74848
0080aae4-bb96-4aaa-857a-927e2db3b71b	62346	92.04693	99.60938
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31383	79.24796	97.73601
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25280	86.45423	96.20766
