Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5109204	99.91306%	0.992	0.931	0.728	0.465	0.109	0.025
lossless_rebaler	1	5109753	99.93903%	0.997	0.961	0.811	0.629	0.314	0.154
lossless_medaka	1	5111826	99.977%	0.999	0.998	0.983	0.917	0.779	0.513
LFZip_maxerror_1_flye	1	5109157	99.91006%	0.992	0.930	0.725	0.468	0.100	0.050
LFZip_maxerror_1_rebaler	1	5109768	99.94202%	0.997	0.961	0.814	0.630	0.282	0.154
LFZip_maxerror_1_medaka	1	5111837	99.977%	0.999	0.998	0.982	0.916	0.777	0.538
SZ_maxerror_1_flye	1	5109208	99.91306%	0.992	0.928	0.733	0.465	0.123	0.050
SZ_maxerror_1_rebaler	1	5109819	99.94103%	0.997	0.959	0.819	0.650	0.295	0.154
SZ_maxerror_1_medaka	1	5111822	99.976%	0.999	0.998	0.980	0.916	0.755	0.590
LFZip_maxerror_2_flye	1	5109095	99.90907%	0.992	0.927	0.727	0.448	0.109	0.026
LFZip_maxerror_2_rebaler	1	5109793	99.94002%	0.997	0.959	0.815	0.630	0.303	0.154
LFZip_maxerror_2_medaka	1	5111806	99.976%	0.999	0.998	0.978	0.908	0.764	0.538
SZ_maxerror_2_flye	1	5109129	99.91005%	0.992	0.927	0.725	0.458	0.105	0.000
SZ_maxerror_2_rebaler	1	5109749	99.94001%	0.997	0.958	0.818	0.638	0.291	0.179
SZ_maxerror_2_medaka	1	5111831	99.977%	0.999	0.998	0.982	0.916	0.733	0.615
LFZip_maxerror_3_flye	1	5108918	99.90407%	0.991	0.924	0.717	0.444	0.095	0.026
LFZip_maxerror_3_rebaler	1	5109696	99.94103%	0.997	0.958	0.811	0.630	0.286	0.231
LFZip_maxerror_3_medaka	1	5111759	99.977%	0.999	0.998	0.978	0.902	0.787	0.538
SZ_maxerror_3_flye	1	5109001	99.90807%	0.992	0.925	0.717	0.461	0.091	0.050
SZ_maxerror_3_rebaler	1	5109695	99.93803%	0.997	0.957	0.806	0.624	0.291	0.154
SZ_maxerror_3_medaka	1	5111787	99.976%	0.999	0.998	0.981	0.914	0.768	0.462
LFZip_maxerror_4_flye	1	5108872	99.90407%	0.991	0.919	0.713	0.450	0.095	0.026
LFZip_maxerror_4_rebaler	1	5109593	99.93903%	0.997	0.955	0.805	0.611	0.267	0.154
LFZip_maxerror_4_medaka	1	5111773	99.975%	0.999	0.998	0.976	0.910	0.750	0.513
SZ_maxerror_4_flye	1	5108894	99.90607%	0.991	0.920	0.713	0.465	0.091	0.051
SZ_maxerror_4_rebaler	1	5109621	99.94003%	0.996	0.954	0.812	0.626	0.267	0.154
SZ_maxerror_4_medaka	1	5111745	99.977%	0.999	0.998	0.978	0.906	0.755	0.513
LFZip_maxerror_5_flye	1	5108696	99.90207%	0.991	0.915	0.699	0.437	0.082	0.026
LFZip_maxerror_5_rebaler	1	5109535	99.93902%	0.997	0.953	0.805	0.615	0.250	0.154
LFZip_maxerror_5_medaka	1	5111715	99.975%	0.999	0.997	0.973	0.903	0.764	0.538
SZ_maxerror_5_flye	1	5108697	99.90507%	0.990	0.916	0.702	0.435	0.091	0.000
SZ_maxerror_5_rebaler	1	5109553	99.93703%	0.997	0.953	0.803	0.599	0.273	0.128
SZ_maxerror_5_medaka	1	5111733	99.975%	0.999	0.998	0.973	0.909	0.742	0.487
LFZip_maxerror_6_flye	1	5108395	99.89708%	0.990	0.906	0.691	0.424	0.068	0.026
LFZip_maxerror_6_rebaler	1	5109389	99.93503%	0.997	0.946	0.797	0.604	0.258	0.103
LFZip_maxerror_6_medaka	1	5111676	99.975%	0.999	0.996	0.972	0.900	0.732	0.436
SZ_maxerror_6_flye	1	5108465	99.89908%	0.989	0.910	0.696	0.439	0.091	0.000
SZ_maxerror_6_rebaler	1	5109405	99.93304%	0.996	0.947	0.794	0.598	0.273	0.103
