Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5109187	99.91006%	0.993	0.928	0.730	0.485	0.086	0.026
lossless_rebaler	1	5109472	99.93104%	0.995	0.949	0.801	0.623	0.309	0.231
lossless_medaka	1	5111794	99.972%	0.998	0.995	0.971	0.903	0.718	0.462
LFZip_maxerror_1_flye	1	5109158	99.91006%	0.992	0.929	0.732	0.473	0.073	0.026
LFZip_maxerror_1_rebaler	1	5109387	99.92904%	0.995	0.949	0.797	0.614	0.277	0.205
LFZip_maxerror_1_medaka	1	5111738	99.971%	0.998	0.995	0.971	0.903	0.705	0.385
SZ_maxerror_1_flye	1	5109111	99.91105%	0.993	0.925	0.725	0.475	0.073	0.051
SZ_maxerror_1_rebaler	1	5109394	99.93004%	0.995	0.948	0.795	0.627	0.308	0.154
SZ_maxerror_1_medaka	1	5111693	99.969%	0.998	0.995	0.967	0.889	0.679	0.462
LFZip_maxerror_2_flye	1	5109087	99.91206%	0.992	0.926	0.725	0.468	0.095	0.026
LFZip_maxerror_2_rebaler	1	5109373	99.92903%	0.995	0.946	0.799	0.624	0.282	0.205
LFZip_maxerror_2_medaka	1	5111729	99.97%	0.998	0.995	0.969	0.894	0.659	0.436
SZ_maxerror_2_flye	1	5109137	99.90906%	0.992	0.928	0.713	0.470	0.105	0.000
SZ_maxerror_2_rebaler	1	5109370	99.92904%	0.996	0.949	0.789	0.619	0.332	0.205
SZ_maxerror_2_medaka	1	5111698	99.971%	0.998	0.995	0.965	0.889	0.701	0.450
LFZip_maxerror_3_flye	1	5108967	99.90906%	0.993	0.922	0.724	0.455	0.086	0.000
LFZip_maxerror_3_rebaler	1	5109311	99.93004%	0.995	0.948	0.795	0.605	0.268	0.205
LFZip_maxerror_3_medaka	1	5111704	99.971%	0.998	0.996	0.968	0.886	0.710	0.462
SZ_maxerror_3_flye	1	5108968	99.90606%	0.991	0.924	0.719	0.465	0.064	0.077
SZ_maxerror_3_rebaler	1	5109258	99.92605%	0.995	0.944	0.792	0.613	0.264	0.200
SZ_maxerror_3_medaka	1	5111675	99.97%	0.998	0.995	0.965	0.889	0.727	0.436
LFZip_maxerror_4_flye	1	5108780	99.90507%	0.991	0.916	0.712	0.447	0.059	0.000
LFZip_maxerror_4_rebaler	1	5109177	99.92404%	0.994	0.941	0.791	0.584	0.277	0.205
LFZip_maxerror_4_medaka	1	5111664	99.97%	0.998	0.994	0.966	0.887	0.686	0.436
