Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24324	85.33952	96.74514
0005323f-791d-4bd1-bd5f-3f110cb72b08	39993	94.71334	99.08049
00077d28-f985-4800-898e-d4baede5d2aa	54636	93.18368	98.86281
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39382	93.73078	99.03650
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35223	86.59115	98.13204
001d8d6e-757f-480d-a669-0006d8a5f626	43246	91.59345	95.79502
001f7476-594f-4678-af46-5099a88715d6	43573	94.01805	98.62650
00230607-1f5e-4ef3-9671-469337df680e	51787	94.21513	98.63681
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51723	90.09842	99.06312
00297c69-4e23-4bd1-ac47-19cb7be83482	29842	94.59140	98.88527
002ad6a6-683b-4690-b9c6-575bcabf37ce	24573	94.57355	98.98376
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30097	89.06166	96.69613
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38985	93.33183	98.87538
00390b97-655b-46b0-a98b-58447dd648da	51838	87.99534	98.73410
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26256	92.46106	99.69861
004859f1-928a-4eaf-baf9-05d6d22e6a39	32973	74.69051	97.43485
00522979-c6f1-469f-8be0-79be118254e5	34828	88.01874	98.62441
005dc13e-03d7-476a-b96e-8ab951632af7	21995	81.26836	102.18163
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30463	93.85675	98.72783
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61502	94.98806	98.92823
0061df3e-73ca-45e3-a1af-acefebde42f7	23144	89.05845	99.81793
00655c70-1351-4499-a549-cf7d37787857	24559	81.69780	94.84612
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46477	85.41815	97.42938
0067d222-d113-46c9-8786-b9abab8e4cfe	35151	92.08637	98.66783
006bfc22-acbe-4577-b755-ccf23d255cd9	24842	85.96188	92.20358
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33745	89.16945	98.06896
0075fd5b-313a-48e1-8c75-484ee3840279	43417	91.99135	98.29958
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25691	93.59190	99.77759
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22475	95.43263	99.23203
007ed5ba-a641-43c9-88b0-547ffd8952c8	31217	92.68894	98.84298
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26248	93.84667	99.07864
0080aae4-bb96-4aaa-857a-927e2db3b71b	62370	94.27741	99.64781
0085852b-6a7c-4f6d-bfc7-0d490a28d968	32101	82.36980	99.96248
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25454	89.34849	96.86138
00a1a5b4-43b7-48d5-84fb-be8040321103	27443	94.62785	99.11443
