Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24297	86.78078	96.64091
0005323f-791d-4bd1-bd5f-3f110cb72b08	40071	95.58595	99.27686
00077d28-f985-4800-898e-d4baede5d2aa	54729	94.45707	99.02967
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39490	94.82377	99.31381
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35045	88.08087	97.65321
001d8d6e-757f-480d-a669-0006d8a5f626	43626	92.52191	96.64134
001f7476-594f-4678-af46-5099a88715d6	43793	94.92851	99.10335
00230607-1f5e-4ef3-9671-469337df680e	52034	95.27574	99.10653
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51423	91.80214	98.49677
00297c69-4e23-4bd1-ac47-19cb7be83482	29978	95.77442	99.35112
002ad6a6-683b-4690-b9c6-575bcabf37ce	24596	95.53614	99.07689
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30277	90.22533	97.25108
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	39091	94.69564	99.13745
00390b97-655b-46b0-a98b-58447dd648da	51802	89.40554	98.67492
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26090	93.90955	99.06531
004859f1-928a-4eaf-baf9-05d6d22e6a39	32125	76.40992	95.00980
00522979-c6f1-469f-8be0-79be118254e5	34204	89.91484	96.85662
005dc13e-03d7-476a-b96e-8ab951632af7	21240	84.89794	98.65458
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30594	94.83683	99.15086
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61797	95.85007	99.40207
0061df3e-73ca-45e3-a1af-acefebde42f7	22954	90.17202	98.98561
00655c70-1351-4499-a549-cf7d37787857	24607	82.34368	95.04405
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46260	86.61562	96.97925
0067d222-d113-46c9-8786-b9abab8e4cfe	35256	93.42615	98.96637
006bfc22-acbe-4577-b755-ccf23d255cd9	25040	86.86164	92.93811
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33595	90.25752	97.63759
0075fd5b-313a-48e1-8c75-484ee3840279	43731	93.07854	99.01496
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25622	94.58639	99.52006
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22547	96.29727	99.56497
007ed5ba-a641-43c9-88b0-547ffd8952c8	31301	94.16998	99.12258
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26240	95.13621	99.04831
0080aae4-bb96-4aaa-857a-927e2db3b71b	62314	95.52557	99.55817
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31435	84.20578	97.92344
