Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24269	86.92706	96.50851
0005323f-791d-4bd1-bd5f-3f110cb72b08	40109	95.72811	99.37626
00077d28-f985-4800-898e-d4baede5d2aa	54839	94.53434	99.23825
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39555	94.97027	99.47779
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35079	88.22667	97.76230
001d8d6e-757f-480d-a669-0006d8a5f626	43626	92.76457	96.64134
001f7476-594f-4678-af46-5099a88715d6	43832	95.02028	99.20552
00230607-1f5e-4ef3-9671-469337df680e	52036	95.46210	99.11035
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51467	91.93190	98.58125
00297c69-4e23-4bd1-ac47-19cb7be83482	29946	95.83320	99.23466
002ad6a6-683b-4690-b9c6-575bcabf37ce	24607	95.51683	99.12952
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30283	90.62203	97.27367
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	39097	94.70897	99.15271
00390b97-655b-46b0-a98b-58447dd648da	51805	89.62545	98.67873
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26088	94.02278	99.06150
004859f1-928a-4eaf-baf9-05d6d22e6a39	32211	76.69980	95.27103
00522979-c6f1-469f-8be0-79be118254e5	34314	90.23441	97.16356
005dc13e-03d7-476a-b96e-8ab951632af7	21289	85.17910	98.88827
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30641	95.04267	99.30702
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61766	96.07077	99.35049
0061df3e-73ca-45e3-a1af-acefebde42f7	22908	90.48867	98.82843
00655c70-1351-4499-a549-cf7d37787857	24695	82.79731	95.36229
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46299	86.93813	97.05524
0067d222-d113-46c9-8786-b9abab8e4cfe	35267	93.42688	98.98609
006bfc22-acbe-4577-b755-ccf23d255cd9	25069	87.03016	93.05742
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33678	90.39217	97.88258
0075fd5b-313a-48e1-8c75-484ee3840279	43758	93.27279	99.07622
