Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24303	87.18797	96.66827
0005323f-791d-4bd1-bd5f-3f110cb72b08	40093	95.84844	99.33401
00077d28-f985-4800-898e-d4baede5d2aa	54858	94.61074	99.27089
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39568	95.00149	99.51058
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35074	88.16801	97.73992
001d8d6e-757f-480d-a669-0006d8a5f626	43637	92.82120	96.66356
001f7476-594f-4678-af46-5099a88715d6	43799	95.22197	99.12834
00230607-1f5e-4ef3-9671-469337df680e	52054	95.65423	99.14471
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51462	92.04742	98.57165
00297c69-4e23-4bd1-ac47-19cb7be83482	29956	95.98407	99.26461
002ad6a6-683b-4690-b9c6-575bcabf37ce	24649	95.64730	99.29957
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30342	90.57886	97.46725
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	39116	94.87173	99.20106
00390b97-655b-46b0-a98b-58447dd648da	51874	89.65351	98.81239
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26073	94.17918	99.00427
004859f1-928a-4eaf-baf9-05d6d22e6a39	32205	76.89055	95.23667
00522979-c6f1-469f-8be0-79be118254e5	34334	90.22180	97.21472
005dc13e-03d7-476a-b96e-8ab951632af7	21295	85.25581	98.90695
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30652	95.10779	99.34281
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61821	96.11110	99.43913
0061df3e-73ca-45e3-a1af-acefebde42f7	22967	90.63489	99.04630
00655c70-1351-4499-a549-cf7d37787857	24693	82.80107	95.37393
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46334	87.11272	97.13091
0067d222-d113-46c9-8786-b9abab8e4cfe	35287	93.50232	99.05086
006bfc22-acbe-4577-b755-ccf23d255cd9	25051	87.11077	92.99776
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33630	90.48596	97.74258
0075fd5b-313a-48e1-8c75-484ee3840279	43762	93.21081	99.08078
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25595	95.01212	99.41080
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22576	96.76469	99.69370
007ed5ba-a641-43c9-88b0-547ffd8952c8	31297	94.33193	99.09727
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26267	95.43273	99.14310
0080aae4-bb96-4aaa-857a-927e2db3b71b	62327	95.60387	99.57578
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31522	84.79861	98.18938
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25628	90.81747	97.51892
00a1a5b4-43b7-48d5-84fb-be8040321103	27568	95.76466	99.56818
00a37701-ab30-4634-bdea-177896677e22	36670	91.64043	98.82356
00b5ce50-59cb-493a-94a4-dba854087886	27027	89.88784	97.85826
00bd02df-db70-4d71-a40a-513c1eee4a2c	24170	88.78936	97.54288
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24354	89.31901	98.09134
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33943	95.22430	99.26043
00cc2868-998d-4ec6-99cc-458917e05188	47816	88.94892	98.59432
00cda24f-c49d-4974-880c-b8a0ec00183d	67066	93.72844	99.19247
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40945	94.53645	99.18600
00d4fc3b-9848-4d01-a320-653852d68990	66019	93.01046	99.16041
00d5ebcd-4727-44e2-9800-8123837e80d4	45678	87.55761	97.66739
00d7992e-006f-48b6-be8c-e51905fda9ee	29339	91.14163	96.65608
00dd83e2-b142-4917-9dd4-8bfef0e895b4	69339	93.56843	99.22593
00e60ace-39f1-4a34-aeed-87ac2d214fac	25488	94.42862	99.12072
00e78f56-6438-444f-af8c-d66b9a695bad	77711	94.63719	99.95104
00e9aa99-0025-4d45-827f-2892f15e1ded	26448	91.77646	98.51394
00ef41bb-b716-411e-9a73-e8ff95758820	30753	85.69663	98.07581
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36736	95.76751	99.38652
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24884	89.25252	97.35383
00fcb531-d045-4f64-94af-1e15aa90726e	29694	90.41922	99.08887
0101a7bd-66b2-4b83-9228-5fa424a743e2	50473	87.14051	94.67295
010ed54d-2c7f-48f8-8143-5e61bcefc86e	24212	94.62099	99.61551
010efc3a-5954-4192-8b1f-605a8fe3f57a	44866	95.41692	99.14693
0111425a-4694-4dc2-809d-e3fb7e606952	42297	93.00948	98.92329
0113008f-2e5e-4683-8035-c8539b7a2cf4	22576	84.88024	96.67600
0117cfef-4330-49af-a1fa-55ba10670a48	33604	89.80285	99.07646
0119c56e-8ca4-408d-9437-c00d3376724e	30226	93.51446	99.40211
012a1baa-7674-4ced-8986-d25685a3db1f	54992	90.28661	98.09246
012a5c36-a376-41d4-8202-ba109f64a045	38720	93.52251	98.88821
012ab4f9-9623-4aad-9d55-d2f58df5bf81	61125	75.60044	91.80967
012b331e-7a57-40d1-b8b0-dbb59a6d7b2b	43433	95.18520	99.51512
012d88c7-d7be-4cb1-955e-f715b56fc785	45399	89.79519	97.84549
0135b3ea-119a-4b90-bb23-c4a259b5485c	22280	88.12495	98.30546
013b50b8-059f-4ea1-b72c-5b860d934ab6	22843	91.78240	98.96346
014173c1-d464-4167-b298-e0830c537817	36751	94.81868	99.50293
014388b1-7568-44f8-8ab7-28138c974c1c	41561	92.45234	98.98963
01453be5-a426-476c-a620-8d000d05e321	30960	96.30612	99.65743
01496e86-5502-4a77-bc5a-29d9c4a03054	52289	95.86089	99.42633
01497bf6-f687-45e8-80e7-cf78cdc58a94	50778	94.67523	99.51278
01501472-204a-4918-8c9c-097d4baf56ea	49025	95.11384	99.50375
01547db8-3056-4cbd-91df-89b627291d83	42574	94.70303	99.49375
0154f3a0-ed79-4228-abfc-6049826a1e32	23229	93.90614	99.07816
01551840-3909-4aac-a4d0-c25fe65771f2	36135	94.37663	99.25597
0156020b-1033-407b-a9fe-794df68c17e4	36122	93.64297	99.21705
01606fa1-47d0-4eb2-a17f-2d546f130f69	25703	92.96101	98.92498
0164aa87-6262-4444-93b7-e57e877c799e	56132	79.54451	92.63663
0167daca-3f20-4219-9ffb-fb06bd2e813b	28187	78.22073	93.46534
0169c841-f1ee-4788-96e5-e3a8ae8a64db	25586	92.17924	98.86611
017093c2-660a-4b35-a91c-ed087c8ca46a	23975	94.53221	98.90552
017813fc-4d95-42dd-8f0b-60c3e6094374	39983	95.61523	99.90727
017ab821-317f-491c-907d-91bff47bc966	27544	94.58609	99.53526
017ada6c-b56a-4b24-abd0-41462b64a29a	93311	88.59574	99.42071
017d08cd-0dad-4d59-8877-f71297c5c5db	29020	95.71895	99.31262
017fb78f-3b78-4104-bc9d-fd848ba36b28	35077	91.64106	96.26590
018139bb-bb1b-4c16-9918-2a0756f00731	23405	83.57712	97.06434
01876460-c3ef-41de-aa50-237b7f14ed36	34445	86.38008	98.30989
018bf019-582c-4b17-804b-a79bfbab3e81	43499	88.17438	97.75819
018f2d1f-ff5d-4645-81a7-78a9f25c750e	62279	88.15765	97.27865
0193dbb8-2f3c-4592-8aef-7780f0ff8c9d	24765	92.64758	99.28310
01943edb-2dab-424e-bbf0-e04ea9f10b2e	33259	94.95888	99.35234
019a82ad-2078-4f87-b698-75436a4ad232	68224	95.30477	99.27411
01a5fca4-835e-4c31-9880-6889d2bfc221	31580	89.94594	98.36168
01a86738-6b06-4a93-93c8-53fb3936f756	32827	95.78270	99.53130
01a99807-5555-4656-9a7e-b5e698b37ce0	52987	96.26511	99.43949
01ac1f7c-1b50-4814-b3e5-0b5d0674c9a9	27664	91.09170	98.39240
01ac7e5d-6c05-4b06-8c11-f77cce45e0fb	48231	95.63442	99.43578
01ad116d-d507-40d4-a01b-4cfb88138aef	26999	90.20576	98.38533
01b1aaa4-0a34-4b5d-a454-d30f873c384d	23515	93.51814	98.12865
01b1e39a-1260-4cc1-a5d2-aca5a00775ab	33643	88.85007	97.72661
01b21edf-aa37-4ff5-83b3-c24b921f4152	46184	93.74674	99.28881
01b462b0-5ccf-4f26-99f0-bc3240d212ff	23412	86.09422	97.70125
01ceffe1-b1fb-4c47-baa4-a410ef6755fd	83364	83.72064	97.38317
01cfa790-5cd5-4733-a389-7efc8669d89e	22222	80.49651	97.12967
01d1a864-ed70-4ee2-88bd-b642cb8f9890	29208	91.53467	98.10060
01d4eb52-ebae-48aa-9540-8474dac8e235	26827	92.89125	99.13131
01d65bc7-7b5f-4fb6-83cd-867379d68174	63981	86.84683	97.73447
01d9a8e1-406e-4f0c-b3cd-e75da55d87c4	25465	85.04445	99.47017
01e2fa42-c5cd-4f1e-8c77-8284bb83a080	65900	91.26082	99.03614
01e667ce-1ccd-4d3a-a26b-6de73800b64b	28494	90.36608	99.48432
01ea1d09-e95c-468e-8e95-0f6231b73563	30777	93.14825	99.21969
01ea6552-b910-47d6-9ae4-9b5add9e6f54	37364	91.82651	98.76435
01eba46c-b431-4902-9f82-7f3f9824235d	22613	93.90392	99.16681
01ec6768-f08b-4948-88de-2b17fe698fcb	27671	92.33453	99.08993
01f0a624-dd8b-4d8a-bc6c-526daef5cf92	25221	95.56999	99.54390
01fc5475-f9a2-499c-bf6f-1cb9cab382c1	62355	92.42010	97.72545
01fca52a-1d6f-49d7-8d8a-7c145fe2cc6c	29833	95.03714	98.89166
01fdde22-01b8-4a79-8807-c50c446348f3	37758	90.02795	99.24318
01feffea-ccd0-4cb8-9faa-a5b96976c5a4	30917	95.77892	99.52169
02007dbf-4403-41f5-b911-d1abd4d7c905	22311	94.81808	99.10224
02059120-d5b5-4609-ab96-3d47c69c6361	22121	94.20851	99.70094
02064e0a-42b1-49e9-9ddf-c43da3d348c5	41782	94.10883	99.02560
0206ab12-cc88-4a0b-9b90-587d2c6aad5c	25950	87.75315	97.82625
020aeb88-49cd-42a1-be7c-15f9a4219c37	41465	91.19991	99.07507
020c05e5-8127-426b-8542-c2ee20cb7733	30402	94.85368	99.62823
020e276e-636c-4e5c-b464-506a4db39b27	27206	94.73246	99.33969
02185f78-36c0-4ff8-893a-ccbb18044644	32728	96.29272	99.41759
021a138b-e4d9-4879-9db8-e99d553af41f	63197	88.68680	98.13910
021d342f-9af3-433f-b974-69eed24591b8	57634	92.70547	98.80948
02216516-22a3-4036-9e80-73c1ad7ba057	58797	90.19693	96.49388
02232b93-76ef-4a9d-9ece-e2435e7e992d	34247	91.48853	97.36624
0223ef3e-fcfe-47ee-9b2a-30852009e7e5	42133	90.27736	99.25585
0225a861-e2b7-48f4-b516-b2ab43653f3c	41014	81.49893	91.76537
0225d99c-8985-4bab-9908-d9d97c35fca6	40523	86.02407	97.50151
022d67b4-388e-4aec-989e-8f6faf0164e3	30573	90.28298	98.15638
0232f167-a229-4fcf-8e71-b2a5d40f46a7	24535	88.47773	96.57382
02368a92-064c-4e8a-8453-3a60ef5e4856	37314	87.94795	98.14492
0237fef3-9d5d-4f55-86a6-1bb4d0ce3d5a	37688	90.42730	98.11912
023870cb-e522-4202-bf35-1a66ba3d399b	47189	91.31985	97.91160
023af1f9-d94d-4494-aab1-d5ff9c47815b	28128	88.44731	97.88782
023cfc92-2286-4d5e-95f0-4e6e712f66bc	43682	86.35641	96.57924
023dbe15-92cd-49c8-9d33-275867e614dd	23088	95.72829	99.36397
023f2770-124a-44c8-8cbb-ffdc5d5baafb	26857	93.54626	99.68681
0240b786-ea56-435a-8279-508742539ca7	30689	95.91810	99.53432
024bf275-5a7b-4320-bca8-cda18b999330	28219	88.46351	99.28943
025aee64-0096-4b57-984f-4d789d6802d9	23057	89.35670	99.51421
027340e0-33d3-4b1c-b130-23fdb76e03cd	29362	92.89327	99.49290
027f5874-fccb-46bd-884b-3f962fc75513	37600	91.82143	99.34000
027f8f0b-db58-4d78-9084-b479d6b33278	53089	89.16206	98.16696
0281bbdc-d782-4f28-b399-522ee19c95b7	38324	91.59613	97.91346
0282dec3-b838-407e-a4e2-30ffa2521de9	24523	95.59457	99.38088
0284046f-87e6-4077-9171-8e86e817c4af	36780	91.74171	99.16380
028d1601-8b30-44f6-8c89-1b6ee27696ac	26922	90.99574	99.28135
028dbd34-73b3-448b-974a-c62a9dba6150	26695	93.83224	99.29754
02912069-540a-478d-bc7f-5af93169eccf	34771	95.52594	99.48602
02920c41-9709-46e4-9276-6a678cbfa413	33883	87.37170	97.31888
02939279-e7c0-4a13-8538-eb6de93777b9	26011	87.46786	101.14223
0296a971-a7ff-43f5-b7ef-4d7281258d84	38919	94.51230	99.10354
029bd873-30be-4f79-9daf-3cd294d362a7	38950	91.97634	99.03858
02a1e1c4-ff9c-4437-9890-1f1e4ee9e023	56967	95.14777	99.41935
02a3733c-1663-4acd-b79e-16fe32eff6ff	48420	95.18062	99.50972
02a7d7c0-cff2-4f7e-b2f4-14185369db01	37753	91.14190	98.45389
02ac5776-83b0-4507-a59d-a6f57f552d15	28822	92.71787	98.68231
02b0a1b3-f736-4dd9-83ba-87c88c230b9d	29662	83.45965	97.24236
02b23290-e5b3-46e9-86f3-06c1930d8b61	31336	96.15724	99.33486
02b480d0-aea5-476d-932c-452ce05427d0	29687	87.24753	97.03662
02b92592-0490-4be4-a951-a6e26db12506	25839	96.05122	99.31639
02bd5995-70e4-419d-b7cd-d89e79d6334f	24358	95.75866	99.38899
