Assembly	num_contigs	total_length	identity
lossless_flye	1	5105115	99.80431%
lossless_rebaler	1	5107289	99.85316%
lossless_medaka	1	5112354	99.94001%
LFZip_maxerror_1_flye	1	5105120	99.80729%
LFZip_maxerror_1_rebaler	1	5107298	99.85316%
LFZip_maxerror_1_medaka	1	5112430	99.93701%
SZ_maxerror_1_flye	1	5105109	99.80332%
SZ_maxerror_1_rebaler	1	5107329	99.85615%
SZ_maxerror_1_medaka	1	5112334	99.93801%
LFZip_maxerror_2_flye	1	5105051	99.80731%
LFZip_maxerror_2_rebaler	1	5107303	99.85415%
LFZip_maxerror_2_medaka	1	5112367	99.94101%
SZ_maxerror_2_flye	1	5105065	99.80729%
SZ_maxerror_2_rebaler	1	5107312	99.85316%
SZ_maxerror_2_medaka	1	5112350	99.94001%
LFZip_maxerror_3_flye	1	5105009	99.80232%
LFZip_maxerror_3_rebaler	1	5107333	99.85415%
LFZip_maxerror_3_medaka	1	5112360	99.93902%
SZ_maxerror_3_flye	1	5105067	99.80829%
SZ_maxerror_3_rebaler	1	5107376	99.85514%
SZ_maxerror_3_medaka	1	5112355	99.93601%
LFZip_maxerror_4_flye	1	5104923	99.80531%
LFZip_maxerror_4_rebaler	1	5107311	99.85017%
LFZip_maxerror_4_medaka	1	5112365	99.93801%
SZ_maxerror_4_flye	1	5105000	99.80531%
SZ_maxerror_4_rebaler	1	5107315	99.85116%
SZ_maxerror_4_medaka	1	5112357	99.93701%
LFZip_maxerror_5_flye	1	5104858	99.80232%
LFZip_maxerror_5_rebaler	1	5107267	99.85418%
LFZip_maxerror_5_medaka	1	5112393	99.93801%
SZ_maxerror_5_flye	1	5104872	99.80232%
SZ_maxerror_5_rebaler	1	5107316	99.85117%
SZ_maxerror_5_medaka	1	5112362	99.94001%
LFZip_maxerror_6_flye	1	5104695	99.80134%
LFZip_maxerror_6_rebaler	1	5107284	99.84917%
LFZip_maxerror_6_medaka	1	5112364	99.94001%
SZ_maxerror_6_flye	1	5104761	99.79931%
SZ_maxerror_6_rebaler	1	5107325	99.85015%
SZ_maxerror_6_medaka	1	5112367	99.93801%
LFZip_maxerror_7_flye	1	5104557	99.79434%
LFZip_maxerror_7_rebaler	1	5107364	99.85215%
LFZip_maxerror_7_medaka	1	5112384	99.93901%
SZ_maxerror_7_flye	1	5104494	99.79434%
SZ_maxerror_7_rebaler	1	5107219	99.85016%
SZ_maxerror_7_medaka	1	5112371	99.93801%
LFZip_maxerror_8_flye	1	5104257	99.79033%
LFZip_maxerror_8_rebaler	1	5107259	99.84617%
LFZip_maxerror_8_medaka	1	5112383	99.93801%
SZ_maxerror_8_flye	1	5104234	99.78936%
SZ_maxerror_8_rebaler	1	5107174	99.84917%
SZ_maxerror_8_medaka	1	5112327	99.93701%
LFZip_maxerror_9_flye	1	5104030	99.78238%
LFZip_maxerror_9_rebaler	1	5107180	99.84218%
LFZip_maxerror_9_medaka	1	5112337	99.93801%
SZ_maxerror_9_flye	1	5103870	99.78437%
SZ_maxerror_9_rebaler	1	5107293	99.85016%
SZ_maxerror_9_medaka	1	5112334	99.93701%
LFZip_maxerror_10_flye	1	5103635	99.78141%
LFZip_maxerror_10_rebaler	1	5107111	99.84318%
LFZip_maxerror_10_medaka	1	5112326	99.93601%
SZ_maxerror_10_flye	1	5103345	99.77839%
SZ_maxerror_10_rebaler	1	5107060	99.84114%
SZ_maxerror_10_medaka	1	5112315	99.93601%
