Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24521	84.77282	97.52993
0005323f-791d-4bd1-bd5f-3f110cb72b08	39935	94.07103	99.02582
00077d28-f985-4800-898e-d4baede5d2aa	54606	92.24014	98.85556
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39312	92.77621	98.91543
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35477	86.11611	98.85630
001d8d6e-757f-480d-a669-0006d8a5f626	43149	90.92365	95.61064
001f7476-594f-4678-af46-5099a88715d6	43382	93.16000	98.19515
00230607-1f5e-4ef3-9671-469337df680e	51794	93.60319	98.70745
0027714b-2b4b-4746-b59c-b96cfa4d7c64	52175	89.27633	99.94433
00297c69-4e23-4bd1-ac47-19cb7be83482	29756	93.85790	98.70558
002ad6a6-683b-4690-b9c6-575bcabf37ce	24559	93.85602	99.04045
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30036	88.03886	96.60836
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38902	93.02442	98.73534
00390b97-655b-46b0-a98b-58447dd648da	52001	87.08699	99.10070
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26350	91.39247	100.14498
004859f1-928a-4eaf-baf9-05d6d22e6a39	33805	73.84926	99.75543
00522979-c6f1-469f-8be0-79be118254e5	35312	86.80251	100.07958
005dc13e-03d7-476a-b96e-8ab951632af7	22778	79.05777	105.86724
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30432	93.04734	98.69538
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61257	94.27235	98.58011
0061df3e-73ca-45e3-a1af-acefebde42f7	23280	88.18757	100.45993
00655c70-1351-4499-a549-cf7d37787857	24736	80.57530	95.66112
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46655	84.83004	97.83208
0067d222-d113-46c9-8786-b9abab8e4cfe	35195	91.53836	98.85653
006bfc22-acbe-4577-b755-ccf23d255cd9	24723	85.46817	91.86055
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33999	88.15675	98.82171
0075fd5b-313a-48e1-8c75-484ee3840279	43226	91.43322	97.91615
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25672	92.85932	99.82051
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22399	95.06005	99.02339
007ed5ba-a641-43c9-88b0-547ffd8952c8	31204	92.19611	98.90337
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26315	93.34250	99.43505
0080aae4-bb96-4aaa-857a-927e2db3b71b	62416	93.80795	99.75667
0085852b-6a7c-4f6d-bfc7-0d490a28d968	32451	80.98534	101.05913
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25449	88.35831	96.85373
00a1a5b4-43b7-48d5-84fb-be8040321103	27410	93.84544	99.09266
00a37701-ab30-4634-bdea-177896677e22	36457	87.68654	98.29642
00b5ce50-59cb-493a-94a4-dba854087886	26874	87.40069	97.35282
00bd02df-db70-4d71-a40a-513c1eee4a2c	24322	85.88199	98.24028
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24341	86.12315	98.16421
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33692	93.15973	98.59717
00cc2868-998d-4ec6-99cc-458917e05188	47409	85.95545	97.75090
00cda24f-c49d-4974-880c-b8a0ec00183d	66606	91.54611	98.55530
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40684	92.55383	98.57358
00d4fc3b-9848-4d01-a320-653852d68990	65297	90.96395	98.11468
00d5ebcd-4727-44e2-9800-8123837e80d4	45443	85.24250	97.17165
00d7992e-006f-48b6-be8c-e51905fda9ee	29163	89.15136	96.16326
00dd83e2-b142-4917-9dd4-8bfef0e895b4	69149	91.72254	98.97212
00e60ace-39f1-4a34-aeed-87ac2d214fac	25364	92.57314	98.72602
00e78f56-6438-444f-af8c-d66b9a695bad	78890	91.85131	101.50350
00e9aa99-0025-4d45-827f-2892f15e1ded	26299	89.50280	98.01354
00ef41bb-b716-411e-9a73-e8ff95758820	31292	82.81843	99.83031
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36412	94.11276	98.57759
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24676	87.21010	96.54861
00fcb531-d045-4f64-94af-1e15aa90726e	29804	87.80527	99.43724
0101a7bd-66b2-4b83-9228-5fa424a743e2	50293	84.62482	94.40716
010ed54d-2c7f-48f8-8143-5e61bcefc86e	24088	93.24319	99.15247
