Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24505	84.73676	97.44955
0005323f-791d-4bd1-bd5f-3f110cb72b08	39960	94.10245	99.08300
00077d28-f985-4800-898e-d4baede5d2aa	54619	92.26681	98.87551
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39323	92.86245	98.94822
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35513	85.92853	98.96256
001d8d6e-757f-480d-a669-0006d8a5f626	43145	90.81832	95.60176
001f7476-594f-4678-af46-5099a88715d6	43406	93.03490	98.24737
00230607-1f5e-4ef3-9671-469337df680e	51746	93.56379	98.61390
0027714b-2b4b-4746-b59c-b96cfa4d7c64	52146	89.18104	99.88673
00297c69-4e23-4bd1-ac47-19cb7be83482	29761	93.90316	98.72221
002ad6a6-683b-4690-b9c6-575bcabf37ce	24573	94.00773	99.04045
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30032	88.16903	96.56975
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38939	92.97039	98.82949
00390b97-655b-46b0-a98b-58447dd648da	52006	87.07459	99.10643
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26321	91.45315	100.03815
004859f1-928a-4eaf-baf9-05d6d22e6a39	33764	73.47166	99.69217
00522979-c6f1-469f-8be0-79be118254e5	35335	86.79945	100.14495
005dc13e-03d7-476a-b96e-8ab951632af7	22753	79.10215	105.75046
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30437	92.93268	98.71165
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61228	94.29431	98.53337
0061df3e-73ca-45e3-a1af-acefebde42f7	23320	87.97292	100.62915
00655c70-1351-4499-a549-cf7d37787857	24673	80.30021	95.41662
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46772	84.81826	98.08230
0067d222-d113-46c9-8786-b9abab8e4cfe	35171	91.44981	98.78894
006bfc22-acbe-4577-b755-ccf23d255cd9	24758	85.45788	91.99105
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33991	88.05836	98.82754
0075fd5b-313a-48e1-8c75-484ee3840279	43206	91.31094	97.87302
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25667	92.91708	99.80100
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22380	94.95640	98.94793
007ed5ba-a641-43c9-88b0-547ffd8952c8	31216	92.18867	98.94787
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26303	93.45555	99.38955
0080aae4-bb96-4aaa-857a-927e2db3b71b	62409	93.74794	99.74547
0085852b-6a7c-4f6d-bfc7-0d490a28d968	32507	80.74200	101.21569
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25420	88.45652	96.73880
00a1a5b4-43b7-48d5-84fb-be8040321103	27410	93.72213	99.09266
00a37701-ab30-4634-bdea-177896677e22	36386	87.51837	98.08550
00b5ce50-59cb-493a-94a4-dba854087886	26862	87.27677	97.33828
00bd02df-db70-4d71-a40a-513c1eee4a2c	24303	85.80290	98.17135
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24347	86.01601	98.19663
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33687	93.12284	98.58250
00cc2868-998d-4ec6-99cc-458917e05188	47451	85.96099	97.83773
00cda24f-c49d-4974-880c-b8a0ec00183d	66567	91.51674	98.49647
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40643	92.59781	98.49825
00d4fc3b-9848-4d01-a320-653852d68990	65317	90.98603	98.14327
00d5ebcd-4727-44e2-9800-8123837e80d4	45418	85.29497	97.10947
00d7992e-006f-48b6-be8c-e51905fda9ee	29214	89.08961	96.32533
00dd83e2-b142-4917-9dd4-8bfef0e895b4	69079	91.58387	98.87041
00e60ace-39f1-4a34-aeed-87ac2d214fac	25364	92.47988	98.72992
00e78f56-6438-444f-af8c-d66b9a695bad	78871	91.82178	101.47902
00e9aa99-0025-4d45-827f-2892f15e1ded	26281	89.45088	97.93872
00ef41bb-b716-411e-9a73-e8ff95758820	31316	82.92631	99.92316
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36406	94.15878	98.56131
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24675	87.14444	96.54468
00fcb531-d045-4f64-94af-1e15aa90726e	29817	87.55034	99.48079
0101a7bd-66b2-4b83-9228-5fa424a743e2	50231	84.52337	94.29595
010ed54d-2c7f-48f8-8143-5e61bcefc86e	24113	93.15435	99.25170
010efc3a-5954-4192-8b1f-605a8fe3f57a	44712	93.47566	98.87217
0111425a-4694-4dc2-809d-e3fb7e606952	42058	91.09584	98.39959
0113008f-2e5e-4683-8035-c8539b7a2cf4	22623	82.47504	96.79656
0117cfef-4330-49af-a1fa-55ba10670a48	33478	87.34833	98.71245
0119c56e-8ca4-408d-9437-c00d3376724e	30415	89.95327	100.08918
012a1baa-7674-4ced-8986-d25685a3db1f	55299	85.95880	98.69287
012a5c36-a376-41d4-8202-ba109f64a045	38325	91.58886	97.95312
012ab4f9-9623-4aad-9d55-d2f58df5bf81	63917	71.75319	95.98535
012b331e-7a57-40d1-b8b0-dbb59a6d7b2b	43112	93.29070	98.78665
012d88c7-d7be-4cb1-955e-f715b56fc785	45232	87.86816	97.52134
0135b3ea-119a-4b90-bb23-c4a259b5485c	22531	85.28078	99.52092
013b50b8-059f-4ea1-b72c-5b860d934ab6	22882	89.26520	99.19864
014173c1-d464-4167-b298-e0830c537817	36664	93.06178	99.25509
014388b1-7568-44f8-8ab7-28138c974c1c	41492	90.56283	98.81766
01453be5-a426-476c-a620-8d000d05e321	30729	94.41880	98.98846
01496e86-5502-4a77-bc5a-29d9c4a03054	51977	93.83339	98.87934
01497bf6-f687-45e8-80e7-cf78cdc58a94	50244	92.52344	98.52459
01501472-204a-4918-8c9c-097d4baf56ea	48778	93.12423	99.04818
01547db8-3056-4cbd-91df-89b627291d83	42614	91.87896	99.65078
0154f3a0-ed79-4228-abfc-6049826a1e32	23004	91.98636	98.24155
01551840-3909-4aac-a4d0-c25fe65771f2	36288	92.20737	99.68304
0156020b-1033-407b-a9fe-794df68c17e4	35773	91.54964	98.32428
01606fa1-47d0-4eb2-a17f-2d546f130f69	25513	90.75697	98.27920
0164aa87-6262-4444-93b7-e57e877c799e	57264	77.08737	94.51490
0167daca-3f20-4219-9ffb-fb06bd2e813b	28606	76.04437	94.86183
0169c841-f1ee-4788-96e5-e3a8ae8a64db	25457	89.96107	98.39624
017093c2-660a-4b35-a91c-ed087c8ca46a	23825	92.18457	98.36657
017813fc-4d95-42dd-8f0b-60c3e6094374	39774	93.92977	99.46113
017ab821-317f-491c-907d-91bff47bc966	27350	92.94214	98.93285
017ada6c-b56a-4b24-abd0-41462b64a29a	94268	86.04822	100.46656
017d08cd-0dad-4d59-8877-f71297c5c5db	28790	93.67594	98.51829
017fb78f-3b78-4104-bc9d-fd848ba36b28	34721	89.89825	95.31719
018139bb-bb1b-4c16-9918-2a0756f00731	23873	80.15639	99.12848
01876460-c3ef-41de-aa50-237b7f14ed36	34623	88.16657	98.89716
018bf019-582c-4b17-804b-a79bfbab3e81	43396	86.01877	97.57436
018f2d1f-ff5d-4645-81a7-78a9f25c750e	62768	85.27416	98.04695
0193dbb8-2f3c-4592-8aef-7780f0ff8c9d	24805	90.44417	99.53683
01943edb-2dab-424e-bbf0-e04ea9f10b2e	32884	92.78186	98.28791
019a82ad-2078-4f87-b698-75436a4ad232	67876	93.35264	98.81043
01a5fca4-835e-4c31-9880-6889d2bfc221	31732	87.20418	98.83390
01a86738-6b06-4a93-93c8-53fb3936f756	32612	94.20659	98.95608
01a99807-5555-4656-9a7e-b5e698b37ce0	52859	94.57386	99.25328
01ac1f7c-1b50-4814-b3e5-0b5d0674c9a9	27417	88.67300	97.53832
01ac7e5d-6c05-4b06-8c11-f77cce45e0fb	47998	93.48497	99.01414
01ad116d-d507-40d4-a01b-4cfb88138aef	26545	87.96966	96.77467
01b1aaa4-0a34-4b5d-a454-d30f873c384d	23089	91.16177	96.48387
01b1e39a-1260-4cc1-a5d2-aca5a00775ab	36402	81.89359	105.74843
01b21edf-aa37-4ff5-83b3-c24b921f4152	45759	91.66094	98.42638
01b462b0-5ccf-4f26-99f0-bc3240d212ff	23930	81.96046	99.86155
01ceffe1-b1fb-4c47-baa4-a410ef6755fd	85272	78.32104	99.60603
01cfa790-5cd5-4733-a389-7efc8669d89e	23163	76.39548	101.23967
01d1a864-ed70-4ee2-88bd-b642cb8f9890	29163	89.33898	97.99946
01d4eb52-ebae-48aa-9540-8474dac8e235	26549	91.11055	98.21024
01d65bc7-7b5f-4fb6-83cd-867379d68174	63271	84.66259	96.66447
01d9a8e1-406e-4f0c-b3cd-e75da55d87c4	26939	80.13804	105.26357
01e2fa42-c5cd-4f1e-8c77-8284bb83a080	65581	88.96032	98.57978
01e667ce-1ccd-4d3a-a26b-6de73800b64b	29179	86.61198	101.93225
01ea1d09-e95c-468e-8e95-0f6231b73563	30537	91.19015	98.53060
01ea6552-b910-47d6-9ae4-9b5add9e6f54	37455	88.83924	98.98178
01eba46c-b431-4902-9f82-7f3f9824235d	22490	91.17774	98.74752
01ec6768-f08b-4948-88de-2b17fe698fcb	27572	89.94294	98.78413
01f0a624-dd8b-4d8a-bc6c-526daef5cf92	25389	93.68972	100.32522
01fc5475-f9a2-499c-bf6f-1cb9cab382c1	62092	90.21926	97.35304
01fca52a-1d6f-49d7-8d8a-7c145fe2cc6c	29742	93.33704	98.68850
01fdde22-01b8-4a79-8807-c50c446348f3	37641	87.69439	98.93466
01feffea-ccd0-4cb8-9faa-a5b96976c5a4	30620	93.52765	98.56829
02007dbf-4403-41f5-b911-d1abd4d7c905	22142	92.43288	98.48085
02059120-d5b5-4609-ab96-3d47c69c6361	22549	91.06933	101.62708
02064e0a-42b1-49e9-9ddf-c43da3d348c5	41700	92.12267	98.85913
0206ab12-cc88-4a0b-9b90-587d2c6aad5c	25417	84.97772	95.86079
020aeb88-49cd-42a1-be7c-15f9a4219c37	41553	89.15693	99.30031
020c05e5-8127-426b-8542-c2ee20cb7733	30249	92.79221	99.21369
020e276e-636c-4e5c-b464-506a4db39b27	27347	92.66239	99.95965
02185f78-36c0-4ff8-893a-ccbb18044644	32614	94.79258	99.14926
021a138b-e4d9-4879-9db8-e99d553af41f	63761	85.44505	99.05245
021d342f-9af3-433f-b974-69eed24591b8	57579	90.46495	98.75281
02216516-22a3-4036-9e80-73c1ad7ba057	58940	88.00768	96.75170
02232b93-76ef-4a9d-9ece-e2435e7e992d	34131	89.35590	97.10070
0223ef3e-fcfe-47ee-9b2a-30852009e7e5	42516	86.14213	100.16779
0225a861-e2b7-48f4-b516-b2ab43653f3c	41346	78.87017	92.52378
0225d99c-8985-4bab-9908-d9d97c35fca6	41392	82.40599	99.58714
022d67b4-388e-4aec-989e-8f6faf0164e3	30654	87.99326	98.41423
0232f167-a229-4fcf-8e71-b2a5d40f46a7	24507	85.74165	96.49074
02368a92-064c-4e8a-8453-3a60ef5e4856	38055	84.24513	100.07917
0237fef3-9d5d-4f55-86a6-1bb4d0ce3d5a	37578	88.12278	97.89707
023870cb-e522-4202-bf35-1a66ba3d399b	47191	88.81341	97.91160
023af1f9-d94d-4494-aab1-d5ff9c47815b	28475	85.81468	99.09050
023cfc92-2286-4d5e-95f0-4e6e712f66bc	44180	83.53511	97.71921
023dbe15-92cd-49c8-9d33-275867e614dd	22990	93.68166	99.02648
023f2770-124a-44c8-8cbb-ffdc5d5baafb	26898	90.59650	99.93289
0240b786-ea56-435a-8279-508742539ca7	30416	93.84704	98.75521
024bf275-5a7b-4320-bca8-cda18b999330	28636	85.98808	100.74904
025aee64-0096-4b57-984f-4d789d6802d9	23221	85.14888	100.24298
027340e0-33d3-4b1c-b130-23fdb76e03cd	29506	90.41123	100.09870
027f5874-fccb-46bd-884b-3f962fc75513	37083	89.14671	98.04119
027f8f0b-db58-4d78-9084-b479d6b33278	53083	86.78527	98.21700
0281bbdc-d782-4f28-b399-522ee19c95b7	38434	89.39817	98.18186
0282dec3-b838-407e-a4e2-30ffa2521de9	24306	93.69076	98.52959
0284046f-87e6-4077-9171-8e86e817c4af	37480	88.69799	101.14221
028d1601-8b30-44f6-8c89-1b6ee27696ac	26831	88.42667	99.04427
028dbd34-73b3-448b-974a-c62a9dba6150	26420	91.39970	98.38957
02912069-540a-478d-bc7f-5af93169eccf	34618	93.36774	99.12976
02920c41-9709-46e4-9276-6a678cbfa413	34068	84.57062	97.87234
02939279-e7c0-4a13-8538-eb6de93777b9	27347	80.65166	106.37456
0296a971-a7ff-43f5-b7ef-4d7281258d84	38521	92.73472	98.16622
029bd873-30be-4f79-9daf-3cd294d362a7	38610	90.05378	98.23237
02a1e1c4-ff9c-4437-9890-1f1e4ee9e023	56846	93.26567	99.25145
02a3733c-1663-4acd-b79e-16fe32eff6ff	48658	93.11739	100.01236
02a7d7c0-cff2-4f7e-b2f4-14185369db01	38221	88.22343	99.73577
02ac5776-83b0-4507-a59d-a6f57f552d15	28838	90.84443	98.84437
02b0a1b3-f736-4dd9-83ba-87c88c230b9d	30553	80.40538	100.15817
02b23290-e5b3-46e9-86f3-06c1930d8b61	31052	94.31418	98.52969
02b480d0-aea5-476d-932c-452ce05427d0	29524	84.15397	96.57028
02b92592-0490-4be4-a951-a6e26db12506	25731	94.12905	98.92245
02bd5995-70e4-419d-b7cd-d89e79d6334f	24223	94.09745	98.95842
02beb957-0c68-4fd7-a591-5c4f1fa7cd54	35569	90.50945	97.86694
02cb87f4-4d99-4028-86f6-69be7371f879	39397	91.29092	98.34338
02d36cc7-59ff-4487-8e3f-762eaf6169a2	45625	93.05582	99.29785
02d6d8dd-1220-4b7a-8fd9-24a192e054d3	27309	82.48793	95.70880
02d9fb29-9e28-4b27-b769-987f3e7f112b	34849	89.76093	98.46424
02dc9df0-1149-4d85-b359-f1ac1e5563da	27310	83.86486	97.69037
02dfac75-5490-4cd3-9077-76663df492eb	22652	85.24701	98.97220
02e55dee-8e05-4a26-bf19-e683f5bac155	42731	93.98608	98.87760
02e5a0c7-2c16-4c60-b208-db552fad0fb3	26150	84.34090	99.65171
02f03b03-a654-4d66-9433-0e896246f739	41724	90.06108	98.95870
02f20025-594b-45ac-9cfd-d921dbee9154	40322	82.11986	99.42815
02f472ff-6fde-4ed2-b1ed-c23c87623d1b	49454	92.45766	99.20817
02f4cd4c-afaa-4ddf-aafa-c19204fad9a9	27353	90.14967	96.83171
02f8035f-779b-46fa-b05c-54f88578bc82	39491	92.80972	99.19188
02f95db4-d2aa-471e-86eb-0b3ef1c2ae6d	51546	88.45557	99.73631
02ff7ffe-7b88-488b-83aa-1f677c96af6e	28024	92.00667	99.38087
03086212-aa78-4cb9-a48d-2bbd5d285a38	22300	92.91291	98.69743
030a96c3-0db7-4e21-9f91-3c96916a200a	24152	93.29017	99.00264
030b61db-815d-4c59-8c1c-947cf71013b8	31163	91.94547	98.67264
030c3970-ae48-4835-a600-c091d370ff38	56698	89.49026	99.50940
030fb7e7-17f0-43ab-942c-a8b3ce8712ff	49345	88.16946	100.88267
03121c69-8136-437a-9912-0df605e7fcbe	47699	74.93347	101.27473
03122d52-1193-4ce0-bd8a-ea5666c20843	29171	93.12544	98.71612
031918c1-a7e7-4367-a088-d59bb374b576	54743	92.06143	99.30226
031c19e0-8092-4103-b130-0d60ae118765	63095	90.63617	100.07946
0323b990-2bec-4508-919b-e7dfd3329d43	22206	92.80807	99.63907
032711a7-fe3a-4745-9ee0-7f793665331a	38832	84.83484	99.11618
033bb6e9-dbbd-49df-b6c2-18f313b0c152	27853	93.53312	98.78635
0340ed9c-db8f-41a0-b9b3-7cc7292d103c	47683	88.85607	99.68555
0343b054-623a-4870-8bca-71f4ad2f99ad	92259	93.11009	98.81850
034f256a-997d-4fc8-a332-c00dc2eaaf33	30504	93.23845	98.91637
03528384-ab1a-4110-9c96-dd37880a9e46	25093	90.15486	99.67687
035448bb-4970-49fa-b9e5-f2175102d6a2	32292	91.44574	97.96832
035744c2-8c62-4b76-a206-8a9dddce777a	32774	92.30406	98.02286
035f3f9f-fe26-4ca1-9191-5afa6782aed7	31457	67.91816	100.47012
035fdeee-a68f-4a69-9829-d14b0ecaeee8	66176	81.28142	98.90972
03675cbb-170f-4a4a-98e1-9725cd7ba4ae	37002	93.21949	98.87499
037564ed-bb10-4a3a-8188-211b71f0358f	33812	91.33438	98.56847
0377be4b-8bc2-41fa-8739-53b1681b463e	24604	81.27492	98.96503
037ead8b-67ed-4a30-9d55-b0d87f633dc7	27602	90.39229	98.86776
0382cd06-5c2c-45f3-97ba-731867de3eeb	26398	87.54534	97.10895
0385a2b0-17f1-423e-8ce9-17e649aac73c	33642	93.73639	98.94998
038b38be-fe4e-4aa4-be2b-b72d52f2239e	22453	91.97446	98.16719
038d47c3-4574-49e1-b309-95f679468481	23905	88.18783	99.68140
038fd056-6a39-4d49-8fe1-29f7d983de47	22844	77.95119	94.27776
03998c2b-cce7-487b-bc24-a816ea45bd09	38283	93.40467	98.45741
039d319a-8495-49d7-a7f6-f9d168f5e171	31137	91.97151	99.64059
039dd59c-9411-4d91-9308-51c2552eefa5	33757	92.93647	98.42973
039f52c9-f9a7-40f7-9073-50759ba85d24	24664	84.96042	97.45410
03a86f17-300c-4b62-abed-9d4b506f63a9	33675	89.87007	97.88903
03b13216-c433-49b8-9ee9-66daf232e9d8	41331	91.47827	98.96561
03b4a0f8-30ff-4073-af62-23ba3fe9fe81	23716	90.32245	100.17391
03c5e03d-9235-4956-9944-6ab5986fc9f2	33002	88.81097	98.22287
03c846a2-0f51-4962-91e4-3d4a022634fb	34562	92.24071	97.68424
03c8cddb-c6cd-41f3-9ce6-7bcf3a926947	39814	88.67771	98.47809
03cb29bc-2092-46a8-9afa-8e2fe26a836e	69194	89.77050	97.74512
03d0bf28-050e-438e-8ffd-bb980534f940	63039	92.14377	98.94045
03df50fa-dec5-46f2-9a1c-b19e02a2500b	24288	87.98714	99.88440
03e46fa5-5750-432f-936d-331cc1c0c863	31349	93.84856	99.89132
03e6a07d-2a3f-493a-b062-77ff319db74d	52987	88.96969	98.68075
03e6b214-521d-4c89-abfd-b9244992fcba	32177	94.34117	98.66773
03ea7836-c5db-4b05-aa09-0ec6a4db42d4	28082	93.41780	99.36082
03ed5cde-2025-420e-86a6-fe27dea746a4	27016	93.62903	99.05445
03ed7a0c-4e46-4cc4-b046-7bb5a94a224d	51589	93.71268	98.93000
03fb48d9-f502-450b-a366-f56f013a2105	32103	91.30749	98.44663
0404d6c9-d78e-4fb0-b094-5c360d4f778f	26349	86.78588	98.83905
0405b64f-d85c-4fee-bd96-f49677338b07	25147	93.42228	98.69905
04061c41-e77c-4690-aa6f-4841756783ab	32086	80.37206	98.31468
040a7e13-065c-429c-9a75-8795e0326a82	24471	88.93595	98.33414
040bff46-3205-4c90-a9b5-4ec3e123aae5	30911	86.29666	98.15393
04152a48-a25b-445d-b3c2-8ff3395dd344	26930	93.88243	98.73436
0419a68b-c1ce-494c-8be3-d42ad5fedc8e	42457	94.10940	98.67474
041c5770-e810-493d-9230-968dff57481b	41614	83.26202	97.02107
0420a89d-b703-4c67-bd98-27c560d1dae2	24511	91.94176	98.93785
0423b8c4-3254-427a-9fa5-be9f39213f68	26539	84.87711	99.09684
0425bf73-be36-400f-9055-6cc616fda84d	29050	86.59596	97.31474
04298cb4-9205-48aa-9ac5-52fa72e27e5c	59501	89.72442	99.83196
04346a9a-e84e-4604-bd4f-54c85049d063	42567	80.72431	98.70102
043d59b6-2400-413a-90c7-57bb19cea678	36614	94.06121	99.29284
044030e6-58ba-4390-bdb1-b5e8b0fabc56	28988	80.18452	96.79216
0441e719-3e67-4217-8246-e389daa2bdf6	30144	86.01999	97.69794
04441abf-3c75-4e90-9a99-9e77359643d4	33290	93.71336	98.61569
0448bdda-ffed-469b-8e40-d3b47373ddaa	34658	87.86195	100.32814
044c8632-21ae-4a72-8574-c8d065681297	61714	92.01897	98.77793
045293ba-d5df-4045-a72b-85d36322dccc	27688	88.27295	96.24813
04546149-fba6-4eee-b160-b8f063c2b17b	30566	92.15519	98.01254
045b2866-11e3-407f-ad20-bc956f353fbc	24020	80.18686	99.37873
0465086e-20a7-4338-bc1c-6337b5f2d78b	43661	80.80941	99.18894
046c14da-0196-4c76-b5ef-7dbe8e9e271b	23093	79.56766	99.69137
047610dc-2a06-4518-8291-d5f1493dec0c	37054	87.74286	100.41055
04787f21-0223-45c8-9898-39bf181584f5	29668	93.36666	98.88242
0478a6a6-7626-4103-8098-dffb95732579	28715	86.88931	95.63488
04792852-bfda-4c6e-afe9-0fe09a643399	34862	93.13827	99.13284
047f0731-40d1-4200-8073-7dfa7c7c8eed	39878	79.09987	103.50306
047fbda3-a25f-45d3-b391-60ceb1896f83	48277	88.83823	96.14548
0480adf8-cc08-4d15-9ad9-9f16beafa299	57352	87.48498	99.58071
0482d9d2-f31d-4fce-8872-ee9238fbde43	89384	89.64626	98.04197
0486252a-483c-48ee-965c-63d03ef3eb13	24307	90.36226	97.94704
049161c8-bcfe-4888-ac5f-55fbfe62aa62	23575	93.32362	99.89360
049168c8-115e-4c1b-b312-3f17157e759a	59946	93.57874	99.33608
049b851a-0c5c-4271-9c34-963e0dc28a70	54190	92.33095	98.62309
04a66bf4-0fa7-4491-b444-18c15e13eff1	22829	78.13931	94.98434
04aab5c7-2d5e-4063-ad28-89579f495e8e	23514	91.22887	100.72283
04ae64b2-823c-49cb-8722-dc2c73175e52	75301	93.86278	98.88622
04b0db73-e9a4-46e6-b9bb-b40c09736c6e	46073	91.71954	98.62928
04b0ff00-86e8-4e9a-8ed8-d925d2409ea7	25236	92.09338	99.32833
04b8a403-1782-43d1-9f1f-0216569bf69d	25577	78.10741	97.00759
04ba88c0-aed1-4b6d-8d17-54c6b49c0efd	25295	82.68405	99.33723
04c67972-e0e9-40f9-9a4f-296e95ae5ae9	51725	91.61955	98.99515
04c9b434-17aa-4133-af4a-cf8f69813356	24574	93.02602	99.24623
04d35366-07dd-4297-a943-01de96184225	41433	86.94435	95.86476
