Total high confidence positive sites on genome	Total high confidence negative sites on genome								
5409974	4666632								
Label	Ground truth positive	Ground truth negative	Predicted positive	Predicted negative	False positive	False negative	Precision	Recall	AUC
lossless	671264	560589	600303	631550	31282	102243	0.94789	0.84769	0.94472
LFZip_maxerror_1	671100	560402	600493	631009	31475	102082	0.94758	0.84789	0.94468
SZ_maxerror_1	671048	560567	600443	631172	31516	102121	0.94751	0.84782	0.94467
LFZip_maxerror_2	671184	560409	600909	630684	31995	102270	0.94676	0.84763	0.94429
SZ_maxerror_2	670841	560531	600840	630532	32035	102036	0.94668	0.84790	0.94433
LFZip_maxerror_3	670969	560310	601526	629753	32815	102258	0.94545	0.84760	0.94380
SZ_maxerror_3	671010	560161	601525	629646	32853	102338	0.94538	0.84749	0.94373
LFZip_maxerror_4	670931	560428	602337	629022	33868	102462	0.94377	0.84728	0.94307
SZ_maxerror_4	670754	560058	602341	628471	33817	102230	0.94386	0.84759	0.94312
LFZip_maxerror_5	670404	560099	603373	627130	35317	102348	0.94147	0.84733	0.94219
SZ_maxerror_5	670521	560176	603574	627123	35155	102102	0.94176	0.84773	0.94235
LFZip_maxerror_6	670137	559723	604755	625105	36925	102307	0.93894	0.84733	0.94132
SZ_maxerror_6	670431	559754	603905	626280	36544	103070	0.93949	0.84626	0.94118
LFZip_maxerror_7	670300	559372	605852	623820	38701	103149	0.93612	0.84612	0.94003
SZ_maxerror_7	670475	559803	605974	624304	38578	103079	0.93634	0.84626	0.93986
LFZip_maxerror_8	670238	559656	608702	621192	41710	103246	0.93148	0.84596	0.93802
SZ_maxerror_8	670145	559580	607747	621978	41018	103416	0.93251	0.84568	0.93829
LFZip_maxerror_9	669825	559151	609811	619165	43905	103919	0.92800	0.84486	0.93652
SZ_maxerror_9	669648	558886	609998	618536	43992	103642	0.92788	0.84523	0.93652
LFZip_maxerror_10	669036	558316	610812	616540	46536	104760	0.92381	0.84342	0.93453
SZ_maxerror_10	669174	558430	611167	616437	46572	104579	0.92380	0.84372	0.93468
