Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2901407	99.96801%	0.999	0.995	0.933	0.810	0.484	0.000
lossless_rebaler	1	2901583	99.976%	1.000	0.996	0.946	0.891	0.737	0.200
lossless_medaka	1	2902103	99.996%	1.000	1.000	0.996	0.988	0.917	0.200
LFZip_maxerror_1_flye	1	2901379	99.96601%	0.999	0.994	0.932	0.808	0.474	0.000
LFZip_maxerror_1_rebaler	1	2901580	99.974%	1.000	0.995	0.944	0.900	0.726	0.200
LFZip_maxerror_1_medaka	1	2902105	99.995%	1.000	1.000	0.996	0.989	0.905	0.400
SZ_maxerror_1_flye	1	2901374	99.96501%	0.999	0.994	0.929	0.809	0.495	0.000
SZ_maxerror_1_rebaler	1	2901569	99.975%	1.000	0.996	0.945	0.883	0.737	0.200
SZ_maxerror_1_medaka	1	2902116	99.996%	1.000	1.000	0.996	0.992	0.906	0.400
LFZip_maxerror_2_flye	1	2901370	99.96701%	0.999	0.994	0.931	0.806	0.463	0.000
LFZip_maxerror_2_rebaler	1	2901574	99.97301%	1.000	0.995	0.943	0.901	0.691	0.167
LFZip_maxerror_2_medaka	1	2902109	99.996%	1.000	1.000	0.996	0.986	0.916	0.400
SZ_maxerror_2_flye	1	2901367	99.96701%	0.999	0.994	0.931	0.808	0.453	0.000
SZ_maxerror_2_rebaler	1	2901560	99.976%	1.000	0.996	0.945	0.890	0.758	0.200
SZ_maxerror_2_medaka	1	2902108	99.995%	1.000	1.000	0.997	0.991	0.916	0.400
LFZip_maxerror_3_flye	1	2901337	99.96701%	0.999	0.994	0.926	0.809	0.495	0.000
LFZip_maxerror_3_rebaler	1	2901545	99.974%	1.000	0.995	0.944	0.883	0.726	0.200
LFZip_maxerror_3_medaka	1	2902093	99.995%	1.000	1.000	0.996	0.990	0.895	0.600
SZ_maxerror_3_flye	1	2901338	99.96501%	0.999	0.994	0.926	0.806	0.516	0.000
SZ_maxerror_3_rebaler	1	2901579	99.976%	1.000	0.996	0.943	0.895	0.758	0.200
SZ_maxerror_3_medaka	1	2902114	99.996%	1.000	1.000	0.997	0.990	0.917	0.400
LFZip_maxerror_4_flye	1	2901307	99.96601%	0.999	0.994	0.924	0.804	0.442	0.000
LFZip_maxerror_4_rebaler	1	2901519	99.97301%	1.000	0.995	0.939	0.890	0.698	0.200
LFZip_maxerror_4_medaka	1	2902115	99.994%	1.000	1.000	0.998	0.986	0.875	0.400
SZ_maxerror_4_flye	1	2901320	99.96501%	0.999	0.994	0.926	0.802	0.442	0.000
SZ_maxerror_4_rebaler	1	2901544	99.974%	0.999	0.995	0.940	0.891	0.698	0.000
SZ_maxerror_4_medaka	1	2902106	99.996%	1.000	0.999	0.997	0.989	0.926	0.200
LFZip_maxerror_5_flye	1	2901291	99.96501%	0.999	0.993	0.924	0.798	0.453	0.000
LFZip_maxerror_5_rebaler	1	2901520	99.97401%	0.999	0.996	0.940	0.881	0.705	0.400
LFZip_maxerror_5_medaka	1	2902113	99.995%	1.000	1.000	0.996	0.989	0.896	0.200
SZ_maxerror_5_flye	1	2901282	99.96501%	0.999	0.993	0.924	0.792	0.453	0.000
SZ_maxerror_5_rebaler	1	2901513	99.97301%	0.999	0.994	0.939	0.892	0.705	0.200
SZ_maxerror_5_medaka	1	2902092	99.995%	1.000	0.999	0.996	0.992	0.885	0.400
LFZip_maxerror_6_flye	1	2901144	99.96001%	0.999	0.991	0.912	0.766	0.484	0.000
LFZip_maxerror_6_rebaler	1	2901419	99.96801%	0.999	0.993	0.931	0.869	0.684	0.400
LFZip_maxerror_6_medaka	1	2902085	99.995%	1.000	0.999	0.995	0.983	0.895	0.400
SZ_maxerror_6_flye	1	2901287	99.96601%	0.999	0.993	0.928	0.789	0.484	0.000
SZ_maxerror_6_rebaler	1	2901514	99.972%	0.999	0.994	0.943	0.880	0.781	0.200
SZ_maxerror_6_medaka	1	2902092	99.996%	1.000	0.999	0.996	0.992	0.916	0.400
LFZip_maxerror_7_flye	1	2901081	99.95602%	0.998	0.990	0.901	0.776	0.474	0.000
LFZip_maxerror_7_rebaler	1	2901340	99.96501%	0.999	0.992	0.924	0.880	0.698	0.400
LFZip_maxerror_7_medaka	1	2902087	99.993%	1.000	0.999	0.994	0.980	0.874	0.400
SZ_maxerror_7_flye	1	2901235	99.96201%	0.999	0.992	0.920	0.788	0.505	0.000
SZ_maxerror_7_rebaler	1	2901449	99.973%	0.999	0.993	0.936	0.880	0.698	0.400
SZ_maxerror_7_medaka	1	2902086	99.995%	1.000	0.999	0.996	0.988	0.854	0.400
LFZip_maxerror_8_flye	1	2900918	99.94902%	0.998	0.989	0.891	0.726	0.337	0.000
LFZip_maxerror_8_rebaler	1	2901272	99.96001%	0.999	0.991	0.920	0.851	0.653	0.200
LFZip_maxerror_8_medaka	1	2902066	99.993%	1.000	1.000	0.993	0.979	0.895	0.400
