Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2901016	99.95002%	0.998	0.987	0.888	0.771	0.505	0.000
lossless_rebaler	1	2900928	99.94303%	0.998	0.983	0.888	0.825	0.642	0.400
lossless_medaka	1	2901928	99.978%	0.999	0.995	0.969	0.927	0.821	0.400
LFZip_maxerror_1_flye	1	2900996	99.94902%	0.998	0.987	0.888	0.777	0.474	0.200
LFZip_maxerror_1_rebaler	1	2900898	99.94202%	0.997	0.983	0.884	0.817	0.674	0.400
LFZip_maxerror_1_medaka	1	2901901	99.975%	0.999	0.995	0.967	0.923	0.853	0.400
SZ_maxerror_1_flye	1	2901029	99.94502%	0.998	0.988	0.888	0.777	0.463	0.000
SZ_maxerror_1_rebaler	1	2900961	99.94303%	0.998	0.983	0.888	0.826	0.629	0.400
SZ_maxerror_1_medaka	1	2901943	99.976%	0.999	0.995	0.972	0.925	0.811	0.400
LFZip_maxerror_2_flye	1	2900998	99.94702%	0.998	0.988	0.885	0.769	0.474	0.200
LFZip_maxerror_2_rebaler	1	2900933	99.93803%	0.997	0.983	0.881	0.833	0.663	0.333
LFZip_maxerror_2_medaka	1	2901921	99.975%	0.999	0.995	0.966	0.926	0.802	0.400
SZ_maxerror_2_flye	1	2900999	99.94602%	0.998	0.987	0.887	0.768	0.452	0.200
SZ_maxerror_2_rebaler	1	2900917	99.94303%	0.997	0.984	0.886	0.809	0.670	0.200
SZ_maxerror_2_medaka	1	2901901	99.976%	0.999	0.995	0.968	0.925	0.785	0.400
LFZip_maxerror_3_flye	1	2900960	99.94502%	0.998	0.987	0.887	0.765	0.389	0.200
LFZip_maxerror_3_rebaler	1	2900879	99.94003%	0.997	0.982	0.884	0.820	0.642	0.400
LFZip_maxerror_3_medaka	1	2901880	99.975%	0.999	0.995	0.967	0.922	0.800	0.400
SZ_maxerror_3_flye	1	2900925	99.94403%	0.998	0.986	0.882	0.767	0.526	0.200
