Assembly	num_contigs	total_length	identity
lossless_flye	1	2901014	99.94902%
lossless_rebaler	1	2901143	99.94502%
lossless_medaka	1	2901930	99.978%
LFZip_maxerror_1_flye	1	2901023	99.94701%
LFZip_maxerror_1_rebaler	1	2901115	99.94802%
LFZip_maxerror_1_medaka	1	2901907	99.977%
SZ_maxerror_1_flye	1	2901029	99.94502%
SZ_maxerror_1_rebaler	1	2901169	99.94802%
SZ_maxerror_1_medaka	1	2901966	99.976%
LFZip_maxerror_2_flye	1	2900993	99.94702%
LFZip_maxerror_2_rebaler	1	2901152	99.94502%
LFZip_maxerror_2_medaka	1	2901965	99.976%
SZ_maxerror_2_flye	1	2901002	99.94502%
SZ_maxerror_2_rebaler	1	2901148	99.94602%
SZ_maxerror_2_medaka	1	2901956	99.976%
LFZip_maxerror_3_flye	1	2900984	99.94402%
LFZip_maxerror_3_rebaler	1	2901119	99.94302%
LFZip_maxerror_3_medaka	1	2901911	99.974%
SZ_maxerror_3_flye	1	2900925	99.94403%
SZ_maxerror_3_rebaler	1	2901058	99.94103%
SZ_maxerror_3_medaka	1	2901933	99.976%
LFZip_maxerror_4_flye	1	2900939	99.94501%
LFZip_maxerror_4_rebaler	1	2901141	99.94103%
LFZip_maxerror_4_medaka	1	2901959	99.974%
SZ_maxerror_4_flye	1	2900919	99.94402%
SZ_maxerror_4_rebaler	1	2901078	99.93803%
SZ_maxerror_4_medaka	1	2901953	99.974%
LFZip_maxerror_5_flye	1	2900877	99.93604%
LFZip_maxerror_5_rebaler	1	2901078	99.94002%
LFZip_maxerror_5_medaka	1	2901918	99.974%
SZ_maxerror_5_flye	1	2900912	99.94402%
SZ_maxerror_5_rebaler	1	2901053	99.93703%
SZ_maxerror_5_medaka	1	2901947	99.974%
LFZip_maxerror_6_flye	1	2900816	99.93703%
LFZip_maxerror_6_rebaler	1	2901030	99.93703%
LFZip_maxerror_6_medaka	1	2901886	99.972%
SZ_maxerror_6_flye	1	2900850	99.93902%
SZ_maxerror_6_rebaler	1	2900986	99.93403%
SZ_maxerror_6_medaka	1	2901913	99.973%
LFZip_maxerror_7_flye	1	2900772	99.93704%
LFZip_maxerror_7_rebaler	1	2901014	99.93003%
LFZip_maxerror_7_medaka	1	2901906	99.97%
SZ_maxerror_7_flye	1	2900762	99.93404%
SZ_maxerror_7_rebaler	1	2900966	99.92904%
SZ_maxerror_7_medaka	1	2901925	99.97%
LFZip_maxerror_8_flye	1	2900614	99.93204%
LFZip_maxerror_8_rebaler	1	2900848	99.93004%
LFZip_maxerror_8_medaka	1	2901902	99.97001%
SZ_maxerror_8_flye	1	2900620	99.92704%
SZ_maxerror_8_rebaler	1	2900907	99.92602%
SZ_maxerror_8_medaka	1	2901920	99.967%
LFZip_maxerror_9_flye	1	2900531	99.92903%
LFZip_maxerror_9_rebaler	1	2900843	99.92503%
LFZip_maxerror_9_medaka	1	2901895	99.96701%
SZ_maxerror_9_flye	1	2900339	99.92205%
SZ_maxerror_9_rebaler	1	2900698	99.91105%
SZ_maxerror_9_medaka	1	2901869	99.95801%
LFZip_maxerror_10_flye	1	2900352	99.91606%
LFZip_maxerror_10_rebaler	1	2900732	99.91206%
LFZip_maxerror_10_medaka	1	2901885	99.95901%
SZ_maxerror_10_flye	1	2899473	99.88761%
SZ_maxerror_10_rebaler	1	2899995	99.88909000000001%
SZ_maxerror_10_medaka	1	2901479	99.94102%
