Assembly	num_contigs	total_length	identity
lossless_flye	1	2901411	99.96901%
lossless_rebaler	1	2901680	99.979%
lossless_medaka	1	2902105	99.996%
LFZip_maxerror_1_flye	1	2901371	99.96901%
LFZip_maxerror_1_rebaler	1	2901654	99.97701%
LFZip_maxerror_1_medaka	1	2902089	99.995%
SZ_maxerror_1_flye	1	2901374	99.96501%
SZ_maxerror_1_rebaler	1	2901697	99.978%
SZ_maxerror_1_medaka	1	2902112	99.995%
LFZip_maxerror_2_flye	1	2901402	99.96899%
LFZip_maxerror_2_rebaler	1	2901688	99.977%
LFZip_maxerror_2_medaka	1	2902107	99.995%
SZ_maxerror_2_flye	1	2901367	99.96701%
SZ_maxerror_2_rebaler	1	2901688	99.98%
SZ_maxerror_2_medaka	1	2902114	99.996%
LFZip_maxerror_3_flye	1	2901380	99.96701%
LFZip_maxerror_3_rebaler	1	2901690	99.977%
LFZip_maxerror_3_medaka	1	2902103	99.995%
SZ_maxerror_3_flye	1	2901338	99.96501%
SZ_maxerror_3_rebaler	1	2901666	99.979%
SZ_maxerror_3_medaka	1	2902115	99.996%
LFZip_maxerror_4_flye	1	2901342	99.96701%
LFZip_maxerror_4_rebaler	1	2901688	99.978%
LFZip_maxerror_4_medaka	1	2902097	99.996%
SZ_maxerror_4_flye	1	2901311	99.96501%
SZ_maxerror_4_rebaler	1	2901645	99.977%
SZ_maxerror_4_medaka	1	2902108	99.995%
LFZip_maxerror_5_flye	1	2901320	99.96401%
LFZip_maxerror_5_rebaler	1	2901650	99.977%
LFZip_maxerror_5_medaka	1	2902106	99.995%
SZ_maxerror_5_flye	1	2901295	99.96301%
SZ_maxerror_5_rebaler	1	2901652	99.979%
SZ_maxerror_5_medaka	1	2902100	99.995%
LFZip_maxerror_6_flye	1	2901266	99.96301%
LFZip_maxerror_6_rebaler	1	2901603	99.975%
LFZip_maxerror_6_medaka	1	2902095	99.995%
SZ_maxerror_6_flye	1	2901287	99.96601%
SZ_maxerror_6_rebaler	1	2901616	99.975%
SZ_maxerror_6_medaka	1	2902090	99.996%
LFZip_maxerror_7_flye	1	2901198	99.96101%
LFZip_maxerror_7_rebaler	1	2901649	99.97401%
LFZip_maxerror_7_medaka	1	2902106	99.996%
SZ_maxerror_7_flye	1	2901207	99.96001%
SZ_maxerror_7_rebaler	1	2901597	99.97501%
SZ_maxerror_7_medaka	1	2902096	99.995%
LFZip_maxerror_8_flye	1	2901192	99.95902%
LFZip_maxerror_8_rebaler	1	2901578	99.975%
LFZip_maxerror_8_medaka	1	2902099	99.995%
SZ_maxerror_8_flye	1	2901170	99.95901%
SZ_maxerror_8_rebaler	1	2901544	99.97201%
SZ_maxerror_8_medaka	1	2902104	99.994%
LFZip_maxerror_9_flye	1	2901064	99.95402%
LFZip_maxerror_9_rebaler	1	2901540	99.97001%
LFZip_maxerror_9_medaka	1	2902094	99.995%
SZ_maxerror_9_flye	1	2900982	99.95202%
SZ_maxerror_9_rebaler	1	2901518	99.971%
SZ_maxerror_9_medaka	1	2902075	99.993%
LFZip_maxerror_10_flye	1	2900948	99.95102%
LFZip_maxerror_10_rebaler	1	2901508	99.96701%
LFZip_maxerror_10_medaka	1	2902069	99.994%
SZ_maxerror_10_flye	1	2900212	99.92406%
SZ_maxerror_10_rebaler	1	2901093	99.95601%
SZ_maxerror_10_medaka	1	2901966	99.991%
