Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12211	90.95102	98.50929
0000c011-5eb7-4ae1-b07d-979043585ed0	37560	90.80708	98.51739
00043524-2823-4a9d-897d-645e89ecbeac	17560	94.40027	99.38044
00188118-bfca-4773-9fc3-af9530613015	40388	93.98474	98.71650
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12392	95.47735	99.26731
00254ba9-3830-4d82-9679-913618d2bc55	25667	96.05985	99.07486
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12299	93.98176	98.98419
002d791a-01da-40d9-9e55-1fe30eeadca4	35875	96.50296	99.37252
00483b1b-2f5b-443f-b0ef-42f867480292	23283	95.77215	98.86402
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39511	94.11155	98.59486
0067cd72-629a-4376-96a1-51830f650956	15660	93.60130	98.93184
007a1f18-c232-48a8-92b8-ddf560adcc80	25644	95.73667	99.19302
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23575	94.31305	98.84063
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18562	87.98905	97.34957
0088390d-488e-4eb5-aa01-a3285c66a711	19382	93.17862	98.43965
008b006b-136a-4541-92e4-55dadaa7300a	16507	92.01248	98.29239
008df9f1-1b37-46d4-a58a-9c4717e003bd	18778	88.50602	99.87070
009b303f-97fc-4f34-8e57-18b779104da4	22442	93.14145	98.13371
009ee966-34ea-4249-81d0-9bb1572924e6	27676	95.27606	98.91036
00a55e15-9575-42fa-9360-a1996b50fd94	24881	95.88520	99.38690
00aaba12-d10f-443c-99df-3aa23c61c034	10803	93.06056	98.18764
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18538	94.17307	98.25943
00b73132-e590-4ebe-a256-0e73d1c14e45	43128	93.50318	98.95874
00c59698-67e3-4a98-a95f-167e4f833272	14470	95.21092	99.17458
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23834	96.40567	99.20237
00c7fe69-1476-43e3-8b21-3b521c5103ba	14731	95.73257	99.32263
00cd6daa-7934-4318-81ff-24d6d2693af6	61830	92.82351	98.28256
00d19f54-4eb3-4f80-878f-3d42ac37db50	10870	94.76929	99.07246
00d84ccc-013d-4fae-bca9-b3ed09080509	81219	94.21245	98.35315
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48343	88.23415	95.64572
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16194	87.27934	95.20940
00df3c17-8d45-44c7-a91f-2b2eb924df76	12149	94.85645	99.55596
