Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12194	91.39579	98.41192
0000c011-5eb7-4ae1-b07d-979043585ed0	37587	91.17253	98.58562
00043524-2823-4a9d-897d-645e89ecbeac	17563	94.78816	99.40317
00188118-bfca-4773-9fc3-af9530613015	40418	94.35020	98.79011
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12407	95.76994	99.39614
00254ba9-3830-4d82-9679-913618d2bc55	25694	96.26079	99.19486
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12328	94.17181	99.22268
002d791a-01da-40d9-9e55-1fe30eeadca4	35881	96.81548	99.40865
00483b1b-2f5b-443f-b0ef-42f867480292	23340	96.06967	99.10673
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39520	94.48603	98.61486
0067cd72-629a-4376-96a1-51830f650956	15682	93.92421	99.06536
007a1f18-c232-48a8-92b8-ddf560adcc80	25680	96.16079	99.33269
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23596	94.71152	98.91629
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18593	87.95623	97.40973
0088390d-488e-4eb5-aa01-a3285c66a711	19382	93.63061	98.44475
008b006b-136a-4541-92e4-55dadaa7300a	16512	92.71570	98.44817
008df9f1-1b37-46d4-a58a-9c4717e003bd	18719	88.85535	99.54247
009b303f-97fc-4f34-8e57-18b779104da4	22411	93.42930	98.00228
009ee966-34ea-4249-81d0-9bb1572924e6	27688	95.62624	98.96730
00a55e15-9575-42fa-9360-a1996b50fd94	24938	96.28293	99.59513
00aaba12-d10f-443c-99df-3aa23c61c034	10802	93.49395	98.16934
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18539	94.47223	98.25943
00b73132-e590-4ebe-a256-0e73d1c14e45	43218	93.94508	99.17021
00c59698-67e3-4a98-a95f-167e4f833272	14484	95.73411	99.20209
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23852	96.76618	99.28172
00c7fe69-1476-43e3-8b21-3b521c5103ba	14736	95.93082	99.34295
00cd6daa-7934-4318-81ff-24d6d2693af6	61969	93.32800	98.50224
00d19f54-4eb3-4f80-878f-3d42ac37db50	10859	95.30085	98.97144
00d84ccc-013d-4fae-bca9-b3ed09080509	81318	94.70180	98.46706
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48486	88.81123	95.92285
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16153	87.55625	94.96318
00df3c17-8d45-44c7-a91f-2b2eb924df76	12152	95.21612	99.59707
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10250	89.56299	98.94768
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13782	97.14840	99.34943
00f42108-fbc4-42a0-8710-18bd5eeb3218	20962	88.74552	98.43219
00f84c20-8b6a-4f80-af78-83628f0f323e	10347	94.38906	98.66423
00fbd6f6-6da9-4432-b23b-98320204c53f	17315	94.50847	98.90638
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10751	95.22143	99.98129
00fe9974-8f26-49b5-89f9-d94f590a97eb	15049	95.28789	98.92310
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15212	97.59028	99.57265
