Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12153	91.41124	98.17530
0000c011-5eb7-4ae1-b07d-979043585ed0	37503	90.94588	98.35962
00043524-2823-4a9d-897d-645e89ecbeac	17569	94.71649	99.43728
00188118-bfca-4773-9fc3-af9530613015	40334	93.94796	98.58179
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12394	95.22977	99.29147
00254ba9-3830-4d82-9679-913618d2bc55	25694	96.29715	99.16776
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12306	93.65506	98.93119
002d791a-01da-40d9-9e55-1fe30eeadca4	35888	96.72668	99.41139
00483b1b-2f5b-443f-b0ef-42f867480292	23323	96.01417	99.03846
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39554	94.20014	98.70487
0067cd72-629a-4376-96a1-51830f650956	15670	93.84115	99.00814
007a1f18-c232-48a8-92b8-ddf560adcc80	25640	96.12042	99.16974
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23516	94.03499	98.58445
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18572	88.29936	97.28439
0088390d-488e-4eb5-aa01-a3285c66a711	19357	93.17840	98.37962
008b006b-136a-4541-92e4-55dadaa7300a	16482	92.08973	98.24256
008df9f1-1b37-46d4-a58a-9c4717e003bd	18680	88.43035	99.38019
009b303f-97fc-4f34-8e57-18b779104da4	22438	93.37914	98.11618
009ee966-34ea-4249-81d0-9bb1572924e6	27716	95.51466	99.08244
00a55e15-9575-42fa-9360-a1996b50fd94	24915	96.30468	99.51094
00aaba12-d10f-443c-99df-3aa23c61c034	10798	92.68029	98.11442
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18542	94.27670	98.27540
00b73132-e590-4ebe-a256-0e73d1c14e45	43197	93.62423	99.11962
00c59698-67e3-4a98-a95f-167e4f833272	14438	95.44773	98.96034
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23864	96.68888	99.33183
00c7fe69-1476-43e3-8b21-3b521c5103ba	14727	95.75096	99.28876
00cd6daa-7934-4318-81ff-24d6d2693af6	61800	92.45108	98.24910
00d19f54-4eb3-4f80-878f-3d42ac37db50	10849	95.10909	98.90715
00d84ccc-013d-4fae-bca9-b3ed09080509	81237	94.58017	98.36890
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48525	88.74876	96.00206
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16106	87.01973	94.66863
00df3c17-8d45-44c7-a91f-2b2eb924df76	12132	94.98826	99.46533
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10202	88.76863	98.43126
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13762	96.91965	99.20486
00f42108-fbc4-42a0-8710-18bd5eeb3218	20940	87.89879	98.36607
00f84c20-8b6a-4f80-af78-83628f0f323e	10357	94.00777	98.77955
00fbd6f6-6da9-4432-b23b-98320204c53f	4567	94.39710	98.44761
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10740	94.69523	99.88775
00fe9974-8f26-49b5-89f9-d94f590a97eb	15050	95.27482	98.91649
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15176	97.56034	99.34911
0100ab11-1984-42ad-b292-5a92faad7a53	10486	92.51833	98.08743
010144bb-a8e0-4899-9915-cfcf270598de	10610	89.68175	97.45535
0102f297-eab3-4544-bb01-364c6b897175	20019	78.98988	93.05164
010669ce-b63c-4cac-b3bc-c8aec4395802	11451	96.17632	98.63203
010faeb5-bc5b-4a37-b410-1adaba53d66c	17805	94.88213	98.99944
011fe71c-990a-4e0c-9fef-bf101953463a	29519	96.45402	99.69226
01319a62-293d-4622-aff3-77740d4de434	19590	96.57192	99.23194
01446621-97d3-481c-b3f7-abb8556bf691	15456	93.20321	98.02226
01471877-15ca-4ada-9068-393947147ac4	15120	97.01180	99.36600
014a2df3-df93-472c-8dd5-f7627f53ee6a	37588	95.94591	99.12596
0152323f-53e9-4368-a6b9-77a4e1863e56	41657	95.75853	99.09204
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55049	94.83278	99.01737
01585e45-90f7-4666-bbfe-2f31a25c89f2	8994	84.99265	97.47579
015b1528-4f8e-4efe-b4c7-5c001a241f3e	16958	96.07309	99.06920
01663879-96e6-4420-ba5a-fe885d190257	32280	94.73716	98.84335
01678b94-6712-4f93-9bba-0bf633bbc795	11527	95.31303	99.13510
017597ab-e912-44f6-9c9e-c2c778724fd1	10205	88.66511	97.19349
017867f1-a084-4ece-8696-5af676ad0af8	83246	95.12612	99.22069
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10403	95.25206	98.66259
0184030b-4f00-4b65-add5-4846f31d0430	17446	95.43044	99.19479
018620fd-c65f-4724-b92e-ff97fd1305ad	13902	92.67627	98.15183
018edec2-d1ab-4a2f-8af9-82c30e491fba	10343	94.29762	98.18130
0197251e-9f62-47b6-84f1-b22ed11b1f82	10938	96.85068	99.44338
019c3eae-23df-4ffd-81f1-003245bd3509	16130	96.16044	99.36893
01a79b36-c99a-472e-af31-3fd19b0d843c	13306	95.95517	99.12333
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19916	94.10581	98.55533
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22636	95.53913	99.46279
01b78765-1f49-471e-b0df-5dc6d6081c59	21625	88.39901	98.20567
01b99441-dbe9-42c6-bae1-968e71fd62c8	11085	96.30458	99.49372
01c98362-05b1-44c4-b6b1-a47090840324	23620	96.76257	99.36271
01ccbc4a-4923-422e-86e9-0d6ee8c7552c	14002	94.91098	98.43496
01d46f16-33e7-4fb4-99d5-7c62b8421d02	27301	95.46798	99.37580
01dbb43f-db2d-4c76-a36a-a443b2ad1bc4	25050	94.17844	98.98380
01dd72e9-4667-4592-b182-068ebf6d8d66	11336	94.61320	97.71761
01dd90f0-92bd-4326-9f4a-ad5cf79f73a7	14169	88.00027	97.08471
01e54c88-12b9-43ea-93d9-33b7c475512d	12783	96.06573	98.97244
01e8e834-78dc-492f-bf99-b79ef3aa775f	51204	95.73021	98.87284
01e95438-f7d8-4ad7-8f85-04f15156ad19	20282	88.69402	97.17539
01eae914-0049-4365-8974-fab3bf81b8a7	32327	95.62230	99.19181
01edce0c-1c05-4e05-80b5-de03e86b5c3b	23457	94.42663	98.82676
01ef9b21-a43d-4ee5-b01b-ce24f14b14ed	10152	93.93178	99.30283
01f38553-a1ca-4bfd-9137-4b4eca2ff6f9	26429	95.97158	99.08016
01f4bc42-5700-4390-ad77-d6c240c10d5a	15219	91.72011	97.65101
01f50abb-f94c-4aeb-aeca-44ce56e529d2	36583	96.60632	99.63972
01f91a38-1ccf-4789-9393-cd467f079dca	10182	95.56498	98.63893
0204c67f-0039-4c96-b7c2-5810336c67f4	35371	95.87050	99.04043
0207b101-2c01-40c2-b50a-c86e7b195a20	16712	94.31241	98.38310
020a6e61-5129-4be4-a7d3-87c93e4dae87	12563	95.17780	98.66540
020add4d-9ae8-453c-bba7-ce8296941899	22885	86.79815	96.47378
020e5e0c-332a-40e7-b494-c36487a36230	12938	94.95856	98.51801
020ef4c2-384d-4788-ba9d-42f6c585bf13	16292	93.64021	98.10375
0210abca-c83d-404b-9fa2-24842b52c33d	17485	95.92400	99.16927
02187b6c-11d1-472a-89d7-0cc99728dffe	6205	91.85791	97.62360
0219c735-d8fd-414f-b415-ad18299a7775	14318	93.13551	99.04073
0220c3cf-90a6-4c1b-b089-c85242f5586c	10529	93.84332	98.13967
0221cde5-7d62-4f90-967e-f0a725e0fcdb	12009	94.01027	98.89256
0225dbe5-bbd5-4a44-a928-8391e2ea3a5e	10956	96.81650	99.50766
02261521-eee2-417f-bec2-346f1b6a7665	12745	95.21468	101.75058
022723c1-25ef-4aff-aa61-b9072e9af31f	18929	95.37846	98.99149
0227824e-c667-40ab-945e-e2ebdb296955	41066	81.19806	94.57445
02285f3a-2523-4525-9236-edc6642f2add	15739	94.90196	98.80413
022b8e44-d6e0-4b34-8988-f0058e7d95cd	11026	95.60597	98.96266
022db79b-d4d9-494e-b599-2591d6c7b5db	11269	95.35249	98.67772
023355a4-95e6-4490-8920-cf496dd3212b	43353	94.66913	98.92335
0233dd80-9028-44f7-9342-b8f216bcb1c2	21454	94.37431	99.03664
0237e83f-78b5-416b-8098-5513618f8387	15437	97.42616	99.52054
023a36e8-32d3-4c8b-b902-402623f13dbc	23838	92.12234	98.24140
023fa394-e910-4336-9be5-8a0363c8225d	29434	96.39782	99.22263
0248d7be-dbf4-4b29-a16a-17e6b2c4f867	10208	92.59189	98.33981
024d842e-8a5c-428d-bcce-9c7a931dd3a2	10596	97.18535	99.58223
024e3376-2982-40d4-8e35-4ef18b4ccc7a	13604	92.79053	98.70149
0264e216-3aef-4221-bfe0-69c2c39ac588	26600	95.82475	98.60791
02671a4a-71de-4fc5-b8b5-0e4c171e4d08	12350	96.74920	99.09859
026c8b4d-c109-484a-8473-ab75ca1633f1	26362	95.96152	98.93133
026fb8a4-7352-45dd-b47e-5b3b89bb464e	11051	96.97268	99.35012
027349ab-3aa4-4ce4-8b80-b0cd04c3cc40	31250	95.27196	98.69871
