Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12189	91.28185	98.37213
0000c011-5eb7-4ae1-b07d-979043585ed0	37573	91.24552	98.55415
00043524-2823-4a9d-897d-645e89ecbeac	17564	94.88789	99.40317
00188118-bfca-4773-9fc3-af9530613015	40427	94.28130	98.81203
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12395	95.76791	99.33172
00254ba9-3830-4d82-9679-913618d2bc55	25734	96.47736	99.33421
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12328	94.23979	99.19618
002d791a-01da-40d9-9e55-1fe30eeadca4	35908	96.86683	99.47247
00483b1b-2f5b-443f-b0ef-42f867480292	23309	96.12626	98.97490
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39536	94.50126	98.65737
0067cd72-629a-4376-96a1-51830f650956	15666	93.97070	98.96363
007a1f18-c232-48a8-92b8-ddf560adcc80	25689	96.14646	99.35984
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23573	94.98900	98.83628
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18579	88.24010	97.23002
0088390d-488e-4eb5-aa01-a3285c66a711	19382	93.63243	98.44985
008b006b-136a-4541-92e4-55dadaa7300a	16524	92.59150	98.49011
008df9f1-1b37-46d4-a58a-9c4717e003bd	18698	89.03235	99.39198
009b303f-97fc-4f34-8e57-18b779104da4	22451	93.66563	98.17752
009ee966-34ea-4249-81d0-9bb1572924e6	27711	95.75811	99.04298
00a55e15-9575-42fa-9360-a1996b50fd94	24903	96.46288	99.45898
00aaba12-d10f-443c-99df-3aa23c61c034	10818	93.67157	98.31579
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18566	94.62434	98.40315
00b73132-e590-4ebe-a256-0e73d1c14e45	43305	93.90641	99.36789
00c59698-67e3-4a98-a95f-167e4f833272	14495	95.64774	99.31903
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23848	96.77433	99.26084
00c7fe69-1476-43e3-8b21-3b521c5103ba	14719	96.06738	99.22780
00cd6daa-7934-4318-81ff-24d6d2693af6	62010	93.35542	98.56111
00d19f54-4eb3-4f80-878f-3d42ac37db50	10863	95.35412	99.00817
00d84ccc-013d-4fae-bca9-b3ed09080509	81357	94.87527	98.51311
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48519	89.09396	95.99026
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16207	87.65340	95.26362
00df3c17-8d45-44c7-a91f-2b2eb924df76	12162	95.50425	99.70383
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10221	89.51559	98.81126
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13785	97.14265	99.37834
00f42108-fbc4-42a0-8710-18bd5eeb3218	20964	88.95223	98.43219
00f84c20-8b6a-4f80-af78-83628f0f323e	10369	94.19960	98.87565
00fbd6f6-6da9-4432-b23b-98320204c53f	17280	94.65023	98.72316
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10760	95.17375	100.05613
00fe9974-8f26-49b5-89f9-d94f590a97eb	15040	95.43522	98.85042
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15206	97.60225	99.52663
0100ab11-1984-42ad-b292-5a92faad7a53	10439	92.93559	97.67288
010144bb-a8e0-4899-9915-cfcf270598de	10675	90.48526	98.06607
0102f297-eab3-4544-bb01-364c6b897175	20251	80.16048	94.05751
010669ce-b63c-4cac-b3bc-c8aec4395802	11459	96.22091	98.67532
010faeb5-bc5b-4a37-b410-1adaba53d66c	17855	95.57189	99.17831
011fe71c-990a-4e0c-9fef-bf101953463a	29562	96.60410	99.83767
01319a62-293d-4622-aff3-77740d4de434	19602	96.95668	99.30824
01446621-97d3-481c-b3f7-abb8556bf691	15476	94.30117	98.16852
01471877-15ca-4ada-9068-393947147ac4	15125	97.02568	99.39242
014a2df3-df93-472c-8dd5-f7627f53ee6a	37622	96.27090	99.21310
0152323f-53e9-4368-a6b9-77a4e1863e56	41644	95.94639	99.10399
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55148	94.95960	99.12661
