Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12195	91.72848	98.45352
0000c011-5eb7-4ae1-b07d-979043585ed0	37601	91.37091	98.62776
00043524-2823-4a9d-897d-645e89ecbeac	17593	95.06699	99.56801
00188118-bfca-4773-9fc3-af9530613015	40484	94.46672	98.94703
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12390	95.94864	99.29147
00254ba9-3830-4d82-9679-913618d2bc55	25714	96.59976	99.25292
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12329	94.45314	99.16085
002d791a-01da-40d9-9e55-1fe30eeadca4	35892	97.03079	99.42808
00483b1b-2f5b-443f-b0ef-42f867480292	23338	96.39586	99.10232
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39601	94.79056	98.81988
0067cd72-629a-4376-96a1-51830f650956	15673	94.32886	99.02721
007a1f18-c232-48a8-92b8-ddf560adcc80	25691	96.47733	99.37536
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23610	95.15861	98.97916
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18616	88.59690	97.48135
0088390d-488e-4eb5-aa01-a3285c66a711	19381	93.94275	98.44578
008b006b-136a-4541-92e4-55dadaa7300a	16521	92.80779	98.48249
008df9f1-1b37-46d4-a58a-9c4717e003bd	18703	89.12126	99.47184
009b303f-97fc-4f34-8e57-18b779104da4	22451	93.75216	98.17752
009ee966-34ea-4249-81d0-9bb1572924e6	27735	95.99290	99.13259
00a55e15-9575-42fa-9360-a1996b50fd94	24902	96.66283	99.45920
00aaba12-d10f-443c-99df-3aa23c61c034	10798	93.74718	98.13272
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18562	94.66618	98.38186
00b73132-e590-4ebe-a256-0e73d1c14e45	43361	94.11286	99.49431
00c59698-67e3-4a98-a95f-167e4f833272	14472	95.91225	99.15394
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23858	96.93028	99.30260
00c7fe69-1476-43e3-8b21-3b521c5103ba	14740	96.28734	99.36327
00cd6daa-7934-4318-81ff-24d6d2693af6	61987	93.55705	98.53248
00d19f54-4eb3-4f80-878f-3d42ac37db50	10871	95.68025	99.09083
00d84ccc-013d-4fae-bca9-b3ed09080509	81443	95.08041	98.61732
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48620	89.31382	96.19025
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16221	88.00994	95.38207
00df3c17-8d45-44c7-a91f-2b2eb924df76	12179	95.65781	99.85191
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10226	89.79882	98.85998
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13792	97.31341	99.42171
00f42108-fbc4-42a0-8710-18bd5eeb3218	20963	89.11023	98.41330
00f84c20-8b6a-4f80-af78-83628f0f323e	10357	94.53941	98.76994
00fbd6f6-6da9-4432-b23b-98320204c53f	17301	94.78595	98.83768
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10763	95.31911	100.08419
00fe9974-8f26-49b5-89f9-d94f590a97eb	15069	95.58824	99.04202
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15214	97.80363	99.57265
0100ab11-1984-42ad-b292-5a92faad7a53	10447	93.00745	97.72941
010144bb-a8e0-4899-9915-cfcf270598de	10681	90.66582	98.13084
0102f297-eab3-4544-bb01-364c6b897175	20207	80.22762	93.86174
010669ce-b63c-4cac-b3bc-c8aec4395802	11491	96.52152	98.95238
010faeb5-bc5b-4a37-b410-1adaba53d66c	17873	95.71903	99.28452
011fe71c-990a-4e0c-9fef-bf101953463a	29562	96.71385	99.84106
01319a62-293d-4622-aff3-77740d4de434	19615	97.08365	99.36419
01446621-97d3-481c-b3f7-abb8556bf691	15473	94.44549	98.15580
01471877-15ca-4ada-9068-393947147ac4	15126	97.27285	99.39902
014a2df3-df93-472c-8dd5-f7627f53ee6a	37608	96.45682	99.17879
0152323f-53e9-4368-a6b9-77a4e1863e56	41672	96.23288	99.16833
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55182	95.08465	99.19538
01585e45-90f7-4666-bbfe-2f31a25c89f2	9017	85.53875	97.72381
015b1528-4f8e-4efe-b4c7-5c001a241f3e	5892	97.22082	99.30485
01663879-96e6-4420-ba5a-fe885d190257	32284	95.22147	98.84641
01678b94-6712-4f93-9bba-0bf633bbc795	11517	95.94166	99.01401
017597ab-e912-44f6-9c9e-c2c778724fd1	10255	89.04276	97.68221
017867f1-a084-4ece-8696-5af676ad0af8	83209	95.56364	99.23287
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10440	96.19210	98.97784
0184030b-4f00-4b65-add5-4846f31d0430	17464	95.69146	99.28045
018620fd-c65f-4724-b92e-ff97fd1305ad	13916	92.77723	98.25858
018edec2-d1ab-4a2f-8af9-82c30e491fba	10380	94.75230	98.46846
0197251e-9f62-47b6-84f1-b22ed11b1f82	10963	97.62552	99.68063
019c3eae-23df-4ffd-81f1-003245bd3509	16129	96.35238	99.35656
01a79b36-c99a-472e-af31-3fd19b0d843c	13311	96.89709	99.16080
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19919	94.65953	98.57022
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22636	95.90585	99.45420
01b78765-1f49-471e-b0df-5dc6d6081c59	21673	89.49558	98.43963
01b99441-dbe9-42c6-bae1-968e71fd62c8	11089	96.61563	99.53892
01c98362-05b1-44c4-b6b1-a47090840324	23623	97.02862	99.36693
01ccbc4a-4923-422e-86e9-0d6ee8c7552c	14004	95.40827	98.49161
01d46f16-33e7-4fb4-99d5-7c62b8421d02	27307	95.82401	99.40500
01dbb43f-db2d-4c76-a36a-a443b2ad1bc4	25090	94.86637	99.16280
01dd72e9-4667-4592-b182-068ebf6d8d66	11332	95.28326	97.68290
01dd90f0-92bd-4326-9f4a-ad5cf79f73a7	245	0.00000	nan
01e54c88-12b9-43ea-93d9-33b7c475512d	12796	96.66280	99.07364
01e8e834-78dc-492f-bf99-b79ef3aa775f	51360	96.55556	99.16285
01e95438-f7d8-4ad7-8f85-04f15156ad19	20288	89.49347	97.20888
01eae914-0049-4365-8974-fab3bf81b8a7	32357	95.92960	99.30257
01edce0c-1c05-4e05-80b5-de03e86b5c3b	23490	94.71865	98.96198
01ef9b21-a43d-4ee5-b01b-ce24f14b14ed	10136	94.57154	99.14572
