Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2898508	99.85618%	0.995	0.950	0.627	0.439	0.042	0.000
lossless_rebaler	1	2899979	99.89459500000001%	0.996	0.964	0.763	0.712	0.268	0.600
lossless_medaka	1	2902684	99.968%	0.999	0.998	0.990	0.978	0.906	0.600
LFZip_maxerror_1_flye	1	2898467	99.85469499999999%	0.995	0.949	0.628	0.431	0.063	0.000
LFZip_maxerror_1_rebaler	1	2900035	99.89509%	0.997	0.966	0.762	0.726	0.289	0.600
LFZip_maxerror_1_medaka	1	2902720	99.967%	0.999	0.998	0.991	0.980	0.936	0.667
SZ_maxerror_1_flye	1	2898439	99.851205%	0.995	0.949	0.617	0.438	0.042	0.000
SZ_maxerror_1_rebaler	1	2899902	99.8891%	0.996	0.963	0.759	0.697	0.250	0.600
SZ_maxerror_1_medaka	1	2902763	99.966%	0.999	0.998	0.991	0.976	0.876	0.667
LFZip_maxerror_2_flye	1	2898454	99.85816%	0.994	0.950	0.617	0.454	0.053	0.000
LFZip_maxerror_2_rebaler	1	2900034	99.89609%	0.997	0.966	0.762	0.725	0.268	0.600
LFZip_maxerror_2_medaka	1	2902704	99.969%	0.999	0.997	0.990	0.983	0.916	0.600
SZ_maxerror_2_flye	1	2898425	99.849215%	0.995	0.948	0.620	0.442	0.063	0.000
SZ_maxerror_2_rebaler	1	2899952	99.89009%	0.997	0.964	0.752	0.709	0.312	0.333
SZ_maxerror_2_medaka	1	2902769	99.965%	0.999	0.998	0.990	0.976	0.907	0.667
LFZip_maxerror_3_flye	1	2898380	99.8502%	0.994	0.948	0.615	0.447	0.063	0.000
LFZip_maxerror_3_rebaler	1	2899875	99.8911%	0.996	0.963	0.753	0.729	0.305	0.600
LFZip_maxerror_3_medaka	1	2902747	99.967%	0.999	0.998	0.989	0.980	0.897	0.600
SZ_maxerror_3_flye	1	2898387	99.8527%	0.995	0.948	0.612	0.447	0.063	0.000
SZ_maxerror_3_rebaler	1	2900008	99.8941%	0.996	0.965	0.756	0.735	0.289	0.200
SZ_maxerror_3_medaka	1	2902738	99.967%	0.999	0.998	0.990	0.985	0.906	0.600
