Assembly	num_contigs	total_length	identity
lossless_flye	1	2896586	99.795335%
lossless_rebaler	1	2898331	99.82624999999999%
lossless_medaka	1	2901977	99.95101%
LFZip_maxerror_1_flye	1	2896596	99.793365%
LFZip_maxerror_1_rebaler	1	2898396	99.82526%
LFZip_maxerror_1_medaka	1	2902001	99.94801%
SZ_maxerror_1_flye	1	2896503	99.78943%
SZ_maxerror_1_rebaler	1	2898339	99.827745%
SZ_maxerror_1_medaka	1	2902024	99.95001%
LFZip_maxerror_2_flye	1	2896551	99.78644%
LFZip_maxerror_2_rebaler	1	2898309	99.82668%
LFZip_maxerror_2_medaka	1	2901994	99.94801%
SZ_maxerror_2_flye	1	2896500	99.7909%
SZ_maxerror_2_rebaler	1	2898358	99.823755%
SZ_maxerror_2_medaka	1	2902008	99.94701%
LFZip_maxerror_3_flye	1	2896424	99.78591%
LFZip_maxerror_3_rebaler	1	2898404	99.82126500000001%
LFZip_maxerror_3_medaka	1	2902007	99.94901%
SZ_maxerror_3_flye	1	2896406	99.78842%
SZ_maxerror_3_rebaler	1	2898349	99.825245%
SZ_maxerror_3_medaka	1	2901992	99.94901%
LFZip_maxerror_4_flye	1	2896297	99.783435%
LFZip_maxerror_4_rebaler	1	2898323	99.817785%
LFZip_maxerror_4_medaka	1	2901995	99.94901%
SZ_maxerror_4_flye	1	2896211	99.781905%
SZ_maxerror_4_rebaler	1	2898265	99.81922%
SZ_maxerror_4_medaka	1	2901929	99.94901%
LFZip_maxerror_5_flye	1	2896092	99.77395999999999%
LFZip_maxerror_5_rebaler	1	2898200	99.81475%
LFZip_maxerror_5_medaka	1	2901884	99.94601%
SZ_maxerror_5_flye	1	2896091	99.78137000000001%
SZ_maxerror_5_rebaler	1	2898197	99.81879%
SZ_maxerror_5_medaka	1	2901900	99.94802%
LFZip_maxerror_6_flye	1	2895853	99.77097%
LFZip_maxerror_6_rebaler	1	2898084	99.80930000000001%
LFZip_maxerror_6_medaka	1	2901832	99.94402%
SZ_maxerror_6_flye	1	2895877	99.770495%
SZ_maxerror_6_rebaler	1	2898149	99.80681%
SZ_maxerror_6_medaka	1	2901817	99.94202%
LFZip_maxerror_7_flye	1	2895605	99.75704%
LFZip_maxerror_7_rebaler	1	2898040	99.80183%
LFZip_maxerror_7_medaka	1	2901803	99.94202%
SZ_maxerror_7_flye	1	2895620	99.75707%
SZ_maxerror_7_rebaler	1	2898116	99.80033%
SZ_maxerror_7_medaka	1	2901784	99.94302%
LFZip_maxerror_8_flye	1	2895291	99.7481%
LFZip_maxerror_8_rebaler	1	2897825	99.791365%
LFZip_maxerror_8_medaka	1	2901665	99.94102%
SZ_maxerror_8_flye	1	2895271	99.74560500000001%
SZ_maxerror_8_rebaler	1	2897920	99.78687%
SZ_maxerror_8_medaka	1	2901694	99.93602%
LFZip_maxerror_9_flye	1	2894952	99.73219%
LFZip_maxerror_9_rebaler	1	2897713	99.78139999999999%
LFZip_maxerror_9_medaka	1	2901628	99.93902%
SZ_maxerror_9_flye	1	2894814	99.72321%
SZ_maxerror_9_rebaler	1	2897768	99.78533999999999%
SZ_maxerror_9_medaka	1	2901607	99.93403%
LFZip_maxerror_10_flye	1	2894379	99.71726%
LFZip_maxerror_10_rebaler	1	2897453	99.76488499999999%
LFZip_maxerror_10_medaka	1	2901441	99.93303%
SZ_maxerror_10_flye	1	2893776	99.69190499999999%
SZ_maxerror_10_rebaler	1	2897159	99.745435%
SZ_maxerror_10_medaka	1	2901208	99.92404%
