Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2897834	99.812735%	0.988	0.921	0.594	0.456	0.137	0.000
lossless_rebaler	1	2898662	99.78533%	0.987	0.914	0.675	0.634	0.284	0.286
lossless_medaka	1	2902794	99.90204%	0.996	0.978	0.930	0.896	0.763	0.400
LFZip_maxerror_1_flye	1	2897774	99.794855%	0.989	0.917	0.590	0.437	0.095	0.000
LFZip_maxerror_1_rebaler	1	2898416	99.774385%	0.987	0.907	0.667	0.642	0.361	0.000
LFZip_maxerror_1_medaka	1	2902703	99.89902%	0.995	0.975	0.929	0.893	0.643	0.200
SZ_maxerror_1_flye	1	2897742	99.80681%	0.989	0.921	0.586	0.428	0.095	0.000
SZ_maxerror_1_rebaler	1	2898493	99.78532%	0.988	0.910	0.672	0.635	0.274	0.200
SZ_maxerror_1_medaka	1	2902735	99.90303%	0.996	0.978	0.930	0.885	0.694	0.167
LFZip_maxerror_2_flye	1	2897627	99.79934%	0.989	0.920	0.589	0.430	0.074	0.000
LFZip_maxerror_2_rebaler	1	2898431	99.777895%	0.987	0.908	0.673	0.632	0.347	0.222
LFZip_maxerror_2_medaka	1	2902807	99.90702%	0.996	0.977	0.933	0.901	0.740	0.500
SZ_maxerror_2_flye	1	2897787	99.80876%	0.989	0.922	0.595	0.435	0.126	0.000
SZ_maxerror_2_rebaler	1	2898458	99.775875%	0.988	0.909	0.664	0.640	0.271	0.000
SZ_maxerror_2_medaka	1	2902737	99.89803%	0.996	0.977	0.926	0.896	0.634	0.333
LFZip_maxerror_3_flye	1	2897607	99.801815%	0.989	0.916	0.585	0.437	0.063	0.000
LFZip_maxerror_3_rebaler	1	2898380	99.77089000000001%	0.988	0.904	0.662	0.645	0.330	0.167
LFZip_maxerror_3_medaka	1	2902669	99.90205%	0.996	0.977	0.931	0.906	0.766	0.000
SZ_maxerror_3_flye	1	2897690	99.797345%	0.988	0.922	0.585	0.440	0.094	0.000
SZ_maxerror_3_rebaler	1	2898415	99.773405%	0.986	0.908	0.664	0.635	0.306	0.143
SZ_maxerror_3_medaka	1	2902729	99.89805%	0.996	0.976	0.929	0.889	0.650	0.429
LFZip_maxerror_4_flye	1	2897463	99.809305%	0.987	0.915	0.583	0.450	0.104	0.000
LFZip_maxerror_4_rebaler	1	2898336	99.76888500000001%	0.987	0.904	0.654	0.635	0.296	0.000
LFZip_maxerror_4_medaka	1	2902754	99.89804%	0.995	0.975	0.927	0.905	0.710	0.400
SZ_maxerror_4_flye	1	2897480	99.79685%	0.989	0.917	0.571	0.441	0.083	0.000
SZ_maxerror_4_rebaler	1	2898408	99.77785%	0.987	0.909	0.650	0.651	0.274	0.167
SZ_maxerror_4_medaka	1	2902711	99.90304%	0.996	0.975	0.931	0.898	0.680	0.167
LFZip_maxerror_5_flye	1	2897464	99.795815%	0.988	0.917	0.560	0.439	0.073	0.000
LFZip_maxerror_5_rebaler	1	2898323	99.75792%	0.986	0.904	0.655	0.659	0.364	0.200
LFZip_maxerror_5_medaka	1	2902692	99.89303%	0.996	0.975	0.928	0.882	0.763	0.400
SZ_maxerror_5_flye	1	2897596	99.788895%	0.987	0.911	0.573	0.446	0.052	0.200
SZ_maxerror_5_rebaler	1	2898302	99.761445%	0.986	0.905	0.658	0.635	0.271	0.375
SZ_maxerror_5_medaka	1	2902700	99.88107%	0.995	0.972	0.921	0.894	0.677	0.250
LFZip_maxerror_6_flye	1	2897255	99.78884500000001%	0.986	0.909	0.555	0.442	0.074	0.000
LFZip_maxerror_6_rebaler	1	2898327	99.755935%	0.985	0.902	0.656	0.669	0.343	0.333
LFZip_maxerror_6_medaka	1	2902667	99.89004%	0.995	0.973	0.918	0.879	0.705	0.200
SZ_maxerror_6_flye	1	2897317	99.78441000000001%	0.986	0.912	0.546	0.427	0.074	0.000
SZ_maxerror_6_rebaler	1	2898247	99.74396%	0.984	0.902	0.636	0.662	0.277	0.000
SZ_maxerror_6_medaka	1	2902643	99.88207%	0.994	0.971	0.910	0.894	0.707	0.200
LFZip_maxerror_7_flye	1	2896875	99.764455%	0.984	0.905	0.538	0.417	0.063	0.000
LFZip_maxerror_7_rebaler	1	2898065	99.736%	0.984	0.897	0.645	0.657	0.302	0.125
LFZip_maxerror_7_medaka	1	2902531	99.88004%	0.994	0.969	0.911	0.886	0.636	0.400
SZ_maxerror_7_flye	1	2897124	99.77144%	0.985	0.908	0.543	0.436	0.063	0.000
SZ_maxerror_7_rebaler	1	2898053	99.739%	0.984	0.900	0.644	0.656	0.327	0.200
SZ_maxerror_7_medaka	1	2902638	99.88505%	0.994	0.970	0.918	0.893	0.673	0.333
LFZip_maxerror_8_flye	1	2896655	99.75601%	0.982	0.899	0.517	0.426	0.105	0.000
LFZip_maxerror_8_rebaler	1	2897926	99.728535%	0.982	0.896	0.634	0.672	0.354	0.600
LFZip_maxerror_8_medaka	1	2902544	99.88006%	0.994	0.968	0.906	0.882	0.663	0.286
SZ_maxerror_8_flye	1	2896761	99.748965%	0.982	0.898	0.530	0.439	0.062	0.000
SZ_maxerror_8_rebaler	1	2898045	99.72153%	0.982	0.894	0.639	0.671	0.250	0.286
SZ_maxerror_8_medaka	1	2902585	99.86709%	0.993	0.966	0.912	0.877	0.568	0.143
LFZip_maxerror_9_flye	1	2896264	99.740055%	0.979	0.894	0.491	0.409	0.074	0.000
LFZip_maxerror_9_rebaler	1	2897762	99.70560499999999%	0.979	0.895	0.639	0.655	0.343	0.200
LFZip_maxerror_9_medaka	1	2902416	99.86608%	0.993	0.965	0.903	0.877	0.716	0.400
SZ_maxerror_9_flye	1	2896283	99.73361%	0.980	0.890	0.492	0.424	0.073	0.000
SZ_maxerror_9_rebaler	1	2897890	99.69717%	0.979	0.890	0.639	0.672	0.290	0.400
SZ_maxerror_9_medaka	1	2902439	99.86109%	0.993	0.963	0.901	0.881	0.660	0.400
LFZip_maxerror_10_flye	1	2895725	99.71813%	0.975	0.877	0.471	0.400	0.053	0.000
LFZip_maxerror_10_rebaler	1	2897334	99.671305%	0.976	0.884	0.623	0.663	0.268	0.429
LFZip_maxerror_10_medaka	1	2902334	99.85907%	0.992	0.961	0.895	0.870	0.646	0.125
SZ_maxerror_10_flye	1	2895843	99.71915%	0.976	0.884	0.469	0.410	0.074	0.200
SZ_maxerror_10_rebaler	1	2897461	99.67129%	0.977	0.887	0.619	0.678	0.242	0.286
SZ_maxerror_10_medaka	1	2902314	99.8601%	0.991	0.963	0.894	0.886	0.610	0.286
