Assembly	num_contigs	total_length	identity
lossless_flye	1	2896759	99.795395%
lossless_rebaler	1	2898833	99.859175%
lossless_medaka	1	2902127	99.969%
LFZip_maxerror_1_flye	1	2896746	99.79688%
LFZip_maxerror_1_rebaler	1	2898866	99.86217%
LFZip_maxerror_1_medaka	1	2902100	99.96801%
SZ_maxerror_1_flye	1	2896694	99.79289%
SZ_maxerror_1_rebaler	1	2898861	99.85767%
SZ_maxerror_1_medaka	1	2902098	99.969%
LFZip_maxerror_2_flye	1	2896617	99.792405%
LFZip_maxerror_2_rebaler	1	2898866	99.86117%
LFZip_maxerror_2_medaka	1	2902086	99.969%
SZ_maxerror_2_flye	1	2896673	99.79489000000001%
SZ_maxerror_2_rebaler	1	2898949	99.86016000000001%
SZ_maxerror_2_medaka	1	2902095	99.972%
LFZip_maxerror_3_flye	1	2896559	99.785425%
LFZip_maxerror_3_rebaler	1	2898824	99.859675%
LFZip_maxerror_3_medaka	1	2902122	99.968%
SZ_maxerror_3_flye	1	2896531	99.785435%
SZ_maxerror_3_rebaler	1	2898880	99.861165%
SZ_maxerror_3_medaka	1	2902085	99.96601%
LFZip_maxerror_4_flye	1	2896471	99.789905%
LFZip_maxerror_4_rebaler	1	2898882	99.85369%
LFZip_maxerror_4_medaka	1	2902113	99.96601%
SZ_maxerror_4_flye	1	2896416	99.780945%
SZ_maxerror_4_rebaler	1	2898759	99.85569%
SZ_maxerror_4_medaka	1	2902045	99.97%
LFZip_maxerror_5_flye	1	2896320	99.78089%
LFZip_maxerror_5_rebaler	1	2898753	99.85219%
LFZip_maxerror_5_medaka	1	2902065	99.96801%
SZ_maxerror_5_flye	1	2896250	99.77895%
SZ_maxerror_5_rebaler	1	2898754	99.85518%
SZ_maxerror_5_medaka	1	2902043	99.96801%
LFZip_maxerror_6_flye	1	2896040	99.77298%
LFZip_maxerror_6_rebaler	1	2898630	99.85119499999999%
LFZip_maxerror_6_medaka	1	2902038	99.96699%
SZ_maxerror_6_flye	1	2896005	99.77391%
SZ_maxerror_6_rebaler	1	2898757	99.84819999999999%
SZ_maxerror_6_medaka	1	2902014	99.967%
LFZip_maxerror_7_flye	1	2895719	99.76053999999999%
LFZip_maxerror_7_rebaler	1	2898650	99.840635%
LFZip_maxerror_7_medaka	1	2901982	99.96501%
SZ_maxerror_7_flye	1	2895743	99.76053%
SZ_maxerror_7_rebaler	1	2898623	99.84321%
SZ_maxerror_7_medaka	1	2902018	99.966%
LFZip_maxerror_8_flye	1	2895454	99.74562%
LFZip_maxerror_8_rebaler	1	2898482	99.833225%
LFZip_maxerror_8_medaka	1	2901908	99.96601%
SZ_maxerror_8_flye	1	2895418	99.74857499999999%
SZ_maxerror_8_rebaler	1	2898471	99.83719500000001%
SZ_maxerror_8_medaka	1	2901951	99.96201%
LFZip_maxerror_9_flye	1	2894992	99.73366%
LFZip_maxerror_9_rebaler	1	2898365	99.81977499999999%
LFZip_maxerror_9_medaka	1	2901840	99.96101%
SZ_maxerror_9_flye	1	2894934	99.72665%
SZ_maxerror_9_rebaler	1	2898341	99.823755%
SZ_maxerror_9_medaka	1	2901863	99.96101%
LFZip_maxerror_10_flye	1	2894521	99.71775500000001%
LFZip_maxerror_10_rebaler	1	2898216	99.81571%
LFZip_maxerror_10_medaka	1	2901764	99.96001%
SZ_maxerror_10_flye	1	2893976	99.697375%
SZ_maxerror_10_rebaler	1	2898039	99.801815%
SZ_maxerror_10_medaka	1	2901639	99.95501%
