Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12269	87.03965	98.88400
0000c011-5eb7-4ae1-b07d-979043585ed0	37775	85.95718	98.94870
00043524-2823-4a9d-897d-645e89ecbeac	17523	91.31642	98.92571
00188118-bfca-4773-9fc3-af9530613015	40475	91.28033	98.81218
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12427	92.14651	99.12238
00254ba9-3830-4d82-9679-913618d2bc55	25550	92.88405	98.45165
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12433	91.28609	99.95577
002d791a-01da-40d9-9e55-1fe30eeadca4	35860	93.83197	99.21986
00483b1b-2f5b-443f-b0ef-42f867480292	23198	93.16640	98.34581
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39839	91.62623	99.31986
0067cd72-629a-4376-96a1-51830f650956	15558	90.28849	98.16240
007a1f18-c232-48a8-92b8-ddf560adcc80	25697	93.02697	99.22793
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23472	91.54483	98.26131
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18814	85.13490	97.68900
0088390d-488e-4eb5-aa01-a3285c66a711	19321	90.00597	98.09300
008b006b-136a-4541-92e4-55dadaa7300a	16447	89.17309	97.80707
008df9f1-1b37-46d4-a58a-9c4717e003bd	19149	84.38851	101.61873
009b303f-97fc-4f34-8e57-18b779104da4	22537	90.04314	98.40971
009ee966-34ea-4249-81d0-9bb1572924e6	27473	92.36028	98.03134
00a55e15-9575-42fa-9360-a1996b50fd94	24734	93.10685	98.60594
00aaba12-d10f-443c-99df-3aa23c61c034	10795	90.19748	97.74828
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18533	91.52746	97.95071
00b73132-e590-4ebe-a256-0e73d1c14e45	43700	90.64113	100.16089
00c59698-67e3-4a98-a95f-167e4f833272	14628	93.15882	98.89921
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23941	93.52992	99.46964
00c7fe69-1476-43e3-8b21-3b521c5103ba	14771	93.16006	99.30231
00cd6daa-7934-4318-81ff-24d6d2693af6	61965	89.34397	98.39873
00d19f54-4eb3-4f80-878f-3d42ac37db50	10852	92.29937	98.50308
00d84ccc-013d-4fae-bca9-b3ed09080509	80641	91.60201	97.59092
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48311	84.87077	95.50633
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16435	84.10818	96.28299
00df3c17-8d45-44c7-a91f-2b2eb924df76	12219	92.15074	99.94242
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10291	86.26204	99.09383
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13742	94.29793	98.90880
00f42108-fbc4-42a0-8710-18bd5eeb3218	21053	85.74864	98.87115
00f84c20-8b6a-4f80-af78-83628f0f323e	10275	89.98779	97.62637
00fbd6f6-6da9-4432-b23b-98320204c53f	17424	90.02387	99.37589
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10760	91.70625	99.66264
00fe9974-8f26-49b5-89f9-d94f590a97eb	14989	91.56033	98.19611
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15170	94.44588	99.01935
0100ab11-1984-42ad-b292-5a92faad7a53	10483	89.14943	97.57844
010144bb-a8e0-4899-9915-cfcf270598de	10726	86.77419	98.46182
0102f297-eab3-4544-bb01-364c6b897175	20359	77.00775	94.48437
010669ce-b63c-4cac-b3bc-c8aec4395802	11538	93.63101	98.36066
010faeb5-bc5b-4a37-b410-1adaba53d66c	17859	92.33211	99.13918
011fe71c-990a-4e0c-9fef-bf101953463a	29542	93.21204	99.67529
01319a62-293d-4622-aff3-77740d4de434	19560	93.66924	98.86624
01446621-97d3-481c-b3f7-abb8556bf691	15498	90.30438	98.10457
01471877-15ca-4ada-9068-393947147ac4	15162	94.28942	99.35279
014a2df3-df93-472c-8dd5-f7627f53ee6a	37592	93.23244	98.78777
0152323f-53e9-4368-a6b9-77a4e1863e56	41527	92.50245	98.66988
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55104	91.98784	98.68622
01585e45-90f7-4666-bbfe-2f31a25c89f2	14478	83.37900	97.28666
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17107	93.50426	99.68999
01663879-96e6-4420-ba5a-fe885d190257	32168	91.34272	98.49033
01678b94-6712-4f93-9bba-0bf633bbc795	11433	92.31227	97.89492
017597ab-e912-44f6-9c9e-c2c778724fd1	10309	85.39159	97.37573
017867f1-a084-4ece-8696-5af676ad0af8	83062	91.54218	99.01679
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10432	92.73921	98.48065
0184030b-4f00-4b65-add5-4846f31d0430	17482	92.53564	99.16053
018620fd-c65f-4724-b92e-ff97fd1305ad	13945	89.18078	98.13775
018edec2-d1ab-4a2f-8af9-82c30e491fba	10341	91.77554	97.70489
0197251e-9f62-47b6-84f1-b22ed11b1f82	10956	94.59314	99.28826
