Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12330	87.64618	99.34018
0000c011-5eb7-4ae1-b07d-979043585ed0	37767	86.12076	98.92222
00043524-2823-4a9d-897d-645e89ecbeac	17542	91.53530	99.02234
00188118-bfca-4773-9fc3-af9530613015	40536	91.51449	98.95683
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12488	92.71940	99.61353
00254ba9-3830-4d82-9679-913618d2bc55	25558	93.10896	98.48262
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12427	91.62376	99.86729
002d791a-01da-40d9-9e55-1fe30eeadca4	35879	94.21192	99.26150
00483b1b-2f5b-443f-b0ef-42f867480292	23204	93.48555	98.38374
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39822	91.62744	99.25229
0067cd72-629a-4376-96a1-51830f650956	15542	90.12860	98.06066
007a1f18-c232-48a8-92b8-ddf560adcc80	25730	93.33460	99.37148
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23498	91.87775	98.37470
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18867	85.06038	97.95138
0088390d-488e-4eb5-aa01-a3285c66a711	19349	90.29532	98.25241
008b006b-136a-4541-92e4-55dadaa7300a	16525	89.18777	98.27442
008df9f1-1b37-46d4-a58a-9c4717e003bd	19113	85.10377	101.39166
009b303f-97fc-4f34-8e57-18b779104da4	22520	90.26049	98.34837
009ee966-34ea-4249-81d0-9bb1572924e6	27520	92.76854	98.21774
00a55e15-9575-42fa-9360-a1996b50fd94	24771	93.42427	98.73813
00aaba12-d10f-443c-99df-3aa23c61c034	10796	90.43999	97.74828
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18529	91.52622	97.94539
00b73132-e590-4ebe-a256-0e73d1c14e45	43763	90.88422	100.31488
00c59698-67e3-4a98-a95f-167e4f833272	14611	93.15087	98.94744
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23926	93.60544	99.41118
00c7fe69-1476-43e3-8b21-3b521c5103ba	14726	93.29073	98.99072
00cd6daa-7934-4318-81ff-24d6d2693af6	61891	89.66855	98.29090
00d19f54-4eb3-4f80-878f-3d42ac37db50	10830	92.09934	98.31100
00d84ccc-013d-4fae-bca9-b3ed09080509	80770	91.70370	97.74603
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48421	85.14911	95.73418
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16468	84.15489	96.45461
00df3c17-8d45-44c7-a91f-2b2eb924df76	12194	92.31571	99.72848
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10331	87.04571	99.45435
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13734	94.85368	98.85099
00f42108-fbc4-42a0-8710-18bd5eeb3218	21138	85.77123	99.24432
00f84c20-8b6a-4f80-af78-83628f0f323e	10296	90.85263	97.86662
00fbd6f6-6da9-4432-b23b-98320204c53f	17390	90.36802	99.19258
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10751	92.39478	99.52292
00fe9974-8f26-49b5-89f9-d94f590a97eb	15027	91.62890	98.48024
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15157	94.77200	98.93477
0100ab11-1984-42ad-b292-5a92faad7a53	10501	89.33493	97.75747
010144bb-a8e0-4899-9915-cfcf270598de	10753	87.27338	98.74307
0102f297-eab3-4544-bb01-364c6b897175	20441	77.40070	94.85301
010669ce-b63c-4cac-b3bc-c8aec4395802	11569	93.59400	98.47566
010faeb5-bc5b-4a37-b410-1adaba53d66c	17890	92.39386	99.31805
011fe71c-990a-4e0c-9fef-bf101953463a	29635	93.63540	99.98985
01319a62-293d-4622-aff3-77740d4de434	19566	93.97083	98.91150
01446621-97d3-481c-b3f7-abb8556bf691	15443	90.75134	97.78060
01471877-15ca-4ada-9068-393947147ac4	15198	94.59091	99.55092
014a2df3-df93-472c-8dd5-f7627f53ee6a	37608	93.31516	98.83531
0152323f-53e9-4368-a6b9-77a4e1863e56	41576	92.71342	98.77508
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55210	92.14973	98.85749
01585e45-90f7-4666-bbfe-2f31a25c89f2	14493	83.59549	97.43991
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17131	93.64952	99.84207
01663879-96e6-4420-ba5a-fe885d190257	32123	91.69047	98.35205
01678b94-6712-4f93-9bba-0bf633bbc795	11473	92.56332	98.24546
017597ab-e912-44f6-9c9e-c2c778724fd1	10317	85.82020	97.50024
017867f1-a084-4ece-8696-5af676ad0af8	83147	91.74173	99.12016
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10435	93.06038	98.48109
0184030b-4f00-4b65-add5-4846f31d0430	17474	92.90312	99.11484
018620fd-c65f-4724-b92e-ff97fd1305ad	13945	89.51300	98.18750
018edec2-d1ab-4a2f-8af9-82c30e491fba	10326	91.98610	97.59013
0197251e-9f62-47b6-84f1-b22ed11b1f82	10962	94.81768	99.37956
019c3eae-23df-4ffd-81f1-003245bd3509	16054	93.38240	98.72548
01a79b36-c99a-472e-af31-3fd19b0d843c	13393	93.50954	99.43803
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19873	91.19607	98.35129
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22572	92.82910	99.05336
01b78765-1f49-471e-b0df-5dc6d6081c59	22033	86.61031	99.63415
01b99441-dbe9-42c6-bae1-968e71fd62c8	11067	93.32327	98.95127
01c98362-05b1-44c4-b6b1-a47090840324	23588	94.12621	99.03351
01ccbc4a-4923-422e-86e9-0d6ee8c7552c	14371	91.78845	97.89541
01d46f16-33e7-4fb4-99d5-7c62b8421d02	27245	92.33545	99.01442
01dbb43f-db2d-4c76-a36a-a443b2ad1bc4	25126	91.17192	99.18660
01dd72e9-4667-4592-b182-068ebf6d8d66	11235	91.57453	96.39014
01dd90f0-92bd-4326-9f4a-ad5cf79f73a7	14406	84.45702	98.24670
01e54c88-12b9-43ea-93d9-33b7c475512d	12819	93.19884	99.05029
01e8e834-78dc-492f-bf99-b79ef3aa775f	51344	93.36192	99.02171
01e95438-f7d8-4ad7-8f85-04f15156ad19	20384	85.20491	97.50756
01eae914-0049-4365-8974-fab3bf81b8a7	32272	92.50994	98.92467
01edce0c-1c05-4e05-80b5-de03e86b5c3b	23375	91.10570	98.31667
01ef9b21-a43d-4ee5-b01b-ce24f14b14ed	10188	91.61000	99.37156
01f38553-a1ca-4bfd-9137-4b4eca2ff6f9	26444	93.15805	98.78588
01f4bc42-5700-4390-ad77-d6c240c10d5a	15246	88.37999	97.48322
01f50abb-f94c-4aeb-aeca-44ce56e529d2	36604	93.97803	99.59058
01f91a38-1ccf-4789-9393-cd467f079dca	10130	92.68574	97.86633
0204c67f-0039-4c96-b7c2-5810336c67f4	35207	93.11706	98.45100
0207b101-2c01-40c2-b50a-c86e7b195a20	16736	92.18243	98.35389
020a6e61-5129-4be4-a7d3-87c93e4dae87	12584	93.01659	98.81554
020add4d-9ae8-453c-bba7-ce8296941899	23004	83.96431	96.88573
020e5e0c-332a-40e7-b494-c36487a36230	12887	91.45331	98.03425
020ef4c2-384d-4788-ba9d-42f6c585bf13	16483	91.02918	99.08251
0210abca-c83d-404b-9fa2-24842b52c33d	17396	93.02873	98.54891
02187b6c-11d1-472a-89d7-0cc99728dffe	13719	90.19122	98.53549
0219c735-d8fd-414f-b415-ad18299a7775	14617	92.50407	99.74974
0220c3cf-90a6-4c1b-b089-c85242f5586c	15757	90.54714	99.68002
0221cde5-7d62-4f90-967e-f0a725e0fcdb	12124	92.97083	99.53765
0225dbe5-bbd5-4a44-a928-8391e2ea3a5e	10980	94.21665	99.46222
02261521-eee2-417f-bec2-346f1b6a7665	12753	92.48528	101.42134
022723c1-25ef-4aff-aa61-b9072e9af31f	19006	93.71968	99.21194
0227824e-c667-40ab-945e-e2ebdb296955	40566	77.86783	93.30763
02285f3a-2523-4525-9236-edc6642f2add	15759	91.91539	98.67791
022b8e44-d6e0-4b34-8988-f0058e7d95cd	10997	92.32950	98.56589
022db79b-d4d9-494e-b599-2591d6c7b5db	11293	92.73956	98.45733
023355a4-95e6-4490-8920-cf496dd3212b	43129	91.85129	98.31074
