Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12359	88.01724	99.58456
0000c011-5eb7-4ae1-b07d-979043585ed0	37763	86.53129	98.91453
00043524-2823-4a9d-897d-645e89ecbeac	17638	92.15621	99.56801
00188118-bfca-4773-9fc3-af9530613015	40623	92.13523	99.16987
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12461	93.25391	99.45250
00254ba9-3830-4d82-9679-913618d2bc55	25579	93.51887	98.56004
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12431	91.82692	99.88500
002d791a-01da-40d9-9e55-1fe30eeadca4	35917	94.57532	99.36422
00483b1b-2f5b-443f-b0ef-42f867480292	23239	93.87498	98.52441
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39882	92.33627	99.41488
0067cd72-629a-4376-96a1-51830f650956	15598	90.97688	98.44217
007a1f18-c232-48a8-92b8-ddf560adcc80	25751	93.83243	99.44908
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23499	92.27342	98.37890
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18889	85.61321	98.12459
0088390d-488e-4eb5-aa01-a3285c66a711	19391	90.88240	98.44993
008b006b-136a-4541-92e4-55dadaa7300a	16515	89.45957	98.21450
008df9f1-1b37-46d4-a58a-9c4717e003bd	19202	85.51447	101.79754
009b303f-97fc-4f34-8e57-18b779104da4	22604	90.76338	98.70306
009ee966-34ea-4249-81d0-9bb1572924e6	27589	93.29924	98.45448
00a55e15-9575-42fa-9360-a1996b50fd94	24828	93.98327	98.99451
00aaba12-d10f-443c-99df-3aa23c61c034	10820	90.80007	97.96796
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18547	92.16455	98.04652
00b73132-e590-4ebe-a256-0e73d1c14e45	43842	91.34044	100.48727
00c59698-67e3-4a98-a95f-167e4f833272	14571	93.62795	98.85113
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23943	93.97763	99.47799
00c7fe69-1476-43e3-8b21-3b521c5103ba	14771	93.72755	99.29554
00cd6daa-7934-4318-81ff-24d6d2693af6	61951	90.22738	98.38160
00d19f54-4eb3-4f80-878f-3d42ac37db50	10880	92.95762	98.76997
00d84ccc-013d-4fae-bca9-b3ed09080509	80882	92.40781	97.88296
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48544	85.98844	95.97337
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16490	84.63283	96.60537
00df3c17-8d45-44c7-a91f-2b2eb924df76	12199	92.71327	99.78611
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10375	87.42633	99.91231
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13751	95.00036	98.97325
00f42108-fbc4-42a0-8710-18bd5eeb3218	21080	86.58514	98.98928
00f84c20-8b6a-4f80-af78-83628f0f323e	10341	91.07311	98.27023
00fbd6f6-6da9-4432-b23b-98320204c53f	17442	91.15877	99.48462
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10769	92.80885	99.71001
00fe9974-8f26-49b5-89f9-d94f590a97eb	15060	92.18264	98.68508
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15173	95.16726	99.03960
0100ab11-1984-42ad-b292-5a92faad7a53	10524	89.82256	97.98379
010144bb-a8e0-4899-9915-cfcf270598de	10788	87.69437	99.06654
0102f297-eab3-4544-bb01-364c6b897175	20454	77.98092	94.91834
010669ce-b63c-4cac-b3bc-c8aec4395802	11546	94.24129	98.41517
010faeb5-bc5b-4a37-b410-1adaba53d66c	17906	92.81532	99.39631
011fe71c-990a-4e0c-9fef-bf101953463a	29625	94.11394	99.95603
01319a62-293d-4622-aff3-77740d4de434	19560	94.54290	98.88098
01446621-97d3-481c-b3f7-abb8556bf691	15457	91.34172	97.85705
01471877-15ca-4ada-9068-393947147ac4	15199	94.89929	99.55752
014a2df3-df93-472c-8dd5-f7627f53ee6a	37644	93.73652	98.94887
0152323f-53e9-4368-a6b9-77a4e1863e56	41614	93.17661	98.87748
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55360	92.51064	99.11758
01585e45-90f7-4666-bbfe-2f31a25c89f2	14554	84.08824	97.76798
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17131	94.23297	99.84207
01663879-96e6-4420-ba5a-fe885d190257	32175	92.30723	98.51470
01678b94-6712-4f93-9bba-0bf633bbc795	11476	93.00842	98.27139
017597ab-e912-44f6-9c9e-c2c778724fd1	10331	86.10519	97.64390
017867f1-a084-4ece-8696-5af676ad0af8	83292	92.39552	99.29204
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10429	93.29073	98.43332
0184030b-4f00-4b65-add5-4846f31d0430	17502	93.07701	99.26332
018620fd-c65f-4724-b92e-ff97fd1305ad	14009	89.62564	98.58554
018edec2-d1ab-4a2f-8af9-82c30e491fba	10348	92.35987	97.78139
0197251e-9f62-47b6-84f1-b22ed11b1f82	10967	95.29676	99.40693
019c3eae-23df-4ffd-81f1-003245bd3509	16082	93.93533	98.89872
01a79b36-c99a-472e-af31-3fd19b0d843c	13414	93.85372	99.60288
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19870	91.52782	98.31653
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22627	93.19672	99.29553
01b78765-1f49-471e-b0df-5dc6d6081c59	22096	87.07331	99.98628
01b99441-dbe9-42c6-bae1-968e71fd62c8	11074	93.72890	99.02360
