Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2901783	99.983%	1.000	0.998	0.982	0.894	0.316	0.000
lossless_rebaler	1	2901858	99.991%	1.000	0.999	0.988	0.916	0.484	0.200
lossless_medaka	1	2902096	99.997%	1.000	1.000	0.999	0.992	0.811	0.800
LFZip_maxerror_1_flye	1	2901787	99.984%	1.000	0.999	0.981	0.888	0.295	0.000
LFZip_maxerror_1_rebaler	1	2901880	99.99%	1.000	0.999	0.989	0.926	0.516	0.600
LFZip_maxerror_1_medaka	1	2902100	99.997%	1.000	1.000	0.999	0.994	0.789	0.800
SZ_maxerror_1_flye	1	2901775	99.984%	1.000	0.998	0.981	0.884	0.347	0.000
SZ_maxerror_1_rebaler	1	2901870	99.99%	1.000	0.999	0.988	0.923	0.516	0.600
SZ_maxerror_1_medaka	1	2902096	99.997%	1.000	1.000	0.999	0.992	0.821	1.000
LFZip_maxerror_2_flye	1	2901788	99.984%	1.000	0.998	0.982	0.893	0.274	0.000
LFZip_maxerror_2_rebaler	1	2901865	99.99%	1.000	0.999	0.988	0.918	0.516	0.800
LFZip_maxerror_2_medaka	1	2902099	99.997%	1.000	1.000	0.999	0.994	0.789	0.800
SZ_maxerror_2_flye	1	2901765	99.982%	1.000	0.998	0.981	0.888	0.337	0.000
SZ_maxerror_2_rebaler	1	2901832	99.989%	1.000	0.999	0.986	0.916	0.484	0.400
SZ_maxerror_2_medaka	1	2902072	99.997%	1.000	1.000	0.999	0.990	0.768	0.800
LFZip_maxerror_3_flye	1	2901783	99.984%	1.000	0.998	0.982	0.890	0.253	0.000
LFZip_maxerror_3_rebaler	1	2901856	99.989%	1.000	0.999	0.986	0.917	0.463	0.400
LFZip_maxerror_3_medaka	1	2902099	99.997%	1.000	1.000	0.999	0.994	0.768	0.800
SZ_maxerror_3_flye	1	2901777	99.983%	1.000	0.999	0.979	0.889	0.295	0.000
SZ_maxerror_3_rebaler	1	2901869	99.988%	1.000	0.999	0.989	0.916	0.505	0.600
SZ_maxerror_3_medaka	1	2902096	99.997%	1.000	1.000	0.999	0.991	0.758	1.000
LFZip_maxerror_4_flye	1	2901756	99.982%	1.000	0.998	0.980	0.885	0.295	0.000
LFZip_maxerror_4_rebaler	1	2901850	99.989%	1.000	0.998	0.987	0.913	0.495	0.600
LFZip_maxerror_4_medaka	1	2902095	99.997%	1.000	1.000	0.999	0.991	0.789	0.800
SZ_maxerror_4_flye	1	2901755	99.982%	1.000	0.998	0.979	0.879	0.305	0.000
SZ_maxerror_4_rebaler	1	2901830	99.987%	1.000	0.999	0.985	0.916	0.469	0.000
SZ_maxerror_4_medaka	1	2902086	99.996%	1.000	1.000	0.999	0.987	0.747	0.600
LFZip_maxerror_5_flye	1	2901718	99.98%	1.000	0.998	0.978	0.868	0.242	0.000
LFZip_maxerror_5_rebaler	1	2901831	99.987%	1.000	0.998	0.987	0.904	0.432	0.000
LFZip_maxerror_5_medaka	1	2902087	99.996%	1.000	1.000	0.999	0.990	0.758	0.800
SZ_maxerror_5_flye	1	2901734	99.981%	1.000	0.998	0.978	0.872	0.263	0.000
SZ_maxerror_5_rebaler	1	2901800	99.988%	1.000	0.998	0.985	0.907	0.453	0.600
SZ_maxerror_5_medaka	1	2902083	99.997%	1.000	1.000	0.999	0.988	0.737	0.800
LFZip_maxerror_6_flye	1	2901685	99.983%	1.000	0.997	0.975	0.858	0.232	0.000
LFZip_maxerror_6_rebaler	1	2901803	99.986%	1.000	0.998	0.983	0.899	0.421	0.000
LFZip_maxerror_6_medaka	1	2902089	99.997%	1.000	1.000	0.999	0.986	0.723	0.500
SZ_maxerror_6_flye	1	2901651	99.978%	1.000	0.997	0.974	0.863	0.200	0.000
SZ_maxerror_6_rebaler	1	2901805	99.987%	1.000	0.998	0.983	0.897	0.484	0.000
SZ_maxerror_6_medaka	1	2902078	99.996%	1.000	1.000	0.998	0.990	0.716	0.800
LFZip_maxerror_7_flye	1	2901655	99.979%	1.000	0.997	0.974	0.854	0.200	0.000
LFZip_maxerror_7_rebaler	1	2901791	99.986%	1.000	0.998	0.983	0.900	0.432	0.400
LFZip_maxerror_7_medaka	1	2902075	99.996%	1.000	1.000	0.999	0.985	0.684	0.800
SZ_maxerror_7_flye	1	2901667	99.98%	1.000	0.997	0.976	0.858	0.179	0.000
SZ_maxerror_7_rebaler	1	2901784	99.987%	1.000	0.998	0.983	0.897	0.358	0.400
SZ_maxerror_7_medaka	1	2902071	99.996%	1.000	1.000	0.998	0.983	0.688	0.600
LFZip_maxerror_8_flye	1	2901594	99.976%	1.000	0.996	0.969	0.840	0.189	0.000
LFZip_maxerror_8_rebaler	1	2901739	99.983%	1.000	0.997	0.981	0.886	0.358	0.600
