Assembly	num_contigs	total_length	identity
lossless_flye	1	2899063	99.87964%
lossless_rebaler	1	2900010	99.90309%
lossless_medaka	1	2902048	99.978%
LFZip_maxerror_1_flye	1	2899050	99.87614500000001%
LFZip_maxerror_1_rebaler	1	2900016	99.90208%
LFZip_maxerror_1_medaka	1	2902058	99.981%
SZ_maxerror_1_flye	1	2899069	99.88014%
SZ_maxerror_1_rebaler	1	2900026	99.90607%
SZ_maxerror_1_medaka	1	2902049	99.98%
LFZip_maxerror_2_flye	1	2898999	99.87761%
LFZip_maxerror_2_rebaler	1	2899998	99.90857%
LFZip_maxerror_2_medaka	1	2902027	99.978%
SZ_maxerror_2_flye	1	2899015	99.87814%
SZ_maxerror_2_rebaler	1	2900057	99.90607%
SZ_maxerror_2_medaka	1	2902036	99.978%
LFZip_maxerror_3_flye	1	2898962	99.87714%
LFZip_maxerror_3_rebaler	1	2900008	99.90408%
LFZip_maxerror_3_medaka	1	2902070	99.98%
SZ_maxerror_3_flye	1	2898984	99.87664000000001%
SZ_maxerror_3_rebaler	1	2900035	99.90309%
SZ_maxerror_3_medaka	1	2902047	99.98%
LFZip_maxerror_4_flye	1	2898929	99.875145%
LFZip_maxerror_4_rebaler	1	2900024	99.90508%
LFZip_maxerror_4_medaka	1	2902089	99.978%
SZ_maxerror_4_flye	1	2898926	99.874645%
SZ_maxerror_4_rebaler	1	2899981	99.90258499999999%
SZ_maxerror_4_medaka	1	2902064	99.979%
LFZip_maxerror_5_flye	1	2898862	99.874645%
LFZip_maxerror_5_rebaler	1	2899999	99.901585%
LFZip_maxerror_5_medaka	1	2902105	99.979%
SZ_maxerror_5_flye	1	2898858	99.874635%
SZ_maxerror_5_rebaler	1	2900014	99.90009%
SZ_maxerror_5_medaka	1	2902052	99.98%
LFZip_maxerror_6_flye	1	2898760	99.86866%
LFZip_maxerror_6_rebaler	1	2900033	99.89708%
LFZip_maxerror_6_medaka	1	2902080	99.978%
SZ_maxerror_6_flye	1	2898793	99.86815%
SZ_maxerror_6_rebaler	1	2899994	99.896095%
SZ_maxerror_6_medaka	1	2902092	99.976%
LFZip_maxerror_7_flye	1	2898633	99.86816999999999%
LFZip_maxerror_7_rebaler	1	2900010	99.89708%
LFZip_maxerror_7_medaka	1	2902066	99.978%
SZ_maxerror_7_flye	1	2898630	99.86218%
SZ_maxerror_7_rebaler	1	2900077	99.89809%
SZ_maxerror_7_medaka	1	2902070	99.977%
LFZip_maxerror_8_flye	1	2898448	99.856695%
LFZip_maxerror_8_rebaler	1	2899972	99.891095%
LFZip_maxerror_8_medaka	1	2902045	99.975%
SZ_maxerror_8_flye	1	2898448	99.86167%
SZ_maxerror_8_rebaler	1	2899984	99.89758499999999%
SZ_maxerror_8_medaka	1	2902097	99.975%
LFZip_maxerror_9_flye	1	2898304	99.851695%
LFZip_maxerror_9_rebaler	1	2899873	99.889105%
LFZip_maxerror_9_medaka	1	2902043	99.973%
SZ_maxerror_9_flye	1	2898304	99.8532%
SZ_maxerror_9_rebaler	1	2899884	99.8896%
SZ_maxerror_9_medaka	1	2902064	99.975%
LFZip_maxerror_10_flye	1	2898014	99.842235%
LFZip_maxerror_10_rebaler	1	2899863	99.882105%
LFZip_maxerror_10_medaka	1	2902053	99.971%
SZ_maxerror_10_flye	1	2897806	99.82926%
SZ_maxerror_10_rebaler	1	2899752	99.86813%
SZ_maxerror_10_medaka	1	2902032	99.96401%
