Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2901650	99.97201%	0.999	0.995	0.967	0.858	0.305	0.000
lossless_rebaler	1	2901592	99.97401%	0.999	0.993	0.966	0.873	0.526	0.200
lossless_medaka	1	2902099	99.985%	1.000	0.998	0.989	0.966	0.747	0.400
LFZip_maxerror_1_flye	1	2901600	99.97001%	0.999	0.994	0.964	0.848	0.358	0.000
LFZip_maxerror_1_rebaler	1	2901553	99.97301%	0.999	0.992	0.960	0.870	0.510	0.000
LFZip_maxerror_1_medaka	1	2902082	99.985%	1.000	0.997	0.988	0.961	0.708	0.400
SZ_maxerror_1_flye	1	2901656	99.972%	0.999	0.995	0.967	0.858	0.263	0.000
SZ_maxerror_1_rebaler	1	2901551	99.97001%	0.999	0.994	0.963	0.869	0.448	0.000
SZ_maxerror_1_medaka	1	2902081	99.986%	1.000	0.998	0.990	0.965	0.768	0.200
LFZip_maxerror_2_flye	1	2901618	99.97301%	0.999	0.995	0.963	0.844	0.302	0.000
LFZip_maxerror_2_rebaler	1	2901600	99.97101%	0.999	0.993	0.964	0.867	0.516	0.000
LFZip_maxerror_2_medaka	1	2902111	99.986%	1.000	0.998	0.989	0.968	0.737	0.600
SZ_maxerror_2_flye	1	2901636	99.97201%	0.999	0.996	0.963	0.851	0.337	0.000
SZ_maxerror_2_rebaler	1	2901600	99.97401%	0.999	0.994	0.966	0.883	0.516	0.200
SZ_maxerror_2_medaka	1	2902080	99.987%	1.000	0.998	0.990	0.965	0.708	0.800
LFZip_maxerror_3_flye	1	2901608	99.972%	0.999	0.995	0.962	0.842	0.284	0.200
LFZip_maxerror_3_rebaler	1	2901539	99.96901%	0.999	0.994	0.959	0.861	0.347	0.600
LFZip_maxerror_3_medaka	1	2902090	99.985%	0.999	0.998	0.987	0.956	0.747	0.800
SZ_maxerror_3_flye	1	2901608	99.97101%	0.999	0.994	0.966	0.844	0.295	0.000
SZ_maxerror_3_rebaler	1	2901582	99.97201%	1.000	0.993	0.964	0.873	0.490	0.200
SZ_maxerror_3_medaka	1	2902052	99.988%	1.000	0.998	0.991	0.953	0.722	0.600
LFZip_maxerror_4_flye	1	2901623	99.96901%	0.999	0.994	0.967	0.847	0.319	0.200
LFZip_maxerror_4_rebaler	1	2901577	99.96801%	0.999	0.992	0.966	0.866	0.411	0.200
LFZip_maxerror_4_medaka	1	2902084	99.985%	1.000	0.998	0.993	0.957	0.653	0.400
SZ_maxerror_4_flye	1	2901561	99.96701%	0.999	0.993	0.962	0.837	0.221	0.000
SZ_maxerror_4_rebaler	1	2901507	99.97001%	0.999	0.993	0.960	0.866	0.379	0.200
SZ_maxerror_4_medaka	1	2902075	99.985%	1.000	0.998	0.987	0.961	0.632	0.600
LFZip_maxerror_5_flye	1	2901565	99.96801%	0.999	0.993	0.962	0.832	0.274	0.200
LFZip_maxerror_5_rebaler	1	2901486	99.96901%	0.999	0.991	0.958	0.860	0.495	0.500
LFZip_maxerror_5_medaka	1	2902066	99.985%	1.000	0.997	0.986	0.963	0.684	0.600
SZ_maxerror_5_flye	1	2901525	99.96801%	0.999	0.994	0.954	0.829	0.274	0.000
SZ_maxerror_5_rebaler	1	2901457	99.96701%	0.999	0.993	0.955	0.869	0.442	0.000
SZ_maxerror_5_medaka	1	2902060	99.984%	1.000	0.998	0.987	0.959	0.716	0.600
LFZip_maxerror_6_flye	1	2901492	99.96501%	0.999	0.993	0.958	0.813	0.232	0.000
LFZip_maxerror_6_rebaler	1	2901420	99.96501%	0.999	0.992	0.955	0.853	0.330	0.000
LFZip_maxerror_6_medaka	1	2902029	99.982%	0.999	0.997	0.988	0.949	0.638	0.333
SZ_maxerror_6_flye	1	2901460	99.96501%	0.999	0.992	0.954	0.807	0.295	0.000
SZ_maxerror_6_rebaler	1	2901456	99.96401%	0.999	0.991	0.954	0.850	0.484	0.400
SZ_maxerror_6_medaka	1	2902043	99.983%	0.999	0.998	0.984	0.950	0.698	0.400
LFZip_maxerror_7_flye	1	2901430	99.96501%	0.999	0.992	0.952	0.813	0.211	0.000
