Assembly	num_contigs	total_length	identity
lossless_flye	1	2899152	99.88212999999999%
lossless_rebaler	1	2900415	99.92804%
lossless_medaka	1	2902089	99.99%
LFZip_maxerror_1_flye	1	2899149	99.883625%
LFZip_maxerror_1_rebaler	1	2900376	99.92705%
LFZip_maxerror_1_medaka	1	2902060	99.991%
SZ_maxerror_1_flye	1	2899187	99.88363%
SZ_maxerror_1_rebaler	1	2900393	99.92705%
SZ_maxerror_1_medaka	1	2902092	99.99%
LFZip_maxerror_2_flye	1	2899160	99.88362000000001%
LFZip_maxerror_2_rebaler	1	2900385	99.92505%
LFZip_maxerror_2_medaka	1	2902099	99.991%
SZ_maxerror_2_flye	1	2899144	99.88363%
SZ_maxerror_2_rebaler	1	2900400	99.92505%
SZ_maxerror_2_medaka	1	2902085	99.991%
LFZip_maxerror_3_flye	1	2899100	99.88412%
LFZip_maxerror_3_rebaler	1	2900405	99.92505%
LFZip_maxerror_3_medaka	1	2902094	99.99%
SZ_maxerror_3_flye	1	2899134	99.882125%
SZ_maxerror_3_rebaler	1	2900438	99.92505%
SZ_maxerror_3_medaka	1	2902091	99.989%
LFZip_maxerror_4_flye	1	2899060	99.878145%
LFZip_maxerror_4_rebaler	1	2900442	99.92605%
LFZip_maxerror_4_medaka	1	2902080	99.992%
SZ_maxerror_4_flye	1	2899034	99.881125%
SZ_maxerror_4_rebaler	1	2900394	99.92106%
SZ_maxerror_4_medaka	1	2902098	99.99%
LFZip_maxerror_5_flye	1	2898993	99.876645%
LFZip_maxerror_5_rebaler	1	2900400	99.92306%
LFZip_maxerror_5_medaka	1	2902081	99.991%
SZ_maxerror_5_flye	1	2898942	99.878635%
SZ_maxerror_5_rebaler	1	2900412	99.92405%
SZ_maxerror_5_medaka	1	2902092	99.99%
LFZip_maxerror_6_flye	1	2898867	99.87763%
LFZip_maxerror_6_rebaler	1	2900430	99.92305%
LFZip_maxerror_6_medaka	1	2902069	99.991%
SZ_maxerror_6_flye	1	2898902	99.876645%
SZ_maxerror_6_rebaler	1	2900415	99.92305%
SZ_maxerror_6_medaka	1	2902111	99.989%
LFZip_maxerror_7_flye	1	2898754	99.86916%
LFZip_maxerror_7_rebaler	1	2900415	99.92205%
LFZip_maxerror_7_medaka	1	2902080	99.99%
SZ_maxerror_7_flye	1	2898750	99.870655%
SZ_maxerror_7_rebaler	1	2900399	99.92005%
SZ_maxerror_7_medaka	1	2902089	99.988%
LFZip_maxerror_8_flye	1	2898609	99.86466999999999%
LFZip_maxerror_8_rebaler	1	2900397	99.91906%
LFZip_maxerror_8_medaka	1	2902071	99.989%
SZ_maxerror_8_flye	1	2898562	99.86167499999999%
SZ_maxerror_8_rebaler	1	2900386	99.92105%
SZ_maxerror_8_medaka	1	2902074	99.989%
LFZip_maxerror_9_flye	1	2898422	99.85967500000001%
LFZip_maxerror_9_rebaler	1	2900296	99.91506%
LFZip_maxerror_9_medaka	1	2902073	99.989%
SZ_maxerror_9_flye	1	2898392	99.85619%
SZ_maxerror_9_rebaler	1	2900381	99.91606%
SZ_maxerror_9_medaka	1	2902056	99.987%
LFZip_maxerror_10_flye	1	2898163	99.846215%
LFZip_maxerror_10_rebaler	1	2900332	99.91206%
LFZip_maxerror_10_medaka	1	2902067	99.988%
SZ_maxerror_10_flye	1	2897882	99.837255%
SZ_maxerror_10_rebaler	1	2900376	99.90907%
SZ_maxerror_10_medaka	1	2902039	99.986%
