Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12237	88.70369	98.57480
0000c011-5eb7-4ae1-b07d-979043585ed0	37773	87.30917	98.94336
00043524-2823-4a9d-897d-645e89ecbeac	17558	92.18750	99.14739
00188118-bfca-4773-9fc3-af9530613015	40624	92.44302	99.18683
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12388	93.15969	98.84863
00254ba9-3830-4d82-9679-913618d2bc55	25612	93.59287	98.70326
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12333	92.39337	99.12552
002d791a-01da-40d9-9e55-1fe30eeadca4	35848	94.47937	99.19482
00483b1b-2f5b-443f-b0ef-42f867480292	23274	93.65658	98.67721
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39595	91.94848	98.69224
0067cd72-629a-4376-96a1-51830f650956	15658	90.62306	98.79189
007a1f18-c232-48a8-92b8-ddf560adcc80	25687	93.70091	99.18526
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23435	92.25149	98.10164
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18604	85.83589	97.07990
0088390d-488e-4eb5-aa01-a3285c66a711	19349	90.88959	98.26118
008b006b-136a-4541-92e4-55dadaa7300a	16471	90.10301	97.95087
008df9f1-1b37-46d4-a58a-9c4717e003bd	19037	85.97376	101.11918
009b303f-97fc-4f34-8e57-18b779104da4	22542	90.85734	98.44914
009ee966-34ea-4249-81d0-9bb1572924e6	27565	92.90598	98.36900
00a55e15-9575-42fa-9360-a1996b50fd94	24780	93.56709	98.79740
00aaba12-d10f-443c-99df-3aa23c61c034	10752	90.53981	97.36409
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18471	91.75382	97.64731
00b73132-e590-4ebe-a256-0e73d1c14e45	43526	91.61541	99.76326
00c59698-67e3-4a98-a95f-167e4f833272	14459	93.62437	98.80305
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23816	94.26668	98.99323
00c7fe69-1476-43e3-8b21-3b521c5103ba	14767	93.62325	99.25489
00cd6daa-7934-4318-81ff-24d6d2693af6	61857	90.53938	98.23796
00d19f54-4eb3-4f80-878f-3d42ac37db50	10830	92.30006	98.33853
00d84ccc-013d-4fae-bca9-b3ed09080509	80868	92.25010	97.86842
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48345	85.97167	95.58602
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16260	84.62987	95.22182
00df3c17-8d45-44c7-a91f-2b2eb924df76	12158	92.77389	99.41621
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10320	86.02221	99.39589
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13734	94.97923	98.87730
00f42108-fbc4-42a0-8710-18bd5eeb3218	21026	86.48735	98.72951
00f84c20-8b6a-4f80-af78-83628f0f323e	10280	91.11300	97.65565
00fbd6f6-6da9-4432-b23b-98320204c53f	17260	91.69890	98.41970
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10770	92.64303	99.70051
00fe9974-8f26-49b5-89f9-d94f590a97eb	15049	92.42640	98.61900
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15157	95.46342	98.90132
0100ab11-1984-42ad-b292-5a92faad7a53	10486	89.64565	97.64462
010144bb-a8e0-4899-9915-cfcf270598de	10692	87.22182	98.18636
0102f297-eab3-4544-bb01-364c6b897175	20283	77.33310	94.13412
010669ce-b63c-4cac-b3bc-c8aec4395802	11479	94.20092	98.64081
010faeb5-bc5b-4a37-b410-1adaba53d66c	17794	92.90850	98.76453
011fe71c-990a-4e0c-9fef-bf101953463a	29477	94.02822	99.44198
01319a62-293d-4622-aff3-77740d4de434	19613	94.86420	99.13061
01446621-97d3-481c-b3f7-abb8556bf691	15404	90.66201	97.50731
01471877-15ca-4ada-9068-393947147ac4	15203	94.89663	99.65658
014a2df3-df93-472c-8dd5-f7627f53ee6a	37670	93.63188	99.12058
0152323f-53e9-4368-a6b9-77a4e1863e56	41498	93.00735	98.60347
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55088	92.57753	98.60113
01585e45-90f7-4666-bbfe-2f31a25c89f2	14577	84.71279	97.97192
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17041	94.21839	99.32156
01663879-96e6-4420-ba5a-fe885d190257	32064	92.04967	98.17462
01678b94-6712-4f93-9bba-0bf633bbc795	11452	92.78289	98.02939
017597ab-e912-44f6-9c9e-c2c778724fd1	10260	86.00762	97.23233
017867f1-a084-4ece-8696-5af676ad0af8	83114	92.46086	99.02415
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10439	93.30764	98.50974
0184030b-4f00-4b65-add5-4846f31d0430	17430	92.71608	98.86928
018620fd-c65f-4724-b92e-ff97fd1305ad	13897	89.59157	97.83922
018edec2-d1ab-4a2f-8af9-82c30e491fba	10309	91.69730	97.44669
0197251e-9f62-47b6-84f1-b22ed11b1f82	10938	95.32475	99.14226
019c3eae-23df-4ffd-81f1-003245bd3509	16049	93.82656	98.68218
01a79b36-c99a-472e-af31-3fd19b0d843c	13373	94.00368	99.29567
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19860	91.24933	98.24283
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22561	93.74919	99.01391
01b78765-1f49-471e-b0df-5dc6d6081c59	21881	86.76188	99.23112
01b99441-dbe9-42c6-bae1-968e71fd62c8	11056	93.46301	98.86990
