Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12236	89.49493	98.59889
0000c011-5eb7-4ae1-b07d-979043585ed0	37844	87.84657	99.14033
00043524-2823-4a9d-897d-645e89ecbeac	17556	92.67885	99.13602
00188118-bfca-4773-9fc3-af9530613015	40661	93.00417	99.28236
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12454	93.51676	99.34783
00254ba9-3830-4d82-9679-913618d2bc55	25676	94.68678	98.94325
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12391	92.75862	99.54951
002d791a-01da-40d9-9e55-1fe30eeadca4	35908	94.83423	99.34198
00483b1b-2f5b-443f-b0ef-42f867480292	23229	94.01544	98.48188
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39795	92.73110	99.18484
0067cd72-629a-4376-96a1-51830f650956	15679	91.19364	98.93820
007a1f18-c232-48a8-92b8-ddf560adcc80	25692	94.48097	99.22017
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23479	92.87811	98.28636
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18590	86.27451	96.99342
0088390d-488e-4eb5-aa01-a3285c66a711	19318	91.92435	98.07908
008b006b-136a-4541-92e4-55dadaa7300a	16525	90.81806	98.29239
008df9f1-1b37-46d4-a58a-9c4717e003bd	19065	86.47061	101.23350
009b303f-97fc-4f34-8e57-18b779104da4	22589	91.70311	98.63752
009ee966-34ea-4249-81d0-9bb1572924e6	27528	93.66959	98.25077
00a55e15-9575-42fa-9360-a1996b50fd94	24791	94.50506	98.81024
00aaba12-d10f-443c-99df-3aa23c61c034	10809	91.08423	97.84858
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18549	93.01923	98.07846
00b73132-e590-4ebe-a256-0e73d1c14e45	43611	92.06367	99.95633
00c59698-67e3-4a98-a95f-167e4f833272	14506	93.86486	99.07821
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23866	94.85987	99.16479
00c7fe69-1476-43e3-8b21-3b521c5103ba	14770	94.47742	99.28199
00cd6daa-7934-4318-81ff-24d6d2693af6	61899	91.17473	98.29049
00d19f54-4eb3-4f80-878f-3d42ac37db50	10869	92.85972	98.71489
00d84ccc-013d-4fae-bca9-b3ed09080509	81041	92.74086	98.07685
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48458	86.60057	95.80809
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16332	85.52924	95.63709
00df3c17-8d45-44c7-a91f-2b2eb924df76	12204	92.94543	99.80253
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10346	86.73594	99.67846
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13771	95.40831	99.12357
00f42108-fbc4-42a0-8710-18bd5eeb3218	20982	87.14658	98.49809
00f84c20-8b6a-4f80-af78-83628f0f323e	10318	91.66274	98.05919
00fbd6f6-6da9-4432-b23b-98320204c53f	17314	92.04800	98.73461
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10761	92.84865	99.65388
00fe9974-8f26-49b5-89f9-d94f590a97eb	15053	93.13528	98.67186
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15163	95.66745	98.94093
