Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12239	92.10694	98.66450
0000c011-5eb7-4ae1-b07d-979043585ed0	37886	91.05691	99.24312
00043524-2823-4a9d-897d-645e89ecbeac	17614	95.47648	99.43159
00188118-bfca-4773-9fc3-af9530613015	40585	95.58592	99.09866
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12509	96.17282	99.83897
00254ba9-3830-4d82-9679-913618d2bc55	25786	96.81766	99.36518
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12396	95.20286	99.53184
002d791a-01da-40d9-9e55-1fe30eeadca4	35969	97.26394	99.51970
00483b1b-2f5b-443f-b0ef-42f867480292	23410	96.76711	99.25992
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39858	95.37975	99.35987
0067cd72-629a-4376-96a1-51830f650956	15796	94.92332	99.65666
007a1f18-c232-48a8-92b8-ddf560adcc80	25751	97.18679	99.40640
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23698	95.89895	99.21462
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18739	89.03035	97.83945
0088390d-488e-4eb5-aa01-a3285c66a711	19477	94.29935	98.88929
008b006b-136a-4541-92e4-55dadaa7300a	16630	93.84407	98.90354
008df9f1-1b37-46d4-a58a-9c4717e003bd	18939	89.71941	99.67720
009b303f-97fc-4f34-8e57-18b779104da4	22694	94.51019	99.11512
009ee966-34ea-4249-81d0-9bb1572924e6	27760	96.34107	99.06093
00a55e15-9575-42fa-9360-a1996b50fd94	24959	96.87289	99.48689
00aaba12-d10f-443c-99df-3aa23c61c034	10875	93.82605	98.47140
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18637	95.21024	98.53090
00b73132-e590-4ebe-a256-0e73d1c14e45	43429	95.30283	99.54031
00c59698-67e3-4a98-a95f-167e4f833272	14582	96.76011	99.41520
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23898	97.25976	99.29425
00c7fe69-1476-43e3-8b21-3b521c5103ba	14824	96.32358	99.64777
00cd6daa-7934-4318-81ff-24d6d2693af6	62315	94.09281	98.97016
00d19f54-4eb3-4f80-878f-3d42ac37db50	10926	96.14859	99.20103
00d84ccc-013d-4fae-bca9-b3ed09080509	81821	95.85440	99.02449
00dbc7bf-e01e-4e31-89e9-21b6b5293665	49435	89.68375	97.74487
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16389	88.93874	95.97813
00df3c17-8d45-44c7-a91f-2b2eb924df76	12229	96.34077	100.01645
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10337	91.03442	99.53230
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13818	97.48885	99.42816
00f42108-fbc4-42a0-8710-18bd5eeb3218	21076	90.27375	98.96109
00f84c20-8b6a-4f80-af78-83628f0f323e	10459	95.07296	99.43313
00fbd6f6-6da9-4432-b23b-98320204c53f	17386	95.25908	99.16986
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10794	95.59690	99.97194
00fe9974-8f26-49b5-89f9-d94f590a97eb	15188	96.00967	99.55068
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15281	98.20109	99.71729
0100ab11-1984-42ad-b292-5a92faad7a53	10561	93.45846	98.31355
010144bb-a8e0-4899-9915-cfcf270598de	10745	91.07062	98.65790
0102f297-eab3-4544-bb01-364c6b897175	20546	81.27078	95.33007
010669ce-b63c-4cac-b3bc-c8aec4395802	11573	96.50464	99.05620
010faeb5-bc5b-4a37-b410-1adaba53d66c	17910	96.28995	99.41867
011fe71c-990a-4e0c-9fef-bf101953463a	29582	97.32864	99.80724
01319a62-293d-4622-aff3-77740d4de434	19691	97.38212	99.54222
01446621-97d3-481c-b3f7-abb8556bf691	15587	95.09785	98.69643
01471877-15ca-4ada-9068-393947147ac4	15176	97.41656	99.47167
014a2df3-df93-472c-8dd5-f7627f53ee6a	37743	96.76144	99.40324
0152323f-53e9-4368-a6b9-77a4e1863e56	41809	96.53299	99.34468
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55609	95.36860	99.47474
01585e45-90f7-4666-bbfe-2f31a25c89f2	14773	88.09803	99.17015
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17068	97.24739	99.48526
01663879-96e6-4420-ba5a-fe885d190257	32387	95.46984	99.16247
01678b94-6712-4f93-9bba-0bf633bbc795	11568	96.31975	99.05099
017597ab-e912-44f6-9c9e-c2c778724fd1	10302	90.00000	97.76692
017867f1-a084-4ece-8696-5af676ad0af8	83474	95.73280	99.44828
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10513	96.47694	99.21666
0184030b-4f00-4b65-add5-4846f31d0430	17566	95.84556	99.61738
018620fd-c65f-4724-b92e-ff97fd1305ad	14059	93.20145	98.98459
018edec2-d1ab-4a2f-8af9-82c30e491fba	10468	95.39088	98.94807
0197251e-9f62-47b6-84f1-b22ed11b1f82	10992	97.84205	99.68066
019c3eae-23df-4ffd-81f1-003245bd3509	16181	96.96356	99.49267
01a79b36-c99a-472e-af31-3fd19b0d843c	13417	96.90308	99.64034
01b26ce4-0ecf-4007-baff-f6f7a3200a80	20007	95.13524	98.99231
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22733	96.06419	99.75347
01b78765-1f49-471e-b0df-5dc6d6081c59	21978	91.37420	99.67702
01b99441-dbe9-42c6-bae1-968e71fd62c8	11170	97.00904	99.84631
01c98362-05b1-44c4-b6b1-a47090840324	23725	97.39345	99.62438
01ccbc4a-4923-422e-86e9-0d6ee8c7552c	14191	95.95846	98.97352
01d46f16-33e7-4fb4-99d5-7c62b8421d02	27334	96.00477	99.35025
01dbb43f-db2d-4c76-a36a-a443b2ad1bc4	25189	94.57261	99.42846
01dd72e9-4667-4592-b182-068ebf6d8d66	11461	95.24383	98.37716
01dd90f0-92bd-4326-9f4a-ad5cf79f73a7	14309	89.63619	97.58009
01e54c88-12b9-43ea-93d9-33b7c475512d	12838	96.61776	99.19041
01e8e834-78dc-492f-bf99-b79ef3aa775f	51630	96.77734	99.57079
01e95438-f7d8-4ad7-8f85-04f15156ad19	20488	89.62675	98.00221
01eae914-0049-4365-8974-fab3bf81b8a7	32435	96.33030	99.42564
01edce0c-1c05-4e05-80b5-de03e86b5c3b	23512	95.41526	98.90328
01ef9b21-a43d-4ee5-b01b-ce24f14b14ed	10223	95.44002	99.71524
01f38553-a1ca-4bfd-9137-4b4eca2ff6f9	26624	96.60652	99.46041
01f4bc42-5700-4390-ad77-d6c240c10d5a	15422	92.73800	98.65772
01f50abb-f94c-4aeb-aeca-44ce56e529d2	36647	97.37284	99.70522
01f91a38-1ccf-4789-9393-cd467f079dca	10294	96.53546	99.40731
0204c67f-0039-4c96-b7c2-5810336c67f4	35519	96.52965	99.32903
0207b101-2c01-40c2-b50a-c86e7b195a20	16867	95.35427	99.12669
020a6e61-5129-4be4-a7d3-87c93e4dae87	12602	95.87048	98.98926
020add4d-9ae8-453c-bba7-ce8296941899	23144	87.54898	97.45587
020e5e0c-332a-40e7-b494-c36487a36230	13015	95.81116	99.00944
020ef4c2-384d-4788-ba9d-42f6c585bf13	16493	94.93520	99.16098
0210abca-c83d-404b-9fa2-24842b52c33d	17553	96.35575	99.48225
