Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12225	90.51964	98.50236
0000c011-5eb7-4ae1-b07d-979043585ed0	37823	90.21817	99.06704
00043524-2823-4a9d-897d-645e89ecbeac	17597	94.24078	99.32928
00188118-bfca-4773-9fc3-af9530613015	40584	94.61940	99.09151
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12470	95.27515	99.51691
00254ba9-3830-4d82-9679-913618d2bc55	25777	96.13351	99.33034
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12331	94.37538	98.99302
002d791a-01da-40d9-9e55-1fe30eeadca4	35980	96.49687	99.56134
00483b1b-2f5b-443f-b0ef-42f867480292	23395	95.58595	99.18761
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39775	94.46130	99.15233
0067cd72-629a-4376-96a1-51830f650956	15772	93.52505	99.50407
007a1f18-c232-48a8-92b8-ddf560adcc80	25713	96.09162	99.28225
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23654	94.75408	99.03394
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18619	87.45713	97.21077
0088390d-488e-4eb5-aa01-a3285c66a711	19398	93.02617	98.49697
008b006b-136a-4541-92e4-55dadaa7300a	16594	92.57079	98.68185
008df9f1-1b37-46d4-a58a-9c4717e003bd	18931	89.07555	100.52719
009b303f-97fc-4f34-8e57-18b779104da4	22675	93.40196	99.03181
009ee966-34ea-4249-81d0-9bb1572924e6	27719	95.39023	98.90319
00a55e15-9575-42fa-9360-a1996b50fd94	24978	96.06708	99.56306
00aaba12-d10f-443c-99df-3aa23c61c034	10846	92.81599	98.24256
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18596	94.08272	98.31799
00b73132-e590-4ebe-a256-0e73d1c14e45	43319	94.37190	99.30123
00c59698-67e3-4a98-a95f-167e4f833272	14554	95.91281	99.26369
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23926	96.62076	99.39847
00c7fe69-1476-43e3-8b21-3b521c5103ba	14812	95.55184	99.56648
00cd6daa-7934-4318-81ff-24d6d2693af6	62156	92.81409	98.71546
00d19f54-4eb3-4f80-878f-3d42ac37db50	10940	95.06296	99.29319
00d84ccc-013d-4fae-bca9-b3ed09080509	81588	94.89451	98.74214
00dbc7bf-e01e-4e31-89e9-21b6b5293665	49029	87.86015	96.93298
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16303	87.75310	95.51324
00df3c17-8d45-44c7-a91f-2b2eb924df76	12227	95.33587	100.00000
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10253	89.72460	98.74306
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13826	96.85796	99.49385
00f42108-fbc4-42a0-8710-18bd5eeb3218	20983	88.62770	98.51219
00f84c20-8b6a-4f80-af78-83628f0f323e	10385	93.55967	98.71253
00fbd6f6-6da9-4432-b23b-98320204c53f	17345	93.66903	98.91784
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10760	95.02808	99.65388
00fe9974-8f26-49b5-89f9-d94f590a97eb	15186	94.84610	99.53747
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15255	97.26537	99.54635
0100ab11-1984-42ad-b292-5a92faad7a53	10537	91.96627	98.10627
010144bb-a8e0-4899-9915-cfcf270598de	10785	89.60338	99.01109
0102f297-eab3-4544-bb01-364c6b897175	20305	79.74855	94.24481
010669ce-b63c-4cac-b3bc-c8aec4395802	11541	95.78794	98.73593
010faeb5-bc5b-4a37-b410-1adaba53d66c	17854	95.37646	99.08329
011fe71c-990a-4e0c-9fef-bf101953463a	29560	96.56233	99.73622
01319a62-293d-4622-aff3-77740d4de434	19669	96.37619	99.42523
01446621-97d3-481c-b3f7-abb8556bf691	15553	93.88101	98.47386
01471877-15ca-4ada-9068-393947147ac4	15220	96.87336	99.76225
014a2df3-df93-472c-8dd5-f7627f53ee6a	37711	95.83780	99.29498
0152323f-53e9-4368-a6b9-77a4e1863e56	41776	95.35956	99.26365
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55485	94.65450	99.34422
01585e45-90f7-4666-bbfe-2f31a25c89f2	14704	87.04984	98.72487
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17054	96.48177	99.38582
01663879-96e6-4420-ba5a-fe885d190257	32318	94.26145	98.95079
01678b94-6712-4f93-9bba-0bf633bbc795	11533	94.83231	98.75476
017597ab-e912-44f6-9c9e-c2c778724fd1	10250	87.95777	97.35733
017867f1-a084-4ece-8696-5af676ad0af8	83342	94.60728	99.29309
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10492	95.62506	98.99694
0184030b-4f00-4b65-add5-4846f31d0430	17506	94.85894	99.31472
018620fd-c65f-4724-b92e-ff97fd1305ad	13933	91.82749	98.02599
018edec2-d1ab-4a2f-8af9-82c30e491fba	10414	94.18044	98.49861
0197251e-9f62-47b6-84f1-b22ed11b1f82	10977	97.20311	99.54375
019c3eae-23df-4ffd-81f1-003245bd3509	16118	95.83384	99.10908
01a79b36-c99a-472e-af31-3fd19b0d843c	13390	96.39994	99.43054
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19942	93.72276	98.65972
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22669	95.06419	99.48937
01b78765-1f49-471e-b0df-5dc6d6081c59	21942	89.71938	99.48994
01b99441-dbe9-42c6-bae1-968e71fd62c8	11123	96.35925	99.45755
01c98362-05b1-44c4-b6b1-a47090840324	23698	96.59642	99.50620
01ccbc4a-4923-422e-86e9-0d6ee8c7552c	14099	94.52649	98.57749
01d46f16-33e7-4fb4-99d5-7c62b8421d02	27349	95.13074	99.40135
01dbb43f-db2d-4c76-a36a-a443b2ad1bc4	25160	93.52476	99.32944
01dd72e9-4667-4592-b182-068ebf6d8d66	11412	94.46355	97.99531
01dd90f0-92bd-4326-9f4a-ad5cf79f73a7	14301	88.30527	97.51134
01e54c88-12b9-43ea-93d9-33b7c475512d	12805	95.35170	98.93352
01e8e834-78dc-492f-bf99-b79ef3aa775f	51530	96.06745	99.37940
01e95438-f7d8-4ad7-8f85-04f15156ad19	20416	87.88643	97.66604
01eae914-0049-4365-8974-fab3bf81b8a7	32413	95.51401	99.35189
01edce0c-1c05-4e05-80b5-de03e86b5c3b	23439	94.23261	98.59922
01ef9b21-a43d-4ee5-b01b-ce24f14b14ed	10226	94.77244	99.73488
01f38553-a1ca-4bfd-9137-4b4eca2ff6f9	26546	95.30475	99.16813
01f4bc42-5700-4390-ad77-d6c240c10d5a	15377	91.42749	98.36732
01f50abb-f94c-4aeb-aeca-44ce56e529d2	36664	96.62193	99.74344
01f91a38-1ccf-4789-9393-cd467f079dca	10239	95.68228	98.84376
0204c67f-0039-4c96-b7c2-5810336c67f4	35442	95.38402	99.13251
0207b101-2c01-40c2-b50a-c86e7b195a20	16842	94.22965	98.97917
020a6e61-5129-4be4-a7d3-87c93e4dae87	12626	94.81764	99.17088
020add4d-9ae8-453c-bba7-ce8296941899	22997	86.30425	96.84206
020e5e0c-332a-40e7-b494-c36487a36230	13005	94.62879	98.92498
020ef4c2-384d-4788-ba9d-42f6c585bf13	16469	93.92521	99.02215
0210abca-c83d-404b-9fa2-24842b52c33d	17564	95.34923	99.53345
02187b6c-11d1-472a-89d7-0cc99728dffe	13694	92.86480	98.36137
0219c735-d8fd-414f-b415-ad18299a7775	14443	95.19606	99.79840
