Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12264	92.18875	98.85993
0000c011-5eb7-4ae1-b07d-979043585ed0	37881	91.26560	99.23241
00043524-2823-4a9d-897d-645e89ecbeac	17633	95.61605	99.55664
00188118-bfca-4773-9fc3-af9530613015	40617	95.64722	99.17704
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12509	96.20434	99.83897
00254ba9-3830-4d82-9679-913618d2bc55	25808	97.04990	99.44647
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12394	95.41181	99.55834
002d791a-01da-40d9-9e55-1fe30eeadca4	35992	97.37719	99.58355
00483b1b-2f5b-443f-b0ef-42f867480292	23415	96.63812	99.28119
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39875	95.57352	99.38494
0067cd72-629a-4376-96a1-51830f650956	15808	95.19664	99.72660
007a1f18-c232-48a8-92b8-ddf560adcc80	25757	97.28135	99.44132
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23741	95.98871	99.39104
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18754	89.11968	97.83919
0088390d-488e-4eb5-aa01-a3285c66a711	19485	94.56757	98.93005
008b006b-136a-4541-92e4-55dadaa7300a	16644	94.13919	98.98143
008df9f1-1b37-46d4-a58a-9c4717e003bd	18950	89.54812	99.73012
009b303f-97fc-4f34-8e57-18b779104da4	22742	94.53745	99.32539
009ee966-34ea-4249-81d0-9bb1572924e6	27812	96.58788	99.23667
00a55e15-9575-42fa-9360-a1996b50fd94	24981	96.98451	99.57524
00aaba12-d10f-443c-99df-3aa23c61c034	10869	94.09907	98.43478
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18665	95.18567	98.67994
00b73132-e590-4ebe-a256-0e73d1c14e45	43468	95.46763	99.62995
00c59698-67e3-4a98-a95f-167e4f833272	14577	96.69647	99.38034
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23925	97.32654	99.40700
00c7fe69-1476-43e3-8b21-3b521c5103ba	14824	96.49605	99.64777
00cd6daa-7934-4318-81ff-24d6d2693af6	62350	94.08857	99.02903
00d19f54-4eb3-4f80-878f-3d42ac37db50	10944	96.33103	99.36633
00d84ccc-013d-4fae-bca9-b3ed09080509	81825	95.97309	99.03055
00dbc7bf-e01e-4e31-89e9-21b6b5293665	49586	89.89649	98.04186
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16392	89.01618	95.98989
00df3c17-8d45-44c7-a91f-2b2eb924df76	12223	96.32514	99.96711
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10325	91.42530	99.41538
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13826	97.65569	99.48662
00f42108-fbc4-42a0-8710-18bd5eeb3218	21048	90.57082	98.82886
00f84c20-8b6a-4f80-af78-83628f0f323e	10469	95.08430	99.52921
00fbd6f6-6da9-4432-b23b-98320204c53f	17393	95.35252	99.20994
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10782	95.61250	99.85968
00fe9974-8f26-49b5-89f9-d94f590a97eb	15174	96.19483	99.45157
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15281	98.35733	99.71072
0100ab11-1984-42ad-b292-5a92faad7a53	10572	93.49986	98.42661
010144bb-a8e0-4899-9915-cfcf270598de	10780	91.03074	98.98336
0102f297-eab3-4544-bb01-364c6b897175	20542	81.26713	95.34189
010669ce-b63c-4cac-b3bc-c8aec4395802	11583	96.88064	99.12547
010faeb5-bc5b-4a37-b410-1adaba53d66c	17911	96.13067	99.42426
011fe71c-990a-4e0c-9fef-bf101953463a	29586	97.59517	99.82076
01319a62-293d-4622-aff3-77740d4de434	19678	97.45249	99.46617
01446621-97d3-481c-b3f7-abb8556bf691	15600	95.46571	98.76637
01471877-15ca-4ada-9068-393947147ac4	15189	97.63170	99.52450
014a2df3-df93-472c-8dd5-f7627f53ee6a	37776	96.92058	99.49830
