Assembly	num_contigs	total_length	identity
lossless_flye	1	2897407	99.80378%
lossless_rebaler	1	2897350	99.782885%
lossless_medaka	1	2901332	99.91903%
LFZip_maxerror_1_flye	1	2897399	99.79735500000001%
LFZip_maxerror_1_rebaler	1	2897389	99.78738%
LFZip_maxerror_1_medaka	1	2901283	99.92004%
SZ_maxerror_1_flye	1	2897379	99.796855%
SZ_maxerror_1_rebaler	1	2897355	99.78039%
SZ_maxerror_1_medaka	1	2901329	99.91804%
LFZip_maxerror_2_flye	1	2897398	99.79785%
LFZip_maxerror_2_rebaler	1	2897399	99.779405%
LFZip_maxerror_2_medaka	1	2901326	99.91204%
SZ_maxerror_2_flye	1	2897389	99.796345%
SZ_maxerror_2_rebaler	1	2897316	99.78092%
SZ_maxerror_2_medaka	1	2901329	99.91804%
LFZip_maxerror_3_flye	1	2897375	99.79929%
LFZip_maxerror_3_rebaler	1	2897345	99.780935%
LFZip_maxerror_3_medaka	1	2901410	99.91805%
SZ_maxerror_3_flye	1	2897359	99.793875%
SZ_maxerror_3_rebaler	1	2897484	99.784885%
SZ_maxerror_3_medaka	1	2901419	99.91704%
LFZip_maxerror_4_flye	1	2897441	99.792855%
LFZip_maxerror_4_rebaler	1	2897448	99.778915%
LFZip_maxerror_4_medaka	1	2901430	99.91804%
SZ_maxerror_4_flye	1	2897380	99.794865%
SZ_maxerror_4_rebaler	1	2897363	99.7794%
SZ_maxerror_4_medaka	1	2901412	99.91105%
LFZip_maxerror_5_flye	1	2897444	99.79535%
LFZip_maxerror_5_rebaler	1	2897422	99.77990500000001%
LFZip_maxerror_5_medaka	1	2901443	99.91304%
SZ_maxerror_5_flye	1	2897388	99.79783%
SZ_maxerror_5_rebaler	1	2897476	99.77691%
SZ_maxerror_5_medaka	1	2901446	99.91404%
LFZip_maxerror_6_flye	1	2897394	99.794365%
LFZip_maxerror_6_rebaler	1	2897487	99.767435%
LFZip_maxerror_6_medaka	1	2901520	99.90806%
SZ_maxerror_6_flye	1	2897369	99.79485%
SZ_maxerror_6_rebaler	1	2897444	99.77840499999999%
SZ_maxerror_6_medaka	1	2901502	99.91104%
LFZip_maxerror_7_flye	1	2897324	99.7938%
LFZip_maxerror_7_rebaler	1	2897556	99.773435%
LFZip_maxerror_7_medaka	1	2901579	99.91005%
SZ_maxerror_7_flye	1	2897385	99.78738%
SZ_maxerror_7_rebaler	1	2897587	99.775925%
SZ_maxerror_7_medaka	1	2901606	99.90704%
LFZip_maxerror_8_flye	1	2897331	99.79187999999999%
LFZip_maxerror_8_rebaler	1	2897614	99.76344%
LFZip_maxerror_8_medaka	1	2901721	99.90004%
SZ_maxerror_8_flye	1	2897323	99.78483%
SZ_maxerror_8_rebaler	1	2897538	99.76692%
SZ_maxerror_8_medaka	1	2901702	99.90705%
LFZip_maxerror_9_flye	1	2897365	99.78241%
LFZip_maxerror_9_rebaler	1	2897700	99.76196%
LFZip_maxerror_9_medaka	1	2901764	99.89905%
SZ_maxerror_9_flye	1	2897291	99.78234%
SZ_maxerror_9_rebaler	1	2897658	99.753495%
SZ_maxerror_9_medaka	1	2901802	99.90105%
LFZip_maxerror_10_flye	1	2897228	99.775395%
LFZip_maxerror_10_rebaler	1	2897584	99.748005%
LFZip_maxerror_10_medaka	1	2901870	99.89305%
SZ_maxerror_10_flye	1	2897318	99.74998500000001%
SZ_maxerror_10_rebaler	1	2898067	99.71509%
SZ_maxerror_10_medaka	1	2902452	99.86306%
