Assembly	num_contigs	total_length	identity
lossless_flye	1	2897704	99.825785%
lossless_rebaler	1	2898411	99.847185%
lossless_medaka	1	2901740	99.97401%
LFZip_maxerror_1_flye	1	2897683	99.82977%
LFZip_maxerror_1_rebaler	1	2898431	99.84821500000001%
LFZip_maxerror_1_medaka	1	2901686	99.974%
SZ_maxerror_1_flye	1	2897682	99.825275%
SZ_maxerror_1_rebaler	1	2898411	99.84671%
SZ_maxerror_1_medaka	1	2901777	99.975%
LFZip_maxerror_2_flye	1	2897701	99.822785%
LFZip_maxerror_2_rebaler	1	2898447	99.84815499999999%
LFZip_maxerror_2_medaka	1	2901792	99.976%
SZ_maxerror_2_flye	1	2897675	99.830715%
SZ_maxerror_2_rebaler	1	2898470	99.85267999999999%
SZ_maxerror_2_medaka	1	2901724	99.973%
LFZip_maxerror_3_flye	1	2897633	99.825275%
LFZip_maxerror_3_rebaler	1	2898465	99.848705%
LFZip_maxerror_3_medaka	1	2901754	99.97401%
SZ_maxerror_3_flye	1	2897648	99.824285%
SZ_maxerror_3_rebaler	1	2898436	99.84521000000001%
SZ_maxerror_3_medaka	1	2901770	99.973%
LFZip_maxerror_4_flye	1	2897651	99.824295%
LFZip_maxerror_4_rebaler	1	2898493	99.84919500000001%
LFZip_maxerror_4_medaka	1	2901760	99.974%
SZ_maxerror_4_flye	1	2897642	99.82728%
SZ_maxerror_4_rebaler	1	2898506	99.84921%
SZ_maxerror_4_medaka	1	2901804	99.975%
LFZip_maxerror_5_flye	1	2897659	99.82876999999999%
LFZip_maxerror_5_rebaler	1	2898545	99.848195%
LFZip_maxerror_5_medaka	1	2901802	99.975%
SZ_maxerror_5_flye	1	2897616	99.82677000000001%
SZ_maxerror_5_rebaler	1	2898500	99.84819999999999%
SZ_maxerror_5_medaka	1	2901816	99.976%
LFZip_maxerror_6_flye	1	2897666	99.82722%
LFZip_maxerror_6_rebaler	1	2898550	99.85068%
LFZip_maxerror_6_medaka	1	2901827	99.974%
SZ_maxerror_6_flye	1	2897645	99.82428999999999%
SZ_maxerror_6_rebaler	1	2898588	99.847195%
SZ_maxerror_6_medaka	1	2901856	99.977%
LFZip_maxerror_7_flye	1	2897648	99.82477%
LFZip_maxerror_7_rebaler	1	2898624	99.84570500000001%
LFZip_maxerror_7_medaka	1	2901861	99.974%
SZ_maxerror_7_flye	1	2897574	99.82329%
SZ_maxerror_7_rebaler	1	2898613	99.84671%
SZ_maxerror_7_medaka	1	2901834	99.977%
LFZip_maxerror_8_flye	1	2897619	99.82024000000001%
LFZip_maxerror_8_rebaler	1	2898754	99.849675%
LFZip_maxerror_8_medaka	1	2901892	99.973%
SZ_maxerror_8_flye	1	2897571	99.82278%
SZ_maxerror_8_rebaler	1	2898761	99.85319%
SZ_maxerror_8_medaka	1	2901889	99.974%
LFZip_maxerror_9_flye	1	2897560	99.82028%
LFZip_maxerror_9_rebaler	1	2898832	99.845685%
LFZip_maxerror_9_medaka	1	2901964	99.977%
SZ_maxerror_9_flye	1	2897570	99.82229000000001%
SZ_maxerror_9_rebaler	1	2898822	99.84717%
SZ_maxerror_9_medaka	1	2901924	99.974%
LFZip_maxerror_10_flye	1	2897546	99.82227%
LFZip_maxerror_10_rebaler	1	2899020	99.844695%
LFZip_maxerror_10_medaka	1	2902027	99.972%
SZ_maxerror_10_flye	1	2897395	99.808815%
SZ_maxerror_10_rebaler	1	2899327	99.836205%
SZ_maxerror_10_medaka	1	2902127	99.965%
