Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12385	88.34053	99.74747
0000c011-5eb7-4ae1-b07d-979043585ed0	37834	86.47183	99.10618
00043524-2823-4a9d-897d-645e89ecbeac	17660	92.02417	99.87495
00188118-bfca-4773-9fc3-af9530613015	41016	92.09274	100.23269
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12447	93.52955	99.54911
00254ba9-3830-4d82-9679-913618d2bc55	25668	93.95914	99.03228
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12411	91.75452	99.96466
002d791a-01da-40d9-9e55-1fe30eeadca4	36057	94.64072	99.83897
00483b1b-2f5b-443f-b0ef-42f867480292	23284	94.25470	98.83484
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39941	91.65773	99.62246
0067cd72-629a-4376-96a1-51830f650956	15817	90.72954	99.82185
007a1f18-c232-48a8-92b8-ddf560adcc80	25761	93.95579	99.59263
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23400	92.00694	98.08040
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18613	85.56570	97.22985
0088390d-488e-4eb5-aa01-a3285c66a711	19338	91.21773	98.24615
008b006b-136a-4541-92e4-55dadaa7300a	16520	90.35622	98.26045
008df9f1-1b37-46d4-a58a-9c4717e003bd	19411	85.08551	103.14283
009b303f-97fc-4f34-8e57-18b779104da4	22585	91.03947	98.76008
009ee966-34ea-4249-81d0-9bb1572924e6	27666	93.54600	98.82783
00a55e15-9575-42fa-9360-a1996b50fd94	24836	93.98407	99.14242
00aaba12-d10f-443c-99df-3aa23c61c034	10732	90.15674	97.33468
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18543	92.31131	98.21552
00b73132-e590-4ebe-a256-0e73d1c14e45	44009	91.36449	100.94012
00c59698-67e3-4a98-a95f-167e4f833272	14455	93.06202	98.80993
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23923	94.66787	99.48619
00c7fe69-1476-43e3-8b21-3b521c5103ba	14806	93.99920	99.66809
00cd6daa-7934-4318-81ff-24d6d2693af6	61992	90.44218	98.46881
00d19f54-4eb3-4f80-878f-3d42ac37db50	10863	92.74317	98.84340
00d84ccc-013d-4fae-bca9-b3ed09080509	81531	92.69157	98.70578
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48267	85.32831	95.43384
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16441	85.68340	96.43676
00df3c17-8d45-44c7-a91f-2b2eb924df76	12191	92.32866	99.80253
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10378	86.15026	100.06821
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13804	94.97255	99.35647
00f42108-fbc4-42a0-8710-18bd5eeb3218	21308	86.46756	100.17947
00f84c20-8b6a-4f80-af78-83628f0f323e	10337	91.50358	98.48194
00fbd6f6-6da9-4432-b23b-98320204c53f	17440	91.63600	99.61638
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10811	92.66047	100.42170
00fe9974-8f26-49b5-89f9-d94f590a97eb	15061	92.69415	98.85688
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15185	95.57649	99.26974
0100ab11-1984-42ad-b292-5a92faad7a53	10511	89.87225	98.13454
010144bb-a8e0-4899-9915-cfcf270598de	10850	88.04639	99.65804
0102f297-eab3-4544-bb01-364c6b897175	20764	77.37843	96.33190
010669ce-b63c-4cac-b3bc-c8aec4395802	11407	92.43519	98.33752
010faeb5-bc5b-4a37-b410-1adaba53d66c	17823	92.59705	99.02739
011fe71c-990a-4e0c-9fef-bf101953463a	29700	93.46023	100.22663
01319a62-293d-4622-aff3-77740d4de434	19589	94.80155	99.17128
01446621-97d3-481c-b3f7-abb8556bf691	15357	90.99150	97.31655
01471877-15ca-4ada-9068-393947147ac4	15206	95.49831	99.81508
014a2df3-df93-472c-8dd5-f7627f53ee6a	37707	93.52496	99.26327
0152323f-53e9-4368-a6b9-77a4e1863e56	41667	92.92474	99.05368
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55306	92.84648	99.20117
01585e45-90f7-4666-bbfe-2f31a25c89f2	14692	84.52458	98.88761
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17150	94.55798	99.95901
01663879-96e6-4420-ba5a-fe885d190257	32190	92.44442	98.54877
01678b94-6712-4f93-9bba-0bf633bbc795	11498	92.69368	98.45703
017597ab-e912-44f6-9c9e-c2c778724fd1	10310	85.88844	98.22814
017867f1-a084-4ece-8696-5af676ad0af8	83550	92.77199	99.54519
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10463	92.43091	98.80554
0184030b-4f00-4b65-add5-4846f31d0430	17477	93.34454	99.27474
018620fd-c65f-4724-b92e-ff97fd1305ad	13919	89.43613	98.01692
018edec2-d1ab-4a2f-8af9-82c30e491fba	10361	92.04354	98.21172
0197251e-9f62-47b6-84f1-b22ed11b1f82	10949	95.56916	99.47988
019c3eae-23df-4ffd-81f1-003245bd3509	16055	94.35366	98.91728
01a79b36-c99a-472e-af31-3fd19b0d843c	13424	94.00793	99.86513
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19836	91.65203	98.14852
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22661	93.33937	99.55092
01b78765-1f49-471e-b0df-5dc6d6081c59	22397	86.02887	101.61069
01b99441-dbe9-42c6-bae1-968e71fd62c8	11074	94.17363	99.26770
01c98362-05b1-44c4-b6b1-a47090840324	23678	94.52418	99.54419
01ccbc4a-4923-422e-86e9-0d6ee8c7552c	14048	92.50296	98.08768
01d46f16-33e7-4fb4-99d5-7c62b8421d02	27250	93.14632	99.13123
01dbb43f-db2d-4c76-a36a-a443b2ad1bc4	25094	91.63079	99.11877
01dd72e9-4667-4592-b182-068ebf6d8d66	11316	92.58214	97.38806
01dd90f0-92bd-4326-9f4a-ad5cf79f73a7	14474	85.18640	98.89301
01e54c88-12b9-43ea-93d9-33b7c475512d	12777	94.05227	98.72334
01e8e834-78dc-492f-bf99-b79ef3aa775f	51381	93.66041	99.08551
01e95438-f7d8-4ad7-8f85-04f15156ad19	20351	85.58788	97.45942
01eae914-0049-4365-8974-fab3bf81b8a7	32563	92.89678	99.87094
01edce0c-1c05-4e05-80b5-de03e86b5c3b	23509	92.11048	99.00844
01ef9b21-a43d-4ee5-b01b-ce24f14b14ed	10213	92.82838	99.89199
01f38553-a1ca-4bfd-9137-4b4eca2ff6f9	26512	93.59879	99.16895
01f4bc42-5700-4390-ad77-d6c240c10d5a	15244	89.62930	97.66391
01f50abb-f94c-4aeb-aeca-44ce56e529d2	36821	94.69064	100.25384
01f91a38-1ccf-4789-9393-cd467f079dca	10148	93.61865	98.28694
0204c67f-0039-4c96-b7c2-5810336c67f4	35238	93.55613	98.62502
0207b101-2c01-40c2-b50a-c86e7b195a20	16832	92.35886	99.07954
020a6e61-5129-4be4-a7d3-87c93e4dae87	12603	93.36644	99.00498
020add4d-9ae8-453c-bba7-ce8296941899	23155	84.00571	97.47661
020e5e0c-332a-40e7-b494-c36487a36230	12892	92.60909	98.25693
020ef4c2-384d-4788-ba9d-42f6c585bf13	16465	92.09456	98.99801
0210abca-c83d-404b-9fa2-24842b52c33d	17475	93.74301	99.03846
02187b6c-11d1-472a-89d7-0cc99728dffe	13781	89.14909	99.20997
0219c735-d8fd-414f-b415-ad18299a7775	14508	86.99459	100.21577
0220c3cf-90a6-4c1b-b089-c85242f5586c	15643	91.75585	99.36004
