Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12418	88.64598	99.99185
0000c011-5eb7-4ae1-b07d-979043585ed0	37859	87.03055	99.18505
00043524-2823-4a9d-897d-645e89ecbeac	17653	92.78889	99.78401
00188118-bfca-4773-9fc3-af9530613015	41012	92.74799	100.21059
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12439	94.13253	99.48470
00254ba9-3830-4d82-9679-913618d2bc55	25691	94.83437	99.11357
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12425	92.02749	100.00884
002d791a-01da-40d9-9e55-1fe30eeadca4	35982	95.23380	99.62518
00483b1b-2f5b-443f-b0ef-42f867480292	23274	94.88202	98.79656
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39998	92.04185	99.77498
0067cd72-629a-4376-96a1-51830f650956	15820	91.43388	99.85365
007a1f18-c232-48a8-92b8-ddf560adcc80	25768	94.31645	99.61203
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23420	93.06234	98.14791
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18639	86.18676	97.18259
0088390d-488e-4eb5-aa01-a3285c66a711	19413	91.86366	98.61302
008b006b-136a-4541-92e4-55dadaa7300a	16517	91.03384	98.23847
008df9f1-1b37-46d4-a58a-9c4717e003bd	19471	85.99408	103.40652
009b303f-97fc-4f34-8e57-18b779104da4	22591	91.62167	98.77333
009ee966-34ea-4249-81d0-9bb1572924e6	27628	94.30955	98.68803
00a55e15-9575-42fa-9360-a1996b50fd94	24908	94.87058	99.45081
00aaba12-d10f-443c-99df-3aa23c61c034	10785	91.14060	97.72998
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18535	92.88036	98.14766
00b73132-e590-4ebe-a256-0e73d1c14e45	44118	91.90161	101.19059
00c59698-67e3-4a98-a95f-167e4f833272	14481	93.78596	98.94063
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23914	94.90815	99.44041
00c7fe69-1476-43e3-8b21-3b521c5103ba	14814	94.56022	99.74260
00cd6daa-7934-4318-81ff-24d6d2693af6	62037	91.19320	98.53084
00d19f54-4eb3-4f80-878f-3d42ac37db50	10861	93.76471	98.83422
00d84ccc-013d-4fae-bca9-b3ed09080509	81645	93.50564	98.84514
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48347	86.10123	95.59828
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16408	86.05964	96.22108
00df3c17-8d45-44c7-a91f-2b2eb924df76	12176	93.15388	99.67912
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10494	86.34210	101.14280
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13760	95.45552	99.09532
00f42108-fbc4-42a0-8710-18bd5eeb3218	21315	87.07049	100.19360
00f84c20-8b6a-4f80-af78-83628f0f323e	10343	92.00866	98.54919
00fbd6f6-6da9-4432-b23b-98320204c53f	17455	92.28536	99.70226
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10855	93.86935	100.78718
00fe9974-8f26-49b5-89f9-d94f590a97eb	15120	93.37873	99.21369
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15180	96.10956	99.24382
0100ab11-1984-42ad-b292-5a92faad7a53	10511	90.71547	98.12512
010144bb-a8e0-4899-9915-cfcf270598de	10926	88.42218	100.32348
0102f297-eab3-4544-bb01-364c6b897175	20801	78.45015	96.51695
010669ce-b63c-4cac-b3bc-c8aec4395802	11404	92.30377	98.29408
010faeb5-bc5b-4a37-b410-1adaba53d66c	17807	93.28866	98.94354
011fe71c-990a-4e0c-9fef-bf101953463a	29649	94.05800	100.11162
01319a62-293d-4622-aff3-77740d4de434	19619	95.25364	99.32381
01446621-97d3-481c-b3f7-abb8556bf691	15404	92.11795	97.57726
01471877-15ca-4ada-9068-393947147ac4	15171	95.71429	99.57073
014a2df3-df93-472c-8dd5-f7627f53ee6a	37690	94.32510	99.21046
0152323f-53e9-4368-a6b9-77a4e1863e56	41663	93.56538	99.03965
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55437	93.40431	99.40535
01585e45-90f7-4666-bbfe-2f31a25c89f2	14785	84.83295	99.52417
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17136	94.92762	99.86548
01663879-96e6-4420-ba5a-fe885d190257	32256	93.21252	98.75433
01678b94-6712-4f93-9bba-0bf633bbc795	11463	93.57399	98.19345
017597ab-e912-44f6-9c9e-c2c778724fd1	10311	86.99601	98.16286
017867f1-a084-4ece-8696-5af676ad0af8	83505	93.43633	99.52814
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10461	92.69710	98.80554
0184030b-4f00-4b65-add5-4846f31d0430	17542	93.78256	99.65165
018620fd-c65f-4724-b92e-ff97fd1305ad	13920	90.36111	98.04493
018edec2-d1ab-4a2f-8af9-82c30e491fba	10371	92.74231	98.30735
0197251e-9f62-47b6-84f1-b22ed11b1f82	10940	95.96789	99.42513
019c3eae-23df-4ffd-81f1-003245bd3509	16072	95.03208	99.02246
01a79b36-c99a-472e-af31-3fd19b0d843c	13394	94.85478	99.65533
01b26ce4-0ecf-4007-baff-f6f7a3200a80	19840	92.45145	98.17261
01b6b33f-76f6-4e1d-9204-3f2e848a99df	22678	93.97642	99.64334
01b78765-1f49-471e-b0df-5dc6d6081c59	22312	86.75534	101.17593
01b99441-dbe9-42c6-bae1-968e71fd62c8	11076	94.67735	99.28578
01c98362-05b1-44c4-b6b1-a47090840324	23640	95.29877	99.37959
01ccbc4a-4923-422e-86e9-0d6ee8c7552c	14082	93.19609	98.36391
01d46f16-33e7-4fb4-99d5-7c62b8421d02	27252	93.90261	99.13488
01dbb43f-db2d-4c76-a36a-a443b2ad1bc4	25146	92.45642	99.33331
01dd72e9-4667-4592-b182-068ebf6d8d66	11306	93.30817	97.30128
01dd90f0-92bd-4326-9f4a-ad5cf79f73a7	14474	86.39681	98.90883
01e54c88-12b9-43ea-93d9-33b7c475512d	12768	94.46194	98.68442
01e8e834-78dc-492f-bf99-b79ef3aa775f	51341	94.20494	99.02365
01e95438-f7d8-4ad7-8f85-04f15156ad19	20458	86.55976	97.97820
01eae914-0049-4365-8974-fab3bf81b8a7	32546	93.77406	99.81562
01edce0c-1c05-4e05-80b5-de03e86b5c3b	23553	92.84268	99.19831
01ef9b21-a43d-4ee5-b01b-ce24f14b14ed	10217	93.75180	99.93126
01f38553-a1ca-4bfd-9137-4b4eca2ff6f9	26524	94.14952	99.20180
01f4bc42-5700-4390-ad77-d6c240c10d5a	15226	90.37927	97.54775
01f50abb-f94c-4aeb-aeca-44ce56e529d2	36742	95.38763	100.04094
01f91a38-1ccf-4789-9393-cd467f079dca	10154	94.23706	98.29667
0204c67f-0039-4c96-b7c2-5810336c67f4	35235	94.45076	98.61875
0207b101-2c01-40c2-b50a-c86e7b195a20	16833	93.19882	99.08544
020a6e61-5129-4be4-a7d3-87c93e4dae87	12590	93.88358	98.86265
020add4d-9ae8-453c-bba7-ce8296941899	23245	84.77072	97.84109
020e5e0c-332a-40e7-b494-c36487a36230	12887	93.48732	98.24157
020ef4c2-384d-4788-ba9d-42f6c585bf13	16490	92.65374	99.11873
0210abca-c83d-404b-9fa2-24842b52c33d	17488	94.21677	99.09536
02187b6c-11d1-472a-89d7-0cc99728dffe	13728	90.28151	98.83274
0219c735-d8fd-414f-b415-ad18299a7775	14524	87.43221	100.27805
0220c3cf-90a6-4c1b-b089-c85242f5586c	15708	92.11507	99.78241
0221cde5-7d62-4f90-967e-f0a725e0fcdb	12180	92.51268	100.24771
0225dbe5-bbd5-4a44-a928-8391e2ea3a5e	10988	95.45618	99.79945
02261521-eee2-417f-bec2-346f1b6a7665	12762	93.43689	101.54983
022723c1-25ef-4aff-aa61-b9072e9af31f	18887	94.24293	98.65511
0227824e-c667-40ab-945e-e2ebdb296955	41704	80.01066	95.94251
02285f3a-2523-4525-9236-edc6642f2add	15708	93.59499	98.57188
022b8e44-d6e0-4b34-8988-f0058e7d95cd	10965	94.15798	98.52066
022db79b-d4d9-494e-b599-2591d6c7b5db	11279	93.96627	98.58969
023355a4-95e6-4490-8920-cf496dd3212b	43340	93.28045	98.85706
0233dd80-9028-44f7-9342-b8f216bcb1c2	21539	92.76638	99.30990
0237e83f-78b5-416b-8098-5513618f8387	15429	95.94188	99.37152
023a36e8-32d3-4c8b-b902-402623f13dbc	23943	91.25454	98.68829
023fa394-e910-4336-9be5-8a0363c8225d	29408	94.67613	99.08068
0248d7be-dbf4-4b29-a16a-17e6b2c4f867	10327	90.48654	99.32012
024d842e-8a5c-428d-bcce-9c7a931dd3a2	10609	96.13151	99.57277
024e3376-2982-40d4-8e35-4ef18b4ccc7a	13850	90.30526	100.35746
0264e216-3aef-4221-bfe0-69c2c39ac588	26508	94.62235	98.26274
02671a4a-71de-4fc5-b8b5-0e4c171e4d08	12376	95.24831	99.25157
026c8b4d-c109-484a-8473-ab75ca1633f1	26411	94.68298	99.04421
026fb8a4-7352-45dd-b47e-5b3b89bb464e	11027	95.52225	99.08853
027349ab-3aa4-4ce4-8b80-b0cd04c3cc40	31180	94.02929	98.42014
0277952a-132a-4a1c-88ad-e413942c63b8	12596	91.35002	98.53474
02791f6a-14e8-4097-b965-0b9cfdca3b23	17006	91.83556	99.64056
0284a7a7-c41d-437a-a063-5cbb4b3f1577	28758	94.54775	98.98481
0287f6b2-9af5-4e1c-a4f4-930659f9124f	19691	95.55678	99.59860
028fc128-a996-4473-a3c3-6bbad9b0e6a1	14729	95.68228	99.14178
029c8603-7677-48f2-a91f-8862cc63cbb1	17625	92.87372	99.07000
02a9fff3-39b6-428b-8f70-f8d073dd3330	46863	92.41031	98.72409
02c7eee5-46d7-4bc2-b524-dc2e4453fe72	21797	93.46590	98.83763
02c8af4c-96b0-4118-a426-8e0142e83482	22349	93.97786	100.14813
02c9cc61-4b4a-442a-9961-0445d70c5849	12439	93.28499	98.85398
02cf652d-5878-445a-a1bc-ab9b670e1791	12037	93.19166	99.21660
02d1a765-b79a-4ab7-be1b-a393bfdabe98	95452	85.21045	99.88999
02d2ba10-36f4-4b7c-b556-ddb55e62ce5a	19815	95.16531	99.90884
02d311ce-85aa-4da4-86a2-ac89afbadded	24553	92.08888	98.00393
02e038c5-8591-45d9-937e-62ad086e7d8c	41976	88.70916	98.87083
02eeb37f-bb40-494c-ad59-afe8505e78a6	20773	89.71898	98.46022
02f1a5f0-a0ae-4222-a80f-39a678b32d92	15733	89.82614	98.51179
02f6f561-c459-44cc-926a-1d69d3f763e9	10283	95.16052	98.68243
02f828ce-6c6e-4468-b042-467b6914cfbf	12762	94.36752	101.40317
0304c0fe-db54-434a-bc2b-43c16dffa3de	15907	83.22565	99.30233
0307c782-0f93-422f-bb00-1749a6b47e24	14499	93.69802	99.05024
03093ca5-737c-4da5-be59-35281b1a0caf	13197	94.41780	100.33693
0323970f-4450-4c89-a3f0-a9315548c72c	20335	93.24058	99.07298
0326b90f-cdf0-47f0-b694-b9b9c692f532	10765	94.44239	100.68014
032f6eb4-65c9-414c-9cdb-2023f1d47d22	29226	95.62838	99.20457
032fb442-3719-4a78-b6f9-654539752198	35659	95.60470	99.74761
03475dfb-2894-40bc-9263-716adcc0ea6c	22867	90.19444	96.95010
