Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12411	88.83838	99.91859
0000c011-5eb7-4ae1-b07d-979043585ed0	37880	87.08974	99.24288
00043524-2823-4a9d-897d-645e89ecbeac	17667	92.75805	99.88632
00188118-bfca-4773-9fc3-af9530613015	41017	92.74405	100.22529
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12438	94.25724	99.47665
00254ba9-3830-4d82-9679-913618d2bc55	25672	94.89659	99.03615
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12429	92.22241	99.97349
002d791a-01da-40d9-9e55-1fe30eeadca4	36025	95.19672	99.74457
00483b1b-2f5b-443f-b0ef-42f867480292	23309	95.00588	98.94540
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39967	92.20447	99.69747
0067cd72-629a-4376-96a1-51830f650956	15840	91.58103	99.98727
007a1f18-c232-48a8-92b8-ddf560adcc80	25772	94.50466	99.62755
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23450	93.10987	98.27391
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18638	86.21786	97.21244
0088390d-488e-4eb5-aa01-a3285c66a711	19366	92.09486	98.40396
008b006b-136a-4541-92e4-55dadaa7300a	16507	91.04942	98.17256
008df9f1-1b37-46d4-a58a-9c4717e003bd	19496	85.91638	103.56259
009b303f-97fc-4f34-8e57-18b779104da4	22605	91.90846	98.83466
009ee966-34ea-4249-81d0-9bb1572924e6	27653	94.24272	98.78123
00a55e15-9575-42fa-9360-a1996b50fd94	24883	94.90046	99.34258
00aaba12-d10f-443c-99df-3aa23c61c034	10776	91.12108	97.64760
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18535	92.96646	98.15830
00b73132-e590-4ebe-a256-0e73d1c14e45	44091	91.84190	101.12853
00c59698-67e3-4a98-a95f-167e4f833272	14454	93.20316	98.73426
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23922	95.08284	99.48634
00c7fe69-1476-43e3-8b21-3b521c5103ba	14807	94.63132	99.70196
00cd6daa-7934-4318-81ff-24d6d2693af6	62041	91.24256	98.54521
00d19f54-4eb3-4f80-878f-3d42ac37db50	10847	93.84964	98.69653
00d84ccc-013d-4fae-bca9-b3ed09080509	81597	93.55158	98.78576
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48426	86.59379	95.75488
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16431	86.13472	96.36235
00df3c17-8d45-44c7-a91f-2b2eb924df76	12196	93.21707	99.84367
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10464	86.82156	100.85745
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13772	95.53808	99.11786
00f42108-fbc4-42a0-8710-18bd5eeb3218	21371	87.15978	100.44858
00f84c20-8b6a-4f80-af78-83628f0f323e	10324	92.20400	98.38555
00fbd6f6-6da9-4432-b23b-98320204c53f	17481	92.48116	99.85113
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10840	93.93912	100.64661
00fe9974-8f26-49b5-89f9-d94f590a97eb	15107	93.46698	99.12779
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15181	96.23796	99.25039
0100ab11-1984-42ad-b292-5a92faad7a53	10511	90.71718	98.12512
010144bb-a8e0-4899-9915-cfcf270598de	10920	88.55438	100.26802
0102f297-eab3-4544-bb01-364c6b897175	20823	78.37790	96.63367
010669ce-b63c-4cac-b3bc-c8aec4395802	11416	92.73686	98.40665
010faeb5-bc5b-4a37-b410-1adaba53d66c	17827	93.19653	99.03857
011fe71c-990a-4e0c-9fef-bf101953463a	29672	94.04439	100.18942
01319a62-293d-4622-aff3-77740d4de434	19624	95.20606	99.34923
01446621-97d3-481c-b3f7-abb8556bf691	15391	92.16411	97.49459
01471877-15ca-4ada-9068-393947147ac4	15177	95.81975	99.61036
014a2df3-df93-472c-8dd5-f7627f53ee6a	37673	94.44603	99.15236
