Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	4638540	99.9875%	0.998	0.991	0.967	0.909	0.792	0.579
lossless_rebaler	1	4638823	99.995%	0.999	0.997	0.990	0.975	0.936	0.947
lossless_medaka	1	4638963	99.999%	0.999	1.000	0.999	0.993	0.991	1.000
LFZip_maxerror_1_flye	1	4638542	99.9865%	0.998	0.990	0.969	0.908	0.773	0.632
LFZip_maxerror_1_rebaler	1	4638810	99.996%	0.999	0.997	0.991	0.975	0.963	0.947
LFZip_maxerror_1_medaka	1	4638970	99.999%	0.999	0.999	0.998	0.994	0.986	1.000
SZ_maxerror_1_flye	1	4638555	99.9875%	0.998	0.991	0.968	0.911	0.787	0.579
SZ_maxerror_1_rebaler	1	4638814	99.995%	0.998	0.997	0.990	0.974	0.958	0.947
SZ_maxerror_1_medaka	1	4638975	99.999%	0.999	1.000	0.998	0.994	0.986	1.000
LFZip_maxerror_2_flye	1	4638520	99.986%	0.998	0.990	0.965	0.908	0.782	0.526
LFZip_maxerror_2_rebaler	1	4638807	99.995%	0.998	0.997	0.990	0.974	0.954	0.947
LFZip_maxerror_2_medaka	1	4638967	99.999%	0.999	0.999	0.999	0.991	0.991	0.950
SZ_maxerror_2_flye	1	4638517	99.9865%	0.998	0.989	0.965	0.907	0.796	0.579
SZ_maxerror_2_rebaler	1	4638789	99.9945%	0.998	0.996	0.989	0.967	0.958	0.947
SZ_maxerror_2_medaka	1	4638963	99.999%	0.999	0.999	0.999	0.992	0.981	1.000
LFZip_maxerror_3_flye	1	4638510	99.9865%	0.998	0.989	0.964	0.909	0.792	0.474
LFZip_maxerror_3_rebaler	1	4638786	99.995%	0.998	0.996	0.989	0.973	0.968	0.895
LFZip_maxerror_3_medaka	1	4638963	99.999%	0.999	1.000	0.999	0.992	0.981	1.000
SZ_maxerror_3_flye	1	4638490	99.9855%	0.998	0.989	0.962	0.902	0.778	0.579
SZ_maxerror_3_rebaler	1	4638791	99.994%	0.999	0.996	0.989	0.973	0.963	0.895
SZ_maxerror_3_medaka	1	4638959	99.999%	0.999	0.999	0.999	0.993	0.986	1.000
LFZip_maxerror_4_flye	1	4638437	99.984%	0.997	0.988	0.960	0.900	0.736	0.368
LFZip_maxerror_4_rebaler	1	4638790	99.994%	0.998	0.996	0.990	0.972	0.954	0.750
LFZip_maxerror_4_medaka	1	4638955	99.999%	0.999	0.999	0.998	0.992	0.986	1.000
SZ_maxerror_4_flye	1	4638422	99.984%	0.997	0.988	0.960	0.903	0.764	0.632
SZ_maxerror_4_rebaler	1	4638767	99.9935%	0.998	0.996	0.989	0.970	0.954	1.000
SZ_maxerror_4_medaka	1	4638975	99.999%	0.999	1.000	0.998	0.993	0.991	1.000
