Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	6	4651977	99.982995%	0.997	0.989	0.960	0.890	0.799	0.526
lossless_rebaler	6	4652015	99.986%	0.997	0.992	0.980	0.950	0.911	0.789
lossless_medaka	6	4652060	99.99549999999999%	0.999	0.998	0.995	0.982	0.953	1.000
LFZip_maxerror_1_flye	1	4641296	99.981%	0.997	0.987	0.960	0.903	0.764	0.684
LFZip_maxerror_1_rebaler	1	4641374	99.986%	0.996	0.992	0.984	0.959	0.903	0.737
LFZip_maxerror_1_medaka	1	4641786	99.996%	0.999	0.998	0.995	0.987	0.967	0.850
SZ_maxerror_1_flye	3	4640259	99.9825%	0.997	0.987	0.963	0.896	0.779	0.684
SZ_maxerror_1_rebaler	3	4640340	99.9865%	0.996	0.993	0.982	0.946	0.926	0.842
SZ_maxerror_1_medaka	2	4638924	99.996%	0.999	0.998	0.996	0.984	0.977	0.895
LFZip_maxerror_2_flye	4	4650179	99.981%	0.995	0.985	0.956	0.895	0.782	0.316
LFZip_maxerror_2_rebaler	4	4649885	99.985%	0.994	0.989	0.980	0.947	0.884	0.895
LFZip_maxerror_2_medaka	4	4650259	99.996%	0.997	0.997	0.994	0.984	0.935	0.895
SZ_maxerror_2_flye	3	4648336	99.9815%	0.997	0.986	0.958	0.898	0.801	0.526
SZ_maxerror_2_rebaler	3	4647911	99.9845%	0.996	0.990	0.982	0.954	0.899	0.684
SZ_maxerror_2_medaka	1	4645112	99.995%	0.999	0.998	0.994	0.978	0.959	0.789
LFZip_maxerror_3_flye	1	4638376	99.9805%	0.996	0.986	0.957	0.890	0.745	0.526
LFZip_maxerror_3_rebaler	1	4638468	99.985%	0.996	0.991	0.979	0.950	0.907	0.789
LFZip_maxerror_3_medaka	1	4638937	99.995%	0.999	0.998	0.995	0.981	0.968	0.947
SZ_maxerror_3_flye	3	4638157	99.978%	0.997	0.984	0.961	0.885	0.778	0.579
SZ_maxerror_3_rebaler	3	4638160	99.983%	0.996	0.990	0.981	0.949	0.880	0.789
SZ_maxerror_3_medaka	3	4638631	99.996%	0.999	0.999	0.994	0.983	0.954	0.789
LFZip_maxerror_4_flye	1	4642472	99.978%	0.996	0.985	0.956	0.889	0.792	0.474
LFZip_maxerror_4_rebaler	1	4642489	99.983%	0.996	0.991	0.977	0.949	0.926	0.700
LFZip_maxerror_4_medaka	1	4642921	99.995%	0.999	0.998	0.993	0.979	0.954	0.947
SZ_maxerror_4_flye	3	4644720	99.9795%	0.996	0.983	0.955	0.883	0.779	0.684
SZ_maxerror_4_rebaler	3	4644814	99.984%	0.996	0.991	0.978	0.951	0.940	0.947
SZ_maxerror_4_medaka	3	4645163	99.995%	0.999	0.998	0.992	0.978	0.963	0.842
LFZip_maxerror_5_flye	4	4649263	99.977%	0.995	0.983	0.951	0.865	0.769	0.474
LFZip_maxerror_5_rebaler	4	4649075	99.98%	0.995	0.990	0.973	0.950	0.922	0.684
LFZip_maxerror_5_medaka	3	4646431	99.994%	0.999	0.998	0.991	0.970	0.968	0.842
SZ_maxerror_5_flye	1	4638334	99.9765%	0.996	0.982	0.951	0.884	0.745	0.421
SZ_maxerror_5_rebaler	1	4638459	99.981%	0.995	0.989	0.978	0.947	0.898	0.842
SZ_maxerror_5_medaka	1	4638963	99.994%	0.998	0.998	0.993	0.972	0.944	0.947
LFZip_maxerror_6_flye	4	4646903	99.97401%	0.995	0.980	0.949	0.876	0.750	0.421
LFZip_maxerror_6_rebaler	4	4645474	99.9785%	0.995	0.989	0.974	0.948	0.898	0.842
LFZip_maxerror_6_medaka	4	4645772	99.993%	0.998	0.997	0.992	0.982	0.944	0.895
SZ_maxerror_6_flye	5	4641130	99.974%	0.995	0.980	0.948	0.858	0.736	0.368
SZ_maxerror_6_rebaler	5	4641242	99.976505%	0.995	0.988	0.973	0.943	0.880	0.895
SZ_maxerror_6_medaka	5	4641769	99.9935%	0.998	0.997	0.991	0.977	0.949	0.895
LFZip_maxerror_7_flye	1	4639563	99.96951%	0.994	0.977	0.939	0.853	0.704	0.316
LFZip_maxerror_7_rebaler	1	4639716	99.97301%	0.994	0.987	0.969	0.937	0.880	0.789
LFZip_maxerror_7_medaka	1	4640348	99.9925%	0.998	0.997	0.990	0.973	0.972	0.842
SZ_maxerror_7_flye	6	4652173	99.96901%	0.994	0.977	0.941	0.852	0.704	0.350
SZ_maxerror_7_rebaler	6	4652252	99.975505%	0.993	0.987	0.971	0.934	0.884	0.650
SZ_maxerror_7_medaka	4	4649171	99.993%	0.998	0.997	0.991	0.964	0.931	0.850
LFZip_maxerror_8_flye	5	4645404	99.96201%	0.992	0.971	0.927	0.850	0.681	0.526
LFZip_maxerror_8_rebaler	5	4645487	99.96997%	0.993	0.985	0.966	0.921	0.889	0.842
LFZip_maxerror_8_medaka	5	4646256	99.989%	0.998	0.996	0.989	0.963	0.940	0.895
SZ_maxerror_8_flye	2	4641702	99.96301%	0.992	0.973	0.926	0.835	0.627	0.421
SZ_maxerror_8_rebaler	2	4641928	99.97101%	0.993	0.986	0.965	0.934	0.899	0.737
SZ_maxerror_8_medaka	2	4642522	99.99%	0.998	0.996	0.987	0.969	0.940	0.895
LFZip_maxerror_9_flye	1	4637815	99.955015%	0.990	0.967	0.925	0.820	0.634	0.316
LFZip_maxerror_9_rebaler	1	4638009	99.96451%	0.991	0.984	0.965	0.927	0.857	0.789
LFZip_maxerror_9_medaka	1	4638873	99.988%	0.997	0.996	0.988	0.954	0.912	0.842
SZ_maxerror_9_flye	1	4640535	99.95801%	0.991	0.969	0.924	0.805	0.667	0.368
SZ_maxerror_9_rebaler	1	4640764	99.96801%	0.992	0.984	0.965	0.928	0.861	0.842
SZ_maxerror_9_medaka	1	4641558	99.987%	0.998	0.995	0.986	0.960	0.940	0.947
LFZip_maxerror_10_flye	5	4649000	99.945025%	0.989	0.959	0.904	0.782	0.608	0.263
LFZip_maxerror_10_rebaler	5	4649010	99.95502%	0.989	0.981	0.961	0.910	0.849	0.842
