Assembly	num_contigs	total_length	identity
lossless_flye	1	5103637	99.64089%
lossless_rebaler	1	5102537	99.64574%
lossless_medaka	1	5111297	99.77719%
LFZip_maxerror_1_flye	1	5103671	99.64383%
LFZip_maxerror_1_rebaler	1	5102494	99.65586%
LFZip_maxerror_1_medaka	1	5111292	99.76923%
SZ_maxerror_1_flye	1	5103703	99.63991%
SZ_maxerror_1_rebaler	1	5102509	99.64584%
SZ_maxerror_1_medaka	1	5111410	99.7672%
LFZip_maxerror_2_flye	1	5103427	99.63488%
LFZip_maxerror_2_rebaler	1	5102349	99.64578%
LFZip_maxerror_2_medaka	1	5111144	99.77119%
SZ_maxerror_2_flye	1	5103513	99.63986%
SZ_maxerror_2_rebaler	1	5102312	99.65181%
SZ_maxerror_2_medaka	1	5111423	99.7732%
LFZip_maxerror_3_flye	1	5103300	99.63589%
LFZip_maxerror_3_rebaler	1	5102097	99.6479%
LFZip_maxerror_3_medaka	1	5111088	99.77024%
SZ_maxerror_3_flye	1	5103157	99.62695%
SZ_maxerror_3_rebaler	1	5101855	99.63098%
SZ_maxerror_3_medaka	1	5111158	99.77123%
LFZip_maxerror_4_flye	1	5103006	99.63094%
LFZip_maxerror_4_rebaler	1	5102024	99.6288%
LFZip_maxerror_4_medaka	1	5111111	99.76622%
SZ_maxerror_4_flye	1	5102902	99.63094%
SZ_maxerror_4_rebaler	1	5101747	99.63496%
SZ_maxerror_4_medaka	1	5110911	99.75825%
LFZip_maxerror_5_flye	1	5102620	99.61489%
LFZip_maxerror_5_rebaler	1	5101620	99.62003%
LFZip_maxerror_5_medaka	1	5111024	99.76523%
SZ_maxerror_5_flye	1	5102601	99.62882%
SZ_maxerror_5_rebaler	1	5101487	99.62591%
SZ_maxerror_5_medaka	1	5110702	99.76724%
LFZip_maxerror_6_flye	1	5102131	99.60699%
LFZip_maxerror_6_rebaler	1	5101257	99.61005%
LFZip_maxerror_6_medaka	1	5110641	99.75129%
SZ_maxerror_6_flye	1	5102146	99.59312%
SZ_maxerror_6_rebaler	1	5101421	99.60015%
SZ_maxerror_6_medaka	1	5110765	99.74233%
LFZip_maxerror_7_flye	1	5101487	99.58019%
LFZip_maxerror_7_rebaler	1	5100539	99.58923%
LFZip_maxerror_7_medaka	1	5110325	99.73532%
SZ_maxerror_7_flye	1	5101377	99.5822%
SZ_maxerror_7_rebaler	1	5100430	99.57424%
SZ_maxerror_7_medaka	1	5110474	99.73531%
LFZip_maxerror_8_flye	1	5100643	99.56319%
LFZip_maxerror_8_rebaler	1	5100026	99.54543%
LFZip_maxerror_8_medaka	1	5110198	99.71938%
SZ_maxerror_8_flye	1	5100560	99.5563%
SZ_maxerror_8_rebaler	1	5099765	99.55642%
SZ_maxerror_8_medaka	1	5110078	99.72036%
LFZip_maxerror_9_flye	1	5099884	99.534425%
LFZip_maxerror_9_rebaler	1	5099150	99.51807500000001%
LFZip_maxerror_9_medaka	1	5109626	99.70045%
SZ_maxerror_9_flye	1	5099411	99.51498000000001%
SZ_maxerror_9_rebaler	1	5098814	99.501815%
SZ_maxerror_9_medaka	1	5109778	99.68949%
LFZip_maxerror_10_flye	1	5098492	99.49421000000001%
LFZip_maxerror_10_rebaler	1	5097989	99.495125%
LFZip_maxerror_10_medaka	1	5109200	99.6815%
SZ_maxerror_10_flye	1	5098104	99.47341%
SZ_maxerror_10_rebaler	1	5097630	99.462025%
SZ_maxerror_10_medaka	1	5109068	99.65463%
