Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24328	85.28513	96.76877
0005323f-791d-4bd1-bd5f-3f110cb72b08	39924	94.37741	98.91639
00077d28-f985-4800-898e-d4baede5d2aa	54673	92.98399	98.92992
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39282	93.30457	98.77920
001a42a8-c6e6-4022-acbb-fb96723c8fc0	35158	86.27975	97.95308
001d8d6e-757f-480d-a669-0006d8a5f626	43161	91.15592	95.60176
001f7476-594f-4678-af46-5099a88715d6	43570	93.73196	98.61742
00230607-1f5e-4ef3-9671-469337df680e	51777	94.00546	98.61962
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51640	89.76739	98.90188
00297c69-4e23-4bd1-ac47-19cb7be83482	29843	94.37465	98.88859
002ad6a6-683b-4690-b9c6-575bcabf37ce	24562	94.50146	98.93518
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30056	88.90256	96.56062
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38949	93.16402	98.78632
00390b97-655b-46b0-a98b-58447dd648da	51766	87.78513	98.59841
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26225	92.05735	99.56885
004859f1-928a-4eaf-baf9-05d6d22e6a39	32822	74.38064	97.05956
00522979-c6f1-469f-8be0-79be118254e5	34758	87.65435	98.43115
005dc13e-03d7-476a-b96e-8ab951632af7	21954	80.65630	102.00028
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30441	93.62541	98.65300
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61447	94.69924	98.83153
0061df3e-73ca-45e3-a1af-acefebde42f7	23112	88.95213	99.68354
00655c70-1351-4499-a549-cf7d37787857	24599	80.98426	95.00524
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46346	85.11588	97.15823
0067d222-d113-46c9-8786-b9abab8e4cfe	35121	91.88547	98.58334
006bfc22-acbe-4577-b755-ccf23d255cd9	24788	85.66868	92.00567
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33747	88.86530	98.07479
0075fd5b-313a-48e1-8c75-484ee3840279	43373	91.77936	98.19742
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25667	93.42407	99.68394
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22470	95.07227	99.21872
007ed5ba-a641-43c9-88b0-547ffd8952c8	31142	92.51622	98.60776
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26177	93.74230	98.82054
0080aae4-bb96-4aaa-857a-927e2db3b71b	62275	94.10904	99.49573
0085852b-6a7c-4f6d-bfc7-0d490a28d968	32016	81.88329	99.68046
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25450	88.65026	96.84967
00a1a5b4-43b7-48d5-84fb-be8040321103	27445	94.34320	99.12908
00a37701-ab30-4634-bdea-177896677e22	36611	89.71427	98.66685
00b5ce50-59cb-493a-94a4-dba854087886	26865	87.78685	97.24737
00bd02df-db70-4d71-a40a-513c1eee4a2c	24171	86.82910	97.51835
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24328	87.23213	98.00000
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33731	93.68138	98.63826
00cc2868-998d-4ec6-99cc-458917e05188	47491	87.08036	97.92041
00cda24f-c49d-4974-880c-b8a0ec00183d	66694	92.19972	98.63982
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40725	92.89531	98.64648
00d4fc3b-9848-4d01-a320-653852d68990	65377	91.47834	98.19287
00d5ebcd-4727-44e2-9800-8123837e80d4	45306	85.72825	96.87574
00d7992e-006f-48b6-be8c-e51905fda9ee	29196	89.43767	96.18641
00dd83e2-b142-4917-9dd4-8bfef0e895b4	69068	91.90625	98.84174
00e60ace-39f1-4a34-aeed-87ac2d214fac	25392	92.98273	98.73774
00e78f56-6438-444f-af8c-d66b9a695bad	78400	92.73623	100.83742
00e9aa99-0025-4d45-827f-2892f15e1ded	26311	89.74471	97.98736
00ef41bb-b716-411e-9a73-e8ff95758820	30865	83.48140	98.39877
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36467	94.34407	98.64817
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24671	87.76473	96.49750
00fcb531-d045-4f64-94af-1e15aa90726e	29724	88.44499	99.18266
0101a7bd-66b2-4b83-9228-5fa424a743e2	50189	84.94770	94.13993
010ed54d-2c7f-48f8-8143-5e61bcefc86e	24111	93.45294	99.17728
010efc3a-5954-4192-8b1f-605a8fe3f57a	44703	94.05383	98.78576
0111425a-4694-4dc2-809d-e3fb7e606952	42079	91.40695	98.43196
0113008f-2e5e-4683-8035-c8539b7a2cf4	22507	82.89136	96.36105
0117cfef-4330-49af-a1fa-55ba10670a48	33437	87.94780	98.60577
0119c56e-8ca4-408d-9437-c00d3376724e	30220	90.96618	99.39220
012a1baa-7674-4ced-8986-d25685a3db1f	54896	86.91060	97.91726
012a5c36-a376-41d4-8202-ba109f64a045	38473	92.12481	98.24278
012ab4f9-9623-4aad-9d55-d2f58df5bf81	62314	72.07449	93.54894
012b331e-7a57-40d1-b8b0-dbb59a6d7b2b	43204	93.43151	99.00956
012d88c7-d7be-4cb1-955e-f715b56fc785	45167	88.42300	97.35927
0135b3ea-119a-4b90-bb23-c4a259b5485c	22388	85.68567	98.78460
013b50b8-059f-4ea1-b72c-5b860d934ab6	22827	90.10770	98.88942
014173c1-d464-4167-b298-e0830c537817	36614	93.11705	99.13081
014388b1-7568-44f8-8ab7-28138c974c1c	41364	90.83864	98.50714
01453be5-a426-476c-a620-8d000d05e321	30810	94.56466	99.16621
01496e86-5502-4a77-bc5a-29d9c4a03054	52035	94.42774	98.93842
01497bf6-f687-45e8-80e7-cf78cdc58a94	50413	93.00965	98.79963
01501472-204a-4918-8c9c-097d4baf56ea	48713	93.69061	98.86310
01547db8-3056-4cbd-91df-89b627291d83	42618	92.78322	99.59218
0154f3a0-ed79-4228-abfc-6049826a1e32	23028	92.35311	98.20778
01551840-3909-4aac-a4d0-c25fe65771f2	36100	92.49872	99.17052
0156020b-1033-407b-a9fe-794df68c17e4	35806	92.07779	98.33590
01606fa1-47d0-4eb2-a17f-2d546f130f69	25556	91.37879	98.35184
0164aa87-6262-4444-93b7-e57e877c799e	56686	77.67471	93.54721
0167daca-3f20-4219-9ffb-fb06bd2e813b	28131	76.86283	93.34159
0169c841-f1ee-4788-96e5-e3a8ae8a64db	25478	90.83874	98.43507
017093c2-660a-4b35-a91c-ed087c8ca46a	23855	92.62853	98.43290
017813fc-4d95-42dd-8f0b-60c3e6094374	39776	94.25542	99.38846
017ab821-317f-491c-907d-91bff47bc966	27383	93.14365	98.95069
017ada6c-b56a-4b24-abd0-41462b64a29a	93280	86.44978	99.40086
017d08cd-0dad-4d59-8877-f71297c5c5db	28769	94.27815	98.44652
017fb78f-3b78-4104-bc9d-fd848ba36b28	34694	90.01468	95.20701
018139bb-bb1b-4c16-9918-2a0756f00731	23526	80.83132	97.55223
01876460-c3ef-41de-aa50-237b7f14ed36	34621	89.13829	98.82269
018bf019-582c-4b17-804b-a79bfbab3e81	43263	86.45931	97.19494
018f2d1f-ff5d-4645-81a7-78a9f25c750e	62253	86.16743	97.23796
0193dbb8-2f3c-4592-8aef-7780f0ff8c9d	24727	90.97228	99.09783
01943edb-2dab-424e-bbf0-e04ea9f10b2e	33046	93.10935	98.71668
019a82ad-2078-4f87-b698-75436a4ad232	67878	93.76807	98.76831
01a5fca4-835e-4c31-9880-6889d2bfc221	31589	87.78670	98.37731
01a86738-6b06-4a93-93c8-53fb3936f756	32653	94.41894	98.99260
01a99807-5555-4656-9a7e-b5e698b37ce0	52852	94.77853	99.18369
01ac1f7c-1b50-4814-b3e5-0b5d0674c9a9	27548	89.19624	97.95991
01ac7e5d-6c05-4b06-8c11-f77cce45e0fb	47925	93.97333	98.80126
01ad116d-d507-40d4-a01b-4cfb88138aef	26601	88.30122	96.94341
01b1aaa4-0a34-4b5d-a454-d30f873c384d	23240	92.11102	96.99258
01b1e39a-1260-4cc1-a5d2-aca5a00775ab	34508	84.76649	100.23608
01b21edf-aa37-4ff5-83b3-c24b921f4152	45807	91.90380	98.48217
01b462b0-5ccf-4f26-99f0-bc3240d212ff	23622	83.26136	98.56544
01ceffe1-b1fb-4c47-baa4-a410ef6755fd	84472	81.22626	98.66512
01cfa790-5cd5-4733-a389-7efc8669d89e	22667	77.52772	99.08571
01d1a864-ed70-4ee2-88bd-b642cb8f9890	29151	90.06980	97.92524
01d4eb52-ebae-48aa-9540-8474dac8e235	26594	91.81314	98.28457
01d65bc7-7b5f-4fb6-83cd-867379d68174	63414	85.07242	96.87266
01d9a8e1-406e-4f0c-b3cd-e75da55d87c4	25941	82.17100	101.35400
01e2fa42-c5cd-4f1e-8c77-8284bb83a080	65645	89.74585	98.64948
01e667ce-1ccd-4d3a-a26b-6de73800b64b	28794	87.83316	100.55789
01ea1d09-e95c-468e-8e95-0f6231b73563	30529	91.63468	98.43669
01ea6552-b910-47d6-9ae4-9b5add9e6f54	37411	89.64042	98.87307
01eba46c-b431-4902-9f82-7f3f9824235d	22513	91.98860	98.73027
01ec6768-f08b-4948-88de-2b17fe698fcb	27544	90.56425	98.64014
01f0a624-dd8b-4d8a-bc6c-526daef5cf92	25293	93.94917	99.81360
01fc5475-f9a2-499c-bf6f-1cb9cab382c1	62067	90.73920	97.26937
01fca52a-1d6f-49d7-8d8a-7c145fe2cc6c	29684	93.75102	98.38908
01fdde22-01b8-4a79-8807-c50c446348f3	37464	88.01145	98.47054
01feffea-ccd0-4cb8-9faa-a5b96976c5a4	30647	94.01739	98.64585
02007dbf-4403-41f5-b911-d1abd4d7c905	22198	93.17842	98.60199
02059120-d5b5-4609-ab96-3d47c69c6361	22360	91.99736	100.77484
02064e0a-42b1-49e9-9ddf-c43da3d348c5	41722	92.72952	98.86866
0206ab12-cc88-4a0b-9b90-587d2c6aad5c	25527	85.96685	96.23949
020aeb88-49cd-42a1-be7c-15f9a4219c37	41549	89.06854	99.27396
020c05e5-8127-426b-8542-c2ee20cb7733	30313	92.87808	99.34200
020e276e-636c-4e5c-b464-506a4db39b27	27255	92.94777	99.50844
02185f78-36c0-4ff8-893a-ccbb18044644	32574	94.97845	98.94496
021a138b-e4d9-4879-9db8-e99d553af41f	63551	86.47120	98.67592
021d342f-9af3-433f-b974-69eed24591b8	57427	90.65844	98.45557
02216516-22a3-4036-9e80-73c1ad7ba057	58834	88.39908	96.53993
02232b93-76ef-4a9d-9ece-e2435e7e992d	33995	89.58159	96.63290
0223ef3e-fcfe-47ee-9b2a-30852009e7e5	42238	87.87009	99.50626
0225a861-e2b7-48f4-b516-b2ab43653f3c	41007	79.54181	91.76127
0225d99c-8985-4bab-9908-d9d97c35fca6	41089	83.36964	98.86037
022d67b4-388e-4aec-989e-8f6faf0164e3	30551	88.39428	98.07258
0232f167-a229-4fcf-8e71-b2a5d40f46a7	24511	86.26857	96.49074
