Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	23834	85.63672	94.89694
0005323f-791d-4bd1-bd5f-3f110cb72b08	39828	95.08031	98.78722
00077d28-f985-4800-898e-d4baede5d2aa	54453	93.51221	98.63789
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39294	94.02532	98.93287
001a42a8-c6e6-4022-acbb-fb96723c8fc0	34523	86.69212	96.24420
001d8d6e-757f-480d-a669-0006d8a5f626	43277	91.77567	95.94607
001f7476-594f-4678-af46-5099a88715d6	43477	94.05024	98.48368
00230607-1f5e-4ef3-9671-469337df680e	51688	94.61860	98.54334
0027714b-2b4b-4746-b59c-b96cfa4d7c64	50988	90.64169	97.74041
00297c69-4e23-4bd1-ac47-19cb7be83482	29729	95.07592	98.66232
002ad6a6-683b-4690-b9c6-575bcabf37ce	24517	94.91797	98.92713
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	29905	89.47886	96.22508
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38809	93.70118	98.54195
00390b97-655b-46b0-a98b-58447dd648da	51044	88.33212	97.31164
003a3b1d-3539-42a4-85ff-ef45fe9e4491	25863	92.65855	98.37861
004859f1-928a-4eaf-baf9-05d6d22e6a39	31431	74.83715	93.11254
00522979-c6f1-469f-8be0-79be118254e5	33676	88.14640	95.47819
005dc13e-03d7-476a-b96e-8ab951632af7	20537	82.26442	95.48215
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30406	94.16942	98.58477
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61381	95.05088	98.79607
0061df3e-73ca-45e3-a1af-acefebde42f7	22691	89.18142	98.02324
00655c70-1351-4499-a549-cf7d37787857	24208	81.96641	93.67408
00670f05-efd1-41c1-9191-9d30bbe3d3d6	45728	85.68359	95.87397
0067d222-d113-46c9-8786-b9abab8e4cfe	34987	92.52999	98.33268
006bfc22-acbe-4577-b755-ccf23d255cd9	24618	85.89163	91.52125
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33388	89.44444	97.13894
0075fd5b-313a-48e1-8c75-484ee3840279	43244	92.03083	98.02960
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25497	93.49519	99.20003
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22417	95.57635	99.09438
007ed5ba-a641-43c9-88b0-547ffd8952c8	30963	93.32518	98.31209
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26139	94.50006	98.73360
0080aae4-bb96-4aaa-857a-927e2db3b71b	62054	94.80152	99.16436
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31172	81.90519	97.20100
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25266	89.66747	96.30323
00a1a5b4-43b7-48d5-84fb-be8040321103	27307	94.93258	98.77766
00a37701-ab30-4634-bdea-177896677e22	36344	89.86770	98.06907
00b5ce50-59cb-493a-94a4-dba854087886	26733	88.57458	96.82557
00bd02df-db70-4d71-a40a-513c1eee4a2c	14440	87.16040	96.51404
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24162	87.52363	97.48764
00cbb800-86d0-45f4-885e-08a23b3a1e8f	33703	94.25127	98.67641
00cc2868-998d-4ec6-99cc-458917e05188	38421	88.58065	97.45200
00cda24f-c49d-4974-880c-b8a0ec00183d	66559	92.67459	98.50260
00ce1209-346b-457f-81cc-e45ec5ce1ebe	40688	93.45709	98.61276
00d4fc3b-9848-4d01-a320-653852d68990	60763	92.00654	98.18220
00d5ebcd-4727-44e2-9800-8123837e80d4	44849	86.31431	95.96081
00d7992e-006f-48b6-be8c-e51905fda9ee	29066	89.81644	95.87550
00dd83e2-b142-4917-9dd4-8bfef0e895b4	68829	92.67627	98.55349
00e60ace-39f1-4a34-aeed-87ac2d214fac	25294	93.58204	98.57751
00e78f56-6438-444f-af8c-d66b9a695bad	71083	93.37309	98.86866
00e9aa99-0025-4d45-827f-2892f15e1ded	26069	90.34506	97.25038
00ef41bb-b716-411e-9a73-e8ff95758820	30293	83.71143	96.59855
00f76a80-ce33-40fc-9f0a-8e4db26cabf4	36467	95.07523	98.77575
00f90c84-0921-44fc-ba5d-f1b244a7d9c4	24537	88.23756	96.01902
00fcb531-d045-4f64-94af-1e15aa90726e	29271	88.73878	97.73215
0101a7bd-66b2-4b83-9228-5fa424a743e2	49542	85.23296	93.12737
