Name	Length	Identity	Relative length
00052d2b-be8b-4649-b6d5-9bdbd88a1ea5	24061	86.52706	95.78846
0005323f-791d-4bd1-bd5f-3f110cb72b08	39930	95.61265	99.03574
00077d28-f985-4800-898e-d4baede5d2aa	54565	94.36077	98.86281
0013b07b-474d-4993-a6fb-ad3d2df26e3d	39339	94.80057	99.04387
001a42a8-c6e6-4022-acbb-fb96723c8fc0	34620	87.72064	96.52077
001d8d6e-757f-480d-a669-0006d8a5f626	43470	92.70391	96.38145
001f7476-594f-4678-af46-5099a88715d6	43594	94.98720	98.76515
00230607-1f5e-4ef3-9671-469337df680e	51831	95.35266	98.81634
0027714b-2b4b-4746-b59c-b96cfa4d7c64	51376	91.52861	98.48142
00297c69-4e23-4bd1-ac47-19cb7be83482	29820	95.64716	98.96180
002ad6a6-683b-4690-b9c6-575bcabf37ce	24552	95.67344	99.07689
002b0292-e6c9-49e5-a8bb-f8cf770e6a86	30043	90.41244	96.67032
0030daee-d66b-476e-aa7b-e6f4f56f5ab4	38886	94.56883	98.73534
00390b97-655b-46b0-a98b-58447dd648da	51420	89.23108	98.02383
003a3b1d-3539-42a4-85ff-ef45fe9e4491	26057	93.49947	99.10728
004859f1-928a-4eaf-baf9-05d6d22e6a39	31677	76.40559	93.85681
00522979-c6f1-469f-8be0-79be118254e5	33868	89.27407	96.01819
005dc13e-03d7-476a-b96e-8ab951632af7	20628	83.26009	95.90302
005f1a32-ca9f-4eb0-a18b-24ecea6c9970	30492	94.88532	98.88083
005f8bdd-8b37-4329-8faa-afeeaa0bbdab	61543	95.87099	99.05878
0061df3e-73ca-45e3-a1af-acefebde42f7	22821	90.10896	98.58679
00655c70-1351-4499-a549-cf7d37787857	24358	83.20363	94.22517
00670f05-efd1-41c1-9191-9d30bbe3d3d6	46037	86.58112	96.51925
0067d222-d113-46c9-8786-b9abab8e4cfe	35067	93.43694	98.55236
006bfc22-acbe-4577-b755-ccf23d255cd9	24798	87.02304	92.21849
0074f16d-d0be-4bd9-8f72-9dc13b0fd9ce	33525	90.38983	97.53259
0075fd5b-313a-48e1-8c75-484ee3840279	43372	93.17185	98.30216
00762ae9-bcac-4e83-9d1f-8fde551e2f07	25617	94.71540	99.65272
007b7cbf-a56c-4932-94f7-f6a1c39d4f41	22426	96.44918	99.13437
007ed5ba-a641-43c9-88b0-547ffd8952c8	31101	94.27137	98.74758
007f2ca7-fcf4-4e7d-bc9a-683915879a34	26230	95.38410	99.06726
0080aae4-bb96-4aaa-857a-927e2db3b71b	62221	95.49357	99.42370
0085852b-6a7c-4f6d-bfc7-0d490a28d968	31111	83.76153	97.05110
0099944b-e682-4fed-9fd2-c7d6fc3b85b9	25435	90.72196	96.96054
00a1a5b4-43b7-48d5-84fb-be8040321103	27380	95.68139	99.02067
00a37701-ab30-4634-bdea-177896677e22	36478	91.20777	98.41536
00b5ce50-59cb-493a-94a4-dba854087886	26835	89.50698	97.21465
00bd02df-db70-4d71-a40a-513c1eee4a2c	14477	88.26491	96.76879
00bfda47-f1f3-4a7c-a800-8f6472265c1b	24186	88.73401	97.58489
