Name	Length	Identity	Relative length
00003fbe-9fc3-4a73-9cab-1ff7f5c0b9b3	12278	87.82595	98.87650
0000c011-5eb7-4ae1-b07d-979043585ed0	37716	86.56830	98.79062
00043524-2823-4a9d-897d-645e89ecbeac	17531	91.75601	99.00529
00188118-bfca-4773-9fc3-af9530613015	40518	91.65750	98.92721
001b2d75-31d5-445b-9f3a-8752c4fc27c8	12406	93.14159	98.99356
00254ba9-3830-4d82-9679-913618d2bc55	25483	93.13490	98.19230
002967d9-9c7c-43ef-b8bb-afb6141d6d9d	12309	91.74573	98.79869
002d791a-01da-40d9-9e55-1fe30eeadca4	35746	94.03405	98.90336
00483b1b-2f5b-443f-b0ef-42f867480292	23142	93.38534	98.13688
0052be19-2bc4-41b2-8f2b-2e9a225ff5be	39567	91.67687	98.61219
0067cd72-629a-4376-96a1-51830f650956	15593	90.49453	98.37150
007a1f18-c232-48a8-92b8-ddf560adcc80	25615	93.68678	98.93695
007ec5c9-d0c1-49c4-a2ea-903fb0ee4ef6	23228	91.25046	97.24917
00836454-1bd1-4a0d-8b56-9c7f80db3d0b	18513	84.69229	96.69175
0088390d-488e-4eb5-aa01-a3285c66a711	19237	90.46977	97.68674
008b006b-136a-4541-92e4-55dadaa7300a	16376	89.59029	97.39964
008df9f1-1b37-46d4-a58a-9c4717e003bd	19084	85.30326	101.27508
009b303f-97fc-4f34-8e57-18b779104da4	22401	90.31871	97.82266
009ee966-34ea-4249-81d0-9bb1572924e6	27470	92.87528	98.02860
00a55e15-9575-42fa-9360-a1996b50fd94	24738	93.50373	98.60193
00aaba12-d10f-443c-99df-3aa23c61c034	10758	90.22294	97.38215
00b57681-96dd-4aa2-b1cf-5ac600ed84eb	18469	91.90845	97.65621
00b73132-e590-4ebe-a256-0e73d1c14e45	43505	91.15854	99.71499
00c59698-67e3-4a98-a95f-167e4f833272	14577	93.38888	98.51301
00c63d32-e1c2-456f-bbc2-7c96d07b1b42	23795	93.89332	98.87631
00c7fe69-1476-43e3-8b21-3b521c5103ba	14724	93.25745	98.99072
00cd6daa-7934-4318-81ff-24d6d2693af6	61467	89.79417	97.62037
00d19f54-4eb3-4f80-878f-3d42ac37db50	10781	91.96929	97.87957
00d84ccc-013d-4fae-bca9-b3ed09080509	80542	91.80750	97.47458
00dbc7bf-e01e-4e31-89e9-21b6b5293665	48201	85.13033	95.30542
00dcdf35-1d37-4ccf-862c-ecbffa4822b0	16257	83.90158	95.20198
00df3c17-8d45-44c7-a91f-2b2eb924df76	12155	92.29967	99.42406
00e11f2d-e2e4-46a1-8c44-fff6e2a7d1d5	10269	86.78997	98.85998
00e6d9d8-aa37-4d62-a0f5-6cc6bb74dd29	13718	94.59054	98.73463
00f42108-fbc4-42a0-8710-18bd5eeb3218	20963	85.92734	98.41307
00f84c20-8b6a-4f80-af78-83628f0f323e	10272	91.00424	97.62637
00fbd6f6-6da9-4432-b23b-98320204c53f	17321	90.54152	98.77448
00fe7eeb-16c7-4e65-9dce-42e6afbd8a7f	10771	91.93622	99.74743
00fe9974-8f26-49b5-89f9-d94f590a97eb	14958	91.56345	98.03753
00ffcf6d-4a74-4ab5-9e6a-63d83ed957d2	15139	94.73889	98.77599
0100ab11-1984-42ad-b292-5a92faad7a53	10438	89.56931	97.14528
010144bb-a8e0-4899-9915-cfcf270598de	10688	87.21212	98.14883
0102f297-eab3-4544-bb01-364c6b897175	20400	77.32732	94.64252
010669ce-b63c-4cac-b3bc-c8aec4395802	11497	93.50051	98.00000
010faeb5-bc5b-4a37-b410-1adaba53d66c	17806	92.34138	98.84852
011fe71c-990a-4e0c-9fef-bf101953463a	29516	93.58087	99.58724
01319a62-293d-4622-aff3-77740d4de434	19534	94.01114	98.72896
01446621-97d3-481c-b3f7-abb8556bf691	15376	90.36355	97.35470
01471877-15ca-4ada-9068-393947147ac4	15117	94.33754	99.06221
014a2df3-df93-472c-8dd5-f7627f53ee6a	37445	93.05541	98.42355
0152323f-53e9-4368-a6b9-77a4e1863e56	41537	92.54216	98.69638
0154cc94-440f-4f4d-9b89-71f29fdbfb00	55007	92.01806	98.63042
01585e45-90f7-4666-bbfe-2f31a25c89f2	14499	83.46595	97.43468
015b1528-4f8e-4efe-b4c7-5c001a241f3e	17015	94.10953	99.16949
01663879-96e6-4420-ba5a-fe885d190257	32040	91.80254	98.09144
01678b94-6712-4f93-9bba-0bf633bbc795	11419	91.82680	97.95528
017597ab-e912-44f6-9c9e-c2c778724fd1	10269	85.78203	97.02752
017867f1-a084-4ece-8696-5af676ad0af8	82921	91.94960	98.82986
017b4cd5-9bab-4afb-8532-cfc73afa2e89	10415	93.14592	98.30913
0184030b-4f00-4b65-add5-4846f31d0430	17399	92.51708	98.68083
018620fd-c65f-4724-b92e-ff97fd1305ad	13801	89.53925	97.13494
018edec2-d1ab-4a2f-8af9-82c30e491fba	10320	91.42240	97.57147
0197251e-9f62-47b6-84f1-b22ed11b1f82	10920	94.80461	98.97810
019c3eae-23df-4ffd-81f1-003245bd3509	15945	93.15603	98.05110
